"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALSKA-WIERUSZ Iwona Ewa - KW BEZPARTYJNI SAMORZĄDOWCY";"SOCHA Jerzy Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"KOŚCIAŃSKI Dominik Mirosław - KW BEZPARTYJNI SAMORZĄDOWCY";"KUKUŁKA Elżbieta Karolina - KW BEZPARTYJNI SAMORZĄDOWCY";"SAMBORSKI Wojciech Patryk - KW BEZPARTYJNI SAMORZĄDOWCY";"BIERNACKI Norbert Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"BOGUS Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"DUTKIEWICZ Tomasz Jerzy - KW BEZPARTYJNI SAMORZĄDOWCY";"MIELCZAREK Magdalena Amelia - KW BEZPARTYJNI SAMORZĄDOWCY";"ZABAWA Marek Jan - KW BEZPARTYJNI SAMORZĄDOWCY";"STEFANIAK Zuzanna Dorota - KW BEZPARTYJNI SAMORZĄDOWCY";"ANZORGE Damian Jan - KW BEZPARTYJNI SAMORZĄDOWCY";"MARANDA Martyna Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"SZTAJNER Dawid Mariusz - KW BEZPARTYJNI SAMORZĄDOWCY";"KIEPURA Henryk - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"IMIOLCZYK Małgorzata - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BOSKI Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ŚWIERCZYŃSKI Krzysztof Łukasz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SOCHA-KORENDO Anna Marta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PERYGA Joanna Zofia - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BRZEZOWSKA Iwona Elżbieta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SŁAWEK Łukasz Mateusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DZIEWIOR Anna Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KULIŃSKI Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"CYRULIK Jerzy Józef - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OKULARCZYK Joanna Katarzyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"JARUGA Adam Norbert - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"LIZOŃ-KLAMA Arleta Anna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WOLSKI Zdzisław - KW NOWA LEWICA";"NIESMACZNY Zbigniew Paweł - KW NOWA LEWICA";"KĘPSKI Rafał Tadeusz - KW NOWA LEWICA";"KOTKOWSKA Ewelina Tacjana - KW NOWA LEWICA";"IŻYŃSKA Małgorzata - KW NOWA LEWICA";"KSIĄŻEK Edyta Barbara - KW NOWA LEWICA";"TROMCZYŃSKA Jolanta Pelagia - KW NOWA LEWICA";"NOWAK Krzysztof Wiesław - KW NOWA LEWICA";"LEWANDOWSKA Ewa - KW NOWA LEWICA";"MNICH Eugeniusz Alojzy - KW NOWA LEWICA";"URBAŃSKA Jolanta Małgorzata - KW NOWA LEWICA";"MARCOLA Marek Stanisław - KW NOWA LEWICA";"SKRZYPCZYŃSKA Emilia Maria - KW NOWA LEWICA";"OGOŃCZYK Mariusz Dominik - KW NOWA LEWICA";"BURZYŃSKA Lidia Ewa - KW PRAWO I SPRAWIEDLIWOŚĆ";"GIŻYŃSKI Szymon Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"GAWRON Andrzej Janusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"TREPKA Mariusz Wiesław - KW PRAWO I SPRAWIEDLIWOŚĆ";"WARZOCHA Artur Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOCIK Beata Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"WOJNOWSKI Dariusz Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"MIKULSKA Ewelina Katarzyna - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIERZBIŃSKA Edyta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"OCZKOWSKI Wojciech Bolesław - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOROSZ Karolina Agnieszka - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZALESKA Urszula - KW PRAWO I SPRAWIEDLIWOŚĆ";"DEREJCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"WRONA Piotr Artur - KW PRAWO I SPRAWIEDLIWOŚĆ";"STALA Tomasz Grzegorz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MIERZEJEWSKI Jakub Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ADAMOWICZ Bogusław Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JEZIERSKA Kamila Danuta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"TELENGA Ireneusz Bogumił - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SOJKA Paulina Maja - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BARCZYŃSKI Marcin Stanisław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZAKŁADA-SZETTEL Małgorzata Maria - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MICHALCZYK Dorota Katarzyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PASOŃ Robert Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KORPYŚ Józefina Anna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RACŁAWSKI Marcin - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WEINTRITT Anna Klaudia - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JANAS Sławomir Stanisław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LESZCZYNA Izabela Dorota - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZEWIŃSKI Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SALWIERAK Marta Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PODLEJSKI Klemens Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POCHODNIA Beata Magdalena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WITEK Przemysław Jarosław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BELKA-DOMIŃCZYK Judyta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KORZENIEC Marcin Bogdan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"REKWIREWICZ Joanna Ewa - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BĄK Przemysław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WŁUKA Czesława Leokadia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"IGNACYK Łukasz Bartłomiej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KARDAS-BERNAŚ Ewa Emilia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BANAŚ Łukasz Jan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"CICHOŃ Sebastian Krzysztof - KW POLSKA JEST JEDNA";"PIECH Alicja Aniela - KW POLSKA JEST JEDNA";"WARZECHA Andrzej Paweł - KW POLSKA JEST JEDNA";"KAŃTOCH Małgorzata Anita - KW POLSKA JEST JEDNA";"CIURA Paweł Ryszard - KW POLSKA JEST JEDNA";"JUCHNOWICZ Michalina Joanna - KW POLSKA JEST JEDNA";"KAŁUŻNY Józef Henryk - KW POLSKA JEST JEDNA";"OZÓG Łukasz Andrzej - KW POLSKA JEST JEDNA"
240401;"gm. Blachownia";"częstochowski";"śląskie";8;8;36;24;3;17;3;58;10;7;4;7;3;9;8;9;435;199;128;58;34;16;19;22;89;9;17;27;20;28;285;68;27;49;103;35;8;9;55;3;35;10;20;18;1171;351;97;40;180;59;31;42;23;70;14;20;17;76;250;65;17;31;12;33;11;4;7;7;2;8;7;9;1608;367;101;18;31;22;10;13;8;14;4;11;22;122;37;65;4;2;5;1;2;3
240402;"gm. Dąbrowa Zielona";"częstochowski";"śląskie";4;4;19;6;6;4;1;2;4;1;5;5;0;0;3;3;133;29;54;12;10;2;7;5;18;0;2;3;7;6;53;7;11;10;11;12;2;15;25;0;7;2;6;13;742;100;21;30;49;24;12;15;19;6;5;10;6;22;66;15;10;5;2;6;9;1;0;1;1;1;0;5;272;23;11;4;13;3;30;1;1;3;2;0;2;11;5;15;6;0;2;2;5;1
240403;"gm. Janów";"częstochowski";"śląskie";8;8;37;12;5;5;1;2;4;0;2;2;4;2;3;5;139;55;83;29;12;24;10;9;19;10;5;11;11;6;99;27;34;20;34;18;3;3;25;0;13;9;32;7;1076;170;30;192;61;26;8;17;7;5;9;18;7;29;144;30;9;6;8;19;11;3;3;0;11;0;2;8;464;56;24;35;9;4;6;7;0;5;0;2;3;17;31;46;4;0;2;3;1;1
240404;"gm. Kamienica Polska";"częstochowski";"śląskie";5;5;20;5;6;5;2;3;2;1;4;1;2;4;4;9;154;64;84;35;124;8;6;7;51;1;1;7;9;11;113;27;21;25;43;10;11;0;28;2;15;1;16;16;561;152;39;53;57;16;15;16;6;3;14;16;16;18;93;23;9;13;3;11;11;3;11;2;0;3;2;9;730;109;36;8;16;6;19;8;4;13;2;7;7;56;9;24;2;1;3;2;2;0
240405;"gm. Kłomnice";"częstochowski";"śląskie";15;15;44;15;7;11;7;9;9;5;8;6;4;10;8;13;432;123;169;61;29;20;14;21;45;18;5;14;87;32;200;46;20;46;77;30;10;5;30;4;15;10;19;187;2732;324;32;13;111;27;14;11;8;4;11;20;14;45;297;49;31;28;8;36;13;2;8;4;2;2;5;10;1159;168;40;6;22;9;26;11;4;23;4;6;13;74;32;47;13;3;1;1;2;4
240406;"gm. Koniecpol";"częstochowski";"śląskie";8;8;23;11;17;9;3;6;7;1;7;1;3;1;3;6;234;55;84;29;23;11;14;12;70;9;0;6;12;10;83;19;30;22;38;14;6;4;26;1;13;0;1;3;1011;299;43;90;78;24;19;21;762;8;12;21;39;30;150;26;14;16;3;41;8;1;7;12;1;2;3;16;469;37;19;15;8;6;476;2;1;8;3;4;7;9;28;24;6;8;6;0;2;2
240407;"gm. Konopiska";"częstochowski";"śląskie";13;13;14;216;6;4;2;7;5;2;6;3;0;2;3;6;321;102;125;205;50;28;14;14;27;7;8;10;12;13;227;56;16;27;84;39;5;3;46;4;26;1;25;12;990;340;120;42;208;101;28;52;13;15;18;36;9;58;227;49;15;16;10;22;12;3;8;8;2;1;2;9;846;854;40;5;20;21;7;11;6;6;1;4;8;64;43;34;9;2;6;2;1;3
240408;"gm. Kruszyna";"częstochowski";"śląskie";6;6;18;5;2;9;1;5;4;0;6;1;2;5;2;3;125;29;75;21;18;10;6;6;22;11;1;6;26;6;60;35;5;12;30;12;44;2;11;1;6;0;9;42;970;86;26;18;40;12;9;8;5;1;6;19;6;37;122;28;16;19;7;16;8;1;3;0;2;2;5;6;325;51;20;4;7;6;4;2;1;4;2;2;1;18;12;14;3;1;0;0;1;1
240409;"gm. Lelów";"częstochowski";"śląskie";9;9;15;5;1;5;59;1;5;3;4;1;0;3;1;3;121;42;50;11;7;9;8;12;21;5;2;6;8;3;41;8;42;9;10;9;4;6;10;1;3;0;7;2;918;110;26;206;74;26;10;13;14;8;9;15;22;33;93;24;9;12;2;15;4;0;4;2;3;1;0;13;234;21;10;15;12;3;25;1;1;3;0;2;4;14;16;20;6;0;1;1;1;3
240410;"gm. Mstów";"częstochowski";"śląskie";12;12;49;8;12;10;5;6;5;6;6;4;2;9;6;4;306;106;154;56;21;29;7;21;37;11;4;15;85;19;190;61;9;37;100;37;4;9;37;4;22;4;25;16;2229;207;69;38;135;41;9;28;4;10;7;14;3;53;279;47;18;21;7;30;13;2;7;6;1;4;10;8;912;154;36;19;12;12;14;5;2;12;0;10;8;244;26;46;13;0;3;1;3;1
240411;"gm. Mykanów";"częstochowski";"śląskie";18;18;56;11;7;20;8;8;9;8;10;3;4;6;14;12;504;112;205;62;25;13;21;10;663;14;7;15;43;31;229;59;16;26;107;20;14;10;51;0;27;1;28;11;2531;263;100;126;435;59;35;34;26;12;18;29;37;126;372;76;21;39;27;38;18;3;8;7;19;6;6;18;1417;219;57;24;28;25;9;22;6;17;5;16;17;82;43;52;7;2;1;0;2;0
240412;"gm. Olsztyn";"częstochowski";"śląskie";8;8;84;9;4;8;3;4;5;4;6;4;6;2;8;4;199;91;107;66;29;15;16;17;63;36;1;16;22;21;122;44;17;27;76;12;5;7;34;4;17;6;38;11;955;281;82;110;96;32;24;21;11;3;7;26;14;53;164;32;14;23;7;27;11;0;3;3;2;1;0;14;969;166;61;51;23;17;18;6;4;15;1;4;6;108;30;36;3;3;3;3;2;2
240413;"gm. Poczesna";"częstochowski";"śląskie";10;10;47;15;5;10;4;6;6;12;5;5;5;5;11;11;351;139;161;130;64;35;34;22;139;12;1;11;10;25;313;70;24;37;101;28;16;12;58;7;28;2;48;21;1269;470;72;107;215;71;25;40;24;7;22;36;30;76;266;52;16;23;13;34;16;4;12;4;2;5;4;18;1485;262;109;16;25;18;16;14;5;28;2;18;10;228;29;36;9;3;4;1;2;1
240414;"gm. Przyrów";"częstochowski";"śląskie";8;8;16;6;2;3;3;0;1;1;1;0;3;5;1;3;134;23;56;13;11;12;2;3;31;6;1;4;2;4;48;9;8;13;12;5;2;5;5;2;1;1;7;12;416;436;16;30;36;16;7;5;12;3;9;7;9;26;95;22;7;5;6;7;5;0;4;0;1;1;2;2;238;22;11;8;4;4;16;1;0;4;0;0;4;14;9;17;1;1;1;0;0;0
240415;"gm. Rędziny";"częstochowski";"śląskie";6;6;42;5;3;12;3;2;6;3;4;3;3;35;2;8;149;54;52;41;10;7;12;6;12;5;1;5;733;10;159;53;7;13;76;8;4;9;29;2;16;3;27;20;1582;190;47;39;128;30;10;28;9;4;7;26;12;34;208;51;18;16;8;19;12;1;7;5;3;9;3;8;952;137;41;9;11;10;6;6;5;14;3;17;7;74;20;20;7;1;3;0;0;2
240416;"gm. Starcza";"częstochowski";"śląskie";5;5;13;4;1;2;2;2;0;3;2;2;1;2;3;3;133;26;93;22;21;11;6;3;20;3;2;7;2;4;69;13;5;12;13;7;1;1;5;2;11;2;9;3;407;91;19;14;42;15;3;11;10;0;11;10;3;14;47;22;7;9;3;3;8;1;4;1;1;3;0;2;258;72;5;11;7;6;11;4;1;5;0;39;7;34;5;3;0;1;0;0;0;0
240601;"gm. Kłobuck";"kłobucki";"śląskie";15;15;72;16;11;11;3;17;10;3;11;7;7;5;9;14;2066;122;106;54;16;18;20;21;41;13;4;15;9;35;211;44;11;496;118;35;9;233;44;4;17;4;21;9;1624;641;98;47;205;61;587;36;22;242;12;30;154;70;281;38;31;25;240;34;9;2;3;5;4;4;4;14;2069;251;265;16;23;78;10;7;4;25;7;15;29;124;69;140;9;6;5;4;5;1
240602;"gm. Krzepice";"kłobucki";"śląskie";9;9;21;13;2;8;2;4;4;2;3;10;2;0;5;6;1112;31;27;21;6;9;4;6;7;3;3;3;4;6;83;11;19;47;15;9;4;15;37;1;10;3;12;7;835;610;39;57;201;49;32;45;8;30;7;22;22;46;141;21;10;12;80;10;9;0;3;4;3;1;3;9;687;65;29;8;17;9;5;6;5;8;1;1;8;24;36;79;8;0;2;1;3;3
240603;"gm. Lipie";"kłobucki";"śląskie";5;5;17;9;1;4;1;2;4;2;6;4;2;0;1;4;774;30;18;15;8;4;4;3;2;0;0;1;2;4;58;10;8;24;12;2;2;6;12;0;0;2;5;1;711;412;56;31;119;69;41;29;14;22;13;14;54;32;96;23;8;17;64;6;8;1;2;3;3;0;2;8;369;38;18;4;7;9;5;5;2;5;1;2;6;16;11;26;2;1;1;0;1;0
