"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KORBUT Dawid Kacper - KW BEZPARTYJNI SAMORZĄDOWCY";"FABISZEWSKA Sylwia Stanisława - KW BEZPARTYJNI SAMORZĄDOWCY";"KOMAR Radosław Kamil - KW BEZPARTYJNI SAMORZĄDOWCY";"ROJEK Małgorzata Urszula - KW BEZPARTYJNI SAMORZĄDOWCY";"NABRDALIK Norbert Marek - KW BEZPARTYJNI SAMORZĄDOWCY";"WIERUSZ Piotr Janusz - KW BEZPARTYJNI SAMORZĄDOWCY";"DYKAS Marta - KW BEZPARTYJNI SAMORZĄDOWCY";"RYBICKA Alena - KW BEZPARTYJNI SAMORZĄDOWCY";"NICEWICZ Norbert Hieronim - KW BEZPARTYJNI SAMORZĄDOWCY";"POTOCKA Julia - KW BEZPARTYJNI SAMORZĄDOWCY";"SIWAK Artur - KW BEZPARTYJNI SAMORZĄDOWCY";"FECYK Milena Urszula - KW BEZPARTYJNI SAMORZĄDOWCY";"KLESZCZYŃSKI Mariusz Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"SZWIEC Bogumiła Małgorzata - KW BEZPARTYJNI SAMORZĄDOWCY";"KWIATKOWSKI Norbert - KW BEZPARTYJNI SAMORZĄDOWCY";"KLACZKO Joanna - KW BEZPARTYJNI SAMORZĄDOWCY";"MOCZARSKI Grzegorz - KW BEZPARTYJNI SAMORZĄDOWCY";"STRACH Piotr Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BIENIEK Marek Janusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOWALCZYK Elżbieta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WILK Zygmunt - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"CYBUL Rafał - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KIEŁBASA Krystian Antoni - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BORÓWKA Wojciech Jakub - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOWALSKA Bernadeta Łucja - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WITKOWSKA Dominika Barbara - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"JANY Aniela Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KONARSKA Grażyna Agnieszka - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DĄBROWSKA Jolanta Alicja - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GLIŃSKA Danuta Róża - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KROCZEK Wacław Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KARLIK Marcin Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DUDA Arkadiusz Damian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"VON DRAMSKY Andrzej Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"LIS Zenon Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NOWICKA Wanda Hanna - KW NOWA LEWICA";"MUSIAŁ Alicja Ewa - KW NOWA LEWICA";"GRZYBOWSKI Marcin Tomasz - KW NOWA LEWICA";"GWIAZDA Aleksander Stanisław - KW NOWA LEWICA";"SUROWIEC Ewa Janina - KW NOWA LEWICA";"MAJOR Michał Andrzej - KW NOWA LEWICA";"NAWRATIL-LUDWICZAK Joanna Stanisława - KW NOWA LEWICA";"PIECHATZEK Kasper - KW NOWA LEWICA";"NIEZGODZKA Anna Zofia - KW NOWA LEWICA";"WŁODARCZYK Marcin Andrzej - KW NOWA LEWICA";"BEDNORZ Aleksandra Kamila - KW NOWA LEWICA";"WIECZOREK Witold Paweł - KW NOWA LEWICA";"RISHMAWI Michalina Jagoda - KW NOWA LEWICA";"STAWOWIAK Michał Piotr - KW NOWA LEWICA";"STĘPIEŃ Mariusz Jerzy - KW NOWA LEWICA";"WITTCHEN Małgorzata - KW NOWA LEWICA";"BUTKIEWICZ Paulina Zofia - KW NOWA LEWICA";"SŁANIA Barbara Joanna - KW NOWA LEWICA";"BORYS-SZOPA Bożena Teresa - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIECZOREK Jarosław Wiesław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZARAMA Wojciech Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOMOGAŁA Izabela Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"PYZIK Piotr Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"DZIUK Barbara Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"GONCIARZ Jarosław Włodzimierz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BORÓWKA Anna Joanna - KW PRAWO I SPRAWIEDLIWOŚĆ";"OLSZEWSKI Tomasz Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"KUBICA Józef Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"MICHCZYŃSKI Adam Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"WALICZEK Ewa Renata - KW PRAWO I SPRAWIEDLIWOŚĆ";"PATOŃ Piotr Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOBCZAK Dominika - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANCIKOWSKA Martyna Ewa - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOSTEK Danuta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"TUREK Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOGOWSKA-PIASECKA Elżbieta Izabela - KW PRAWO I SPRAWIEDLIWOŚĆ";"KALUS Jakub Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MODZELEWSKA Bożena Krystyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SIELAŃCZYK Andrzej Wiesław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MILCZYŃSKI Cezary Kazimierz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GÓRNIK Paweł Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LAITL Sandra - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MOSIOŁEK Rafał Bartłomiej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BUJNOWSKI Artur - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WRONKOWSKI Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SARRÉ Sebastian Jakub - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RAŚ Łukasz Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KALARUS Dorota Elżbieta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GLOWIENKA Barbara Elżbieta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KACZOROWSKI Bartosz Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BŁASIŃSKA Magdalena Klaudia - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WITCZAK Edyta Agnieszka - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KAŃSKA Klaudia Joanna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KUPIJAJ Tomasz Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZUMILAS Krystyna Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GZIK Marek Krzysztof - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GOLBIK Marta Joanna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GŁOGOWSKI Tomasz Marian - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"FILIPKOWSKA Agnieszka Urszula - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OLICHWER Tomasz Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"STANISZEWSKI Michał Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BRYŚ-SZCZYGIEŁ Teresa Łucja - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PILOT Andrzej Antoni - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GRABIEC Michał Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POLAK Teresa Agnieszka - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PIASECKA Aleksandra Irena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MARCINIAK Jarosław Krzysztof - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOSTRZEWA Hanna Elżbieta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NIEZGODA Wojciech Ryszard - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BARTOSIEWICZ Wiktoria Izabela - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SCHENK Sandra Kamila - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOBYLIŃSKI Paweł Bronisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MATUSZEWSKI Tomasz Mariusz - KW POLSKA JEST JEDNA";"BAMBYNEK Agnieszka Katarzyna - KW POLSKA JEST JEDNA";"URBANIAK Lidia Janina - KW POLSKA JEST JEDNA";"KASCHUBA Mariusz Janusz - KW POLSKA JEST JEDNA";"KACZMARCZYK Małgorzata Ewa - KW POLSKA JEST JEDNA";"DZIECHCIARZ Grażyna Bożena - KW POLSKA JEST JEDNA";"MAZURKIEWICZ Krystyna Maria - KW POLSKA JEST JEDNA";"BRYL Maria - KW POLSKA JEST JEDNA";"CHMIELECKI Janusz Stanisław - KW POLSKA JEST JEDNA";"JARZĄBEK Stefan Konrad - KW POLSKA JEST JEDNA";"MOSKWA Justyna Grażyna - KW POLSKA JEST JEDNA";"KOWAL Maria Emilia - KW POLSKA JEST JEDNA";"GRODECKI Aleksander - KW POLSKA JEST JEDNA";"PUCZKA Justyn Maria - KW POLSKA JEST JEDNA";"TWORZYDŁO Leszek Stanisław - KW POLSKA JEST JEDNA"
240501;"m. Knurów";"gliwicki";"śląskie";22;22;131;38;33;36;6;16;23;20;6;56;11;9;5;7;18;9;29;786;267;377;78;147;81;126;64;102;44;49;49;57;43;33;27;16;32;802;467;38;59;40;26;20;19;46;19;52;24;13;15;10;40;24;25;1694;1679;214;373;1101;327;823;115;85;190;47;60;35;83;40;38;58;90;598;117;57;30;225;17;24;171;23;36;40;14;8;17;18;20;9;24;4236;696;527;44;124;59;34;36;41;33;43;33;28;45;17;59;17;389;200;35;51;13;20;6;11;11;14;9;4;8;8;3;18
240502;"m. Pyskowice";"gliwicki";"śląskie";9;9;39;12;9;11;5;2;11;5;2;14;11;2;4;3;2;2;7;356;128;121;30;145;85;32;23;213;20;87;29;11;21;7;12;10;13;435;189;13;17;9;10;9;7;16;7;23;4;9;2;5;18;8;14;724;618;64;188;56;196;243;34;64;75;17;31;13;29;15;25;25;30;316;68;29;12;78;13;20;10;14;28;19;5;13;3;3;12;5;5;1279;491;553;58;103;32;23;16;28;28;30;21;11;13;6;37;21;163;237;14;25;10;2;2;3;5;2;3;5;1;6;2;4
240503;"gm. Gierałtowice";"gliwicki";"śląskie";6;6;66;12;16;24;6;3;14;7;15;23;3;3;3;2;6;3;25;324;122;142;39;37;60;63;35;43;20;16;20;12;17;27;23;9;11;241;151;16;20;9;11;4;5;11;10;10;6;6;8;2;8;5;15;650;710;95;144;204;264;163;60;30;95;10;31;6;32;5;7;11;16;321;52;15;11;56;20;16;7;5;10;18;5;5;5;8;7;5;7;1147;406;306;30;36;52;10;10;3;17;23;10;12;18;15;13;16;72;90;16;17;2;9;3;4;8;11;3;2;3;5;1;29
240504;"gm. Pilchowice";"gliwicki";"śląskie";8;8;35;8;12;16;2;1;4;0;4;15;1;2;5;3;5;3;9;270;136;155;36;47;93;29;25;40;16;16;14;14;5;11;11;4;11;220;168;19;9;8;5;6;10;8;7;7;8;5;2;4;8;2;10;420;608;46;69;183;53;543;37;26;59;13;31;5;14;1;5;10;27;219;34;24;6;61;5;7;20;6;15;15;5;4;6;4;7;5;4;1471;408;321;24;54;25;17;10;13;27;17;17;7;16;9;35;15;56;130;24;52;6;3;2;6;5;3;3;4;0;9;2;5
240505;"gm. Rudziniec";"gliwicki";"śląskie";16;16;32;8;2;8;1;1;6;2;1;9;2;3;1;3;3;5;8;186;66;80;12;32;306;22;23;242;7;4;19;5;3;8;9;22;11;144;72;9;14;11;6;5;6;5;4;10;8;3;3;6;4;7;4;431;510;36;103;157;116;67;25;36;137;11;32;7;11;10;5;20;16;232;35;23;10;35;4;13;8;16;20;12;8;4;6;5;6;8;7;754;267;225;30;70;22;8;12;16;20;22;10;7;8;4;17;6;53;148;10;68;5;38;0;1;2;1;3;3;3;2;4;4
240506;"gm. Sośnicowice";"gliwicki";"śląskie";9;9;20;10;6;6;4;4;6;6;5;5;2;2;2;1;4;7;8;173;84;68;12;52;74;26;17;42;9;8;10;19;5;6;4;7;7;148;81;8;14;5;4;4;3;3;4;12;9;3;2;1;3;1;7;221;279;35;58;57;25;149;16;14;36;10;334;4;8;4;10;2;10;156;31;18;12;26;7;7;6;4;52;7;4;4;0;1;5;6;0;978;232;309;21;97;21;12;3;4;14;12;5;7;9;6;12;3;66;66;10;17;3;3;0;7;4;4;2;1;2;3;1;3
240507;"gm. Toszek";"gliwicki";"śląskie";8;8;21;7;5;3;1;2;3;2;3;4;2;2;1;2;2;1;7;111;40;24;15;18;456;8;1;317;5;4;7;4;12;7;6;6;3;119;60;3;5;3;4;2;4;2;5;4;6;3;0;3;4;1;2;552;285;38;85;75;97;202;26;46;117;4;29;4;13;5;11;12;17;162;16;8;4;32;8;16;7;2;6;6;2;1;7;1;3;1;8;516;121;147;25;24;13;10;3;15;14;11;4;8;10;3;11;5;67;241;18;21;24;5;1;5;3;1;1;4;1;6;2;1
240508;"gm. Wielowieś";"gliwicki";"śląskie";9;9;19;8;7;3;2;1;3;3;0;6;2;0;3;0;1;1;3;78;42;27;9;23;178;60;4;65;7;2;1;5;2;3;3;9;2;54;21;2;2;0;7;0;1;1;0;3;4;2;0;0;2;1;1;229;251;31;69;37;78;140;5;34;102;2;12;12;7;1;3;11;19;129;18;17;3;27;3;9;3;5;11;7;1;2;3;3;8;4;0;258;71;66;30;26;66;6;2;10;3;7;7;4;5;2;7;5;65;137;14;15;17;1;4;4;6;3;3;0;0;0;1;1
241301;"m. Kalety";"tarnogórski";"śląskie";5;5;21;2;6;11;3;3;1;1;1;11;5;0;0;1;7;3;8;287;30;41;19;6;18;20;76;15;18;6;14;2;20;11;10;4;14;114;40;31;9;11;5;3;1;2;0;6;4;0;3;2;6;3;5;324;169;59;237;8;477;13;15;50;277;3;3;13;4;8;4;8;15;192;22;16;14;25;2;5;5;5;30;5;2;2;1;10;6;4;6;270;65;40;723;10;16;9;4;88;8;16;6;6;22;6;7;7;22;48;24;8;14;5;0;2;3;2;4;3;0;1;3;6
241302;"m. Miasteczko Śląskie";"tarnogórski";"śląskie";5;5;11;1;2;3;1;2;5;1;2;6;5;1;1;2;7;4;8;154;16;23;8;12;4;11;241;12;18;2;8;5;17;2;3;5;10;109;64;10;1;11;0;1;2;5;6;5;12;3;1;2;4;4;8;321;186;69;211;20;432;13;22;73;201;0;5;7;15;5;9;6;14;143;28;6;5;14;10;5;8;2;18;6;4;0;1;0;3;2;4;221;42;46;357;9;4;17;3;68;15;10;22;2;99;2;7;5;35;62;23;10;3;5;2;6;1;1;2;3;0;2;5;4
241303;"m. Radzionków";"tarnogórski";"śląskie";8;8;37;8;12;4;7;4;6;6;1;21;3;3;4;6;6;2;8;496;74;142;57;34;20;43;49;36;76;11;33;12;30;28;10;12;43;300;168;27;13;39;4;2;15;11;8;14;37;6;5;5;9;9;18;738;374;914;367;31;725;31;43;105;82;4;11;57;36;5;31;21;24;379;51;29;22;32;13;9;11;8;32;11;5;5;6;8;3;7;20;799;135;168;948;39;26;187;152;45;21;21;26;11;33;12;20;22;51;93;24;11;5;9;11;17;2;4;9;0;1;1;3;4
241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";32;32;157;49;36;39;25;10;33;19;15;55;10;6;10;8;19;13;42;1563;357;450;165;175;108;153;245;119;368;63;92;30;645;62;48;63;392;1438;872;111;73;109;39;15;31;48;35;64;81;31;12;34;28;19;52;2423;909;545;708;84;2875;97;105;1056;1111;21;37;68;81;32;45;70;103;1159;177;99;76;162;25;38;23;35;145;27;19;16;31;23;26;23;35;3008;910;1263;4878;155;97;179;82;847;97;78;94;47;654;37;57;71;457;442;180;54;71;39;18;78;17;16;41;8;12;13;10;14
241305;"gm. Krupski Młyn";"tarnogórski";"śląskie";4;4;12;4;5;9;2;1;2;1;2;1;1;2;0;0;1;0;3;68;17;32;7;6;4;14;6;10;6;3;3;3;19;1;4;6;8;54;31;3;3;5;3;2;2;2;1;3;1;1;0;4;3;2;0;99;59;21;53;10;208;16;14;19;102;1;1;0;4;1;3;2;6;67;13;4;8;7;3;5;1;5;5;0;1;1;0;3;0;3;1;114;26;45;236;4;9;4;4;31;10;10;4;1;6;0;2;4;8;34;17;2;4;2;1;5;0;0;0;1;0;0;1;3
241306;"gm. Ożarowice";"tarnogórski";"śląskie";4;4;19;6;5;8;4;2;1;1;2;7;1;1;2;0;2;1;4;131;39;55;19;11;9;14;63;18;14;8;283;7;9;5;4;4;13;145;76;5;6;11;6;3;1;4;4;10;9;1;0;1;6;2;17;245;150;37;239;10;353;14;18;59;95;5;5;9;11;4;7;6;12;128;31;10;4;14;5;10;5;6;15;7;5;1;2;1;5;5;11;359;64;68;281;24;11;26;5;151;12;13;10;10;22;5;9;19;22;43;12;1;8;5;1;5;1;0;3;0;0;4;7;0
241307;"gm. Świerklaniec";"tarnogórski";"śląskie";6;6;44;14;8;12;3;3;4;2;2;14;3;3;6;2;3;1;5;442;65;111;32;25;16;35;73;26;51;12;31;4;69;18;19;14;41;253;113;15;18;11;7;2;5;11;3;7;7;7;3;4;6;6;13;324;155;75;1200;12;303;12;18;69;151;4;5;24;11;4;8;9;16;284;25;32;10;26;8;12;3;4;24;11;2;4;2;4;12;3;12;765;225;173;867;34;17;87;20;207;28;32;21;12;46;9;19;9;51;59;34;8;12;5;1;5;5;1;4;2;0;0;19;8
241308;"gm. Tworóg";"tarnogórski";"śląskie";9;9;23;16;4;6;1;3;6;3;0;19;3;2;1;3;3;0;6;248;43;44;24;24;33;10;34;41;27;12;5;6;35;9;8;7;16;109;77;6;8;8;3;5;5;7;6;10;6;1;3;4;6;2;7;305;106;51;127;28;296;118;12;53;450;4;6;8;18;2;5;5;8;208;28;11;9;14;5;5;1;1;25;10;2;2;5;1;3;0;9;344;60;133;463;7;14;21;7;86;16;16;5;6;13;2;8;8;40;61;31;6;71;7;2;3;2;3;40;0;1;0;1;0
241309;"gm. Zbrosławice";"tarnogórski";"śląskie";20;20;39;19;15;13;5;2;8;8;0;17;3;3;7;1;9;16;16;384;134;133;37;77;62;52;43;79;23;12;17;11;23;12;17;276;32;280;136;17;13;12;7;3;4;10;6;20;11;5;4;6;11;6;10;587;368;100;179;30;427;56;42;201;209;24;31;15;21;10;19;18;28;309;63;20;12;44;16;6;8;12;100;12;6;6;9;5;16;7;12;905;341;410;534;92;104;44;19;114;15;43;21;9;47;14;25;19;87;118;28;23;35;13;4;5;4;3;4;3;7;4;2;5
246201;"Bytom";"Bytom";"śląskie";81;81;422;108;89;143;45;39;70;36;41;169;33;19;22;23;28;67;74;3849;591;1104;962;290;189;308;263;285;162;147;219;106;126;120;136;107;171;3682;1471;187;161;607;197;50;67;212;74;188;126;55;45;164;103;56;220;6095;1708;7606;1440;344;1499;535;356;390;502;96;128;725;341;84;817;176;230;2463;446;246;240;373;102;76;59;62;130;89;58;39;60;93;85;43;538;10420;1737;1906;1121;474;446;5568;248;341;314;518;581;126;239;172;237;421;1034;593;350;103;51;62;63;43;64;31;35;26;21;23;18;50
246601;"Gliwice";"Gliwice";"śląskie";119;119;477;144;121;149;50;44;95;54;36;184;37;17;31;16;45;60;105;4244;1658;2027;405;1099;353;600;225;478;127;189;205;235;131;142;212;82;146;4677;3112;231;276;148;101;137;68;146;123;116;136;93;42;55;150;48;105;6899;9880;749;1175;893;673;2216;404;370;570;310;291;70;222;115;99;219;486;3252;636;341;203;497;133;128;97;121;358;240;66;83;67;55;99;63;76;14663;8948;9825;409;2590;303;280;129;148;315;271;172;111;199;111;625;173;1370;832;159;323;29;69;27;45;110;48;29;37;31;102;16;50
