"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WOJCIECHOWSKI Mateusz Sławomir - KW BEZPARTYJNI SAMORZĄDOWCY";"WOJTCZAK Anna Danuta - KW BEZPARTYJNI SAMORZĄDOWCY";"CISZAK Mariusz - KW BEZPARTYJNI SAMORZĄDOWCY";"BARYŁA Ewa Franciszka - KW BEZPARTYJNI SAMORZĄDOWCY";"PRENTCZYŃSKI Sławomir Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"KANABUS-KOSZAL Ewa - KW BEZPARTYJNI SAMORZĄDOWCY";"WOJEWODA Katarzyna - KW BEZPARTYJNI SAMORZĄDOWCY";"FILIPIAK Artur - KW BEZPARTYJNI SAMORZĄDOWCY";"MĄDRA-MAKOWSKA Lidia - KW BEZPARTYJNI SAMORZĄDOWCY";"RAJEWICZ Zygmunt Władysław - KW BEZPARTYJNI SAMORZĄDOWCY";"WEBER Dorota Izabela - KW BEZPARTYJNI SAMORZĄDOWCY";"MILISZEWSKA Edyta Kinga - KW BEZPARTYJNI SAMORZĄDOWCY";"BUGAJ Agata - KW BEZPARTYJNI SAMORZĄDOWCY";"GĄSIOROWSKI Tomasz Michał - KW BEZPARTYJNI SAMORZĄDOWCY";"BIESIEDIN Waldemar Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"DURKIEWICZ Konrad Tadeusz - KW BEZPARTYJNI SAMORZĄDOWCY";"AUGUSTYNIAK Damian Marek - KW BEZPARTYJNI SAMORZĄDOWCY";"SIWIŃSKA Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"HENNIG-KLOSKA Paulina - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PYRZYK Michał - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ADAMÓW Paweł Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SEŃKO Mariusz Krzysztof - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MUSIAŁOWSKI Mariusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"CZAJKOWSKI Krzysztof Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ŁECHTAŃSKA Agnieszka - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STAJKOWSKA Izabela - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WASIELEWSKA Emilia - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SROKA Paulina Katarzyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KŁOPOT-WARTECKA Aneta Daria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ELTMAN Jakub - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GAWRECKI Bartłomiej Mikołaj - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STĘPA Teodor - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TOMCZAK Michał Bartłomiej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BERLIK Jerzy Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MATUSZEWSKA Tatiana Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GAJDA Robert Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TOMASZEWSKI Tadeusz - KW NOWA LEWICA";"KASPRZAK-BARTKOWIAK Kamila - KW NOWA LEWICA";"CZERNIEJEWSKI Piotr - KW NOWA LEWICA";"MACIEJEWSKA Joanna Maria - KW NOWA LEWICA";"DZIAMARA Łukasz - KW NOWA LEWICA";"WNUK Andrzej Jacek - KW NOWA LEWICA";"NOWAK Tomasz Andrzej - KW NOWA LEWICA";"KUBICKA-SZTUL Krystyna - KW NOWA LEWICA";"ŁUCZYŃSKI Łukasz - KW NOWA LEWICA";"KOBIELSKA Ewa - KW NOWA LEWICA";"NIEKOCHAŃSKA Agnieszka - KW NOWA LEWICA";"GŁOWACKI Maciej Błażej - KW NOWA LEWICA";"PRZYBYLSKA Sylwia Anna - KW NOWA LEWICA";"JAŚKIEWICZ Marek - KW NOWA LEWICA";"MIEDZIAK Wiktoria - KW NOWA LEWICA";"LEWANDOWSKI Marcin - KW NOWA LEWICA";"MAŃKA Roman - KW NOWA LEWICA";"BĄK Anna - KW NOWA LEWICA";"HOFFMANN Zbigniew Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"CZARNECKI Witold Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"NIESTRAWSKA Aneta - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOLATA Zbigniew - KW PRAWO I SPRAWIEDLIWOŚĆ";"BARTOSIK Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"ITMAN Zofia Mariola - KW PRAWO I SPRAWIEDLIWOŚĆ";"POPKOWSKI Robert Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KAŁUŻNY Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIORUN Radomir Tomasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WOŹNIAK Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"BARTKOWIAK Jacek Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIŚNIEWSKA-ZABŁOCKA Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"TWARDOWSKA Monika - KW PRAWO I SPRAWIEDLIWOŚĆ";"WOJNA Paweł - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOPEĆ Magdalena - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRABOWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZYKOWNA Anita Aldona - KW PRAWO I SPRAWIEDLIWOŚĆ";"GAWEŁ Robert Kazimierz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BRYŁKA Anna Mirosława - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JÓŹWIAK Maciej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOŁODZIEJCZAK Karol Hubert - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"TALENT-DOMINIAK Jakub Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KIEŁBOWICZ Andżelika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZMYTKA Piotr Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRONEK Przemysław Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BANASZCZAK Tomasz Przemysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WITASIAK Sebastian Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JANKOWSKI Rafał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GĄSIOREK Paulina Grażyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KIN Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SKITEK Adrianna Katarzyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KUJAWSKI Piotr Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DOGA Marta Agnieszka - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RUSIN Paweł Rafał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PAWEŁCZAK Emilia Magdalena - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATUSZEWSKA Marta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOŁODZIEJCZAK Michał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NOWAK Tomasz Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NISZCZAK-SIERADZKA Inez Magdalena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GRUSZCZYŃSKI Piotr Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POLITAŃSKA Agnieszka Iwona - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"RYBARSKI Piotr Tadeusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"IWAŃCZUK Ernest Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"REZGUI Agata - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PILARSKI Ryszard - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SARNOWSKA-CZAJKA Beata - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PRZYJEMSKI Marek Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MARCHLEWSKA Anna Danuta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"LISIECKI Marek Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NOWAK Anna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MŁYNARCZYK Dariusz Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KACZMAREK Paulina Anna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"EJMA Marek Leon - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"LEWANDOWSKI Krzysztof - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BĄKOWSKI Marek - KW POLSKA JEST JEDNA";"MAŁYSZ Józef Jerzy - KW POLSKA JEST JEDNA";"PIETROWSKI Szymon - KW POLSKA JEST JEDNA";"SZABELSKA Aneta - KW POLSKA JEST JEDNA";"MAZUR Patrycja Anna - KW POLSKA JEST JEDNA";"OCHOWIAK Jarosław Paweł - KW POLSKA JEST JEDNA";"CHOCIAJ Arkadiusz Krzysztof - KW POLSKA JEST JEDNA";"HENKE Anna Maria - KW POLSKA JEST JEDNA";"BOROWSKI Maciej Przemysław - KW POLSKA JEST JEDNA";"CIEŚLAK Mirosław Józef - KW POLSKA JEST JEDNA";"URBAN Irina - KW POLSKA JEST JEDNA";"KORDUS Maria - KW POLSKA JEST JEDNA";"SÓJKA Szymon - KW POLSKA JEST JEDNA";"TARNAWSKA Elżbieta Maria - KW POLSKA JEST JEDNA";"KLAMECKI Artur Stanisław - KWW RDIP";"NIWIŃSKI Grzegorz Henryk - KWW RDIP";"ZAWADZKA-PŁACZKIEWICZ Ewa Janina - KWW RDIP";"SIWIAK Paweł Hubert - KWW RDIP";"ANDRZEJAK Marcin Łukasz - KWW RDIP";"WOJTKOWIAK Kinga Arleta - KWW RDIP";"PRZYBYLAK Agata Maria - KWW RDIP";"ŁUKASZEWSKI Rafał Stanisław - KWW RDIP";"ANDRZEJEWSKI Grzegorz Antoni - KWW RDIP";"NOWAK Michał - KWW RDIP";"ŁYSIK Katarzyna Anna - KWW RDIP";"TAMBORSKA Natalia Anna - KWW RDIP";"KNAST Wojciech Kazimierz - KWW RDIP"
300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";39;39;139;41;22;24;4;8;27;21;45;5;22;12;44;7;6;4;11;24;6251;240;68;41;86;57;98;82;55;64;18;27;193;20;32;62;39;67;4328;578;90;130;27;12;17;34;26;67;34;11;118;11;20;20;11;112;2051;290;110;4885;117;60;36;63;35;125;46;61;131;19;68;63;55;1567;1307;198;155;26;48;30;92;34;13;34;44;7;20;125;21;22;14;47;4033;422;1343;3771;129;23;14;258;75;59;12;29;232;122;15;56;6;74;178;45;21;31;21;6;8;14;7;5;7;5;6;11;52;1;11;5;3;27;14;4;1;7;27;4;39
300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";8;8;17;10;4;1;1;1;8;4;7;1;7;2;8;0;0;0;1;11;450;46;16;6;19;6;16;32;16;16;8;4;8;1;8;4;3;16;414;42;33;13;4;2;5;3;1;5;0;1;12;4;3;4;2;18;302;104;36;796;21;7;7;29;9;34;9;14;14;3;21;15;15;61;147;42;19;9;8;10;5;11;1;4;11;4;4;13;6;9;7;15;485;58;198;266;21;12;5;36;8;2;10;6;13;20;2;14;0;14;16;3;8;5;3;2;1;2;0;0;1;0;3;1;5;2;0;2;0;4;1;1;0;1;1;0;11
300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";9;9;48;6;6;9;1;3;6;7;9;2;5;3;2;1;2;1;2;7;1203;71;19;11;20;17;21;16;18;19;2;7;56;5;11;139;11;25;679;84;20;31;7;4;6;9;8;14;6;4;18;3;11;4;1;18;501;72;28;995;37;19;11;17;7;46;12;11;22;10;15;17;7;285;375;53;48;11;14;11;20;8;4;13;11;2;3;47;3;3;3;21;797;63;268;664;22;7;4;191;17;9;3;1;102;23;1;16;2;17;33;10;4;3;7;1;2;6;1;1;1;0;0;5;5;0;4;2;0;3;3;0;0;0;1;3;1
300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";9;9;13;6;0;1;0;2;4;6;5;2;2;0;3;1;0;3;0;6;348;27;8;7;13;16;18;54;10;16;2;1;8;0;9;12;6;8;244;34;10;21;3;2;9;6;1;4;0;1;10;1;3;6;5;14;283;90;26;479;18;4;6;9;3;29;4;10;11;4;8;4;5;57;112;25;32;2;4;12;5;11;6;2;3;6;3;7;5;3;5;4;325;30;56;137;17;5;5;10;3;8;1;1;1;15;2;11;0;8;29;6;1;2;2;2;1;2;1;0;0;0;0;0;6;0;1;1;0;2;1;0;1;0;7;1;5
300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";11;11;15;7;2;8;2;3;2;4;6;2;0;1;4;1;0;0;1;6;414;28;9;7;25;8;7;95;10;8;3;5;9;1;7;31;1;10;357;35;8;12;5;0;2;4;5;14;4;0;11;1;3;7;1;15;368;78;18;804;19;8;11;29;7;43;6;12;19;6;14;14;13;109;170;24;40;1;6;6;9;6;6;8;6;4;6;8;3;5;3;10;393;31;48;184;5;2;2;26;7;5;3;4;8;14;1;2;1;7;35;7;3;7;4;0;0;4;2;1;3;0;2;3;11;1;1;1;1;2;2;0;2;4;5;4;4
300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";9;9;9;3;1;5;1;4;2;1;15;0;2;2;3;1;1;1;3;5;551;63;17;9;14;19;15;17;33;14;9;2;23;4;7;12;13;10;261;66;16;15;7;1;1;10;3;16;5;3;13;2;2;1;4;23;238;51;28;760;13;5;2;11;12;17;4;6;18;4;8;22;6;49;178;23;25;7;17;7;14;3;2;5;5;4;5;3;3;0;12;5;490;55;105;253;25;4;4;43;7;10;3;3;7;25;1;13;1;4;37;11;11;5;3;1;2;2;0;0;5;1;0;5;6;1;3;0;0;0;2;0;5;4;6;0;1
300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";7;7;17;7;0;3;0;2;2;2;2;0;2;1;1;2;0;0;1;1;138;15;8;3;8;5;9;29;7;6;0;1;5;0;7;27;4;5;223;15;2;11;1;1;5;5;0;5;3;2;11;1;3;2;0;5;133;28;5;515;7;5;1;9;1;14;4;5;5;0;7;5;1;60;54;21;13;3;7;7;2;3;0;2;1;0;3;4;1;3;0;5;164;12;41;116;3;2;0;22;2;5;3;1;14;5;1;6;0;3;9;2;0;0;1;0;2;1;0;0;1;0;0;3;0;1;1;0;0;2;0;1;1;2;0;0;4
300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";6;6;12;1;0;2;0;4;1;1;29;0;0;2;3;3;0;2;1;3;354;27;2;2;4;10;5;10;10;8;2;5;6;1;3;1;3;9;745;23;4;3;0;2;2;0;1;4;1;0;6;0;0;1;0;9;245;39;15;702;19;4;2;19;5;22;6;7;7;1;10;56;9;65;129;22;19;0;5;2;5;2;7;6;4;3;1;7;3;5;3;5;248;17;61;147;8;2;5;15;3;3;5;1;13;7;0;5;0;2;20;5;2;3;4;0;0;2;1;0;0;1;0;2;3;0;1;1;0;1;0;0;0;1;2;0;2
300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";15;15;38;6;8;7;2;5;5;7;22;2;9;5;12;4;3;0;2;12;666;58;29;16;37;19;40;27;24;19;7;6;25;4;16;12;23;18;547;76;20;38;5;8;8;8;10;28;13;14;19;10;4;159;1;39;645;168;48;1189;31;19;17;54;13;66;25;39;14;19;33;24;22;88;253;59;71;4;15;17;7;10;7;17;12;3;7;16;12;4;14;19;778;110;128;316;33;9;4;33;14;11;3;9;36;20;4;17;3;17;31;10;2;13;6;2;2;4;4;3;2;5;4;4;7;1;1;0;1;1;2;0;0;0;2;1;7
300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";14;14;40;4;2;6;2;2;12;7;19;0;2;3;5;4;1;0;3;11;650;116;17;14;21;23;23;28;23;20;5;7;18;3;10;13;17;22;983;82;20;25;3;6;8;4;6;21;7;3;15;1;1;3;1;22;661;140;36;1023;26;15;22;25;11;48;20;17;21;10;13;592;26;55;253;62;49;5;15;11;10;9;10;5;13;6;6;20;7;5;8;12;652;93;241;375;31;7;6;20;17;14;10;6;13;23;1;10;2;13;32;30;7;5;7;1;0;2;2;3;2;1;2;2;4;0;2;2;0;2;1;0;0;0;2;2;22
300901;"m. Koło";"kolski";"wielkopolskie";15;15;48;15;8;88;2;1;10;8;4;3;4;3;13;1;1;3;5;8;580;47;37;41;20;9;22;12;33;20;10;5;8;4;9;2;13;1052;358;106;112;57;20;7;43;22;35;19;21;10;35;17;15;4;19;42;1219;469;398;43;352;56;203;45;1017;97;18;33;14;5;20;26;9;29;386;47;57;13;15;15;7;2;5;10;10;3;2;5;2;74;6;26;1282;666;239;14;660;2;5;7;7;12;7;10;8;36;6;18;3;13;88;9;11;14;5;1;5;5;1;3;0;1;2;5;17;0;2;1;0;1;0;2;0;3;4;3;2
300902;"gm. Babiak";"kolski";"wielkopolskie";5;5;30;11;4;8;1;0;3;3;0;0;4;0;12;0;0;2;3;7;201;58;13;8;6;19;15;6;19;7;8;1;3;2;5;1;7;84;78;21;23;11;3;0;3;2;6;5;11;2;7;1;1;4;3;23;676;399;189;152;167;15;152;59;65;98;10;43;16;9;22;29;9;18;171;20;31;8;10;6;3;9;5;11;0;2;2;5;3;12;0;13;341;81;30;8;54;5;2;8;1;8;0;3;5;15;1;4;7;5;18;5;0;6;3;1;0;1;1;1;1;0;0;1;7;0;5;1;0;1;1;1;0;1;6;1;1
300903;"gm. Chodów";"kolski";"wielkopolskie";4;4;7;2;0;1;0;3;2;0;1;0;1;2;3;0;0;0;1;2;53;10;9;18;1;4;7;7;6;1;2;2;1;1;2;1;7;27;24;13;4;4;1;0;2;1;5;5;2;0;5;2;1;3;0;10;254;111;206;83;53;4;13;20;5;38;5;6;1;1;10;4;7;9;76;11;9;0;2;3;4;3;1;2;0;1;1;0;2;3;3;0;134;16;3;3;12;0;0;3;0;2;0;3;0;3;2;2;1;3;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;45;0;0;0;0;0;1;0;1;0;0
300904;"gm. Dąbie";"kolski";"wielkopolskie";5;5;15;6;2;3;1;1;7;2;5;0;1;1;7;0;0;0;4;7;134;27;15;34;8;6;17;17;12;8;3;1;3;3;6;0;2;64;68;16;16;22;1;3;1;1;1;6;4;2;5;5;2;1;2;11;959;314;192;115;113;15;28;44;44;40;10;13;10;1;14;16;6;13;98;16;22;2;10;1;5;8;3;6;5;2;4;6;1;9;1;5;252;51;16;7;52;3;0;5;0;1;0;0;0;6;1;2;0;5;17;2;0;4;2;1;4;1;1;0;1;0;5;1;2;0;0;0;0;0;0;0;0;1;3;3;0
300905;"gm. Grzegorzew";"kolski";"wielkopolskie";7;7;13;11;4;17;0;0;4;2;1;0;3;0;2;1;0;7;1;5;133;29;13;18;9;22;12;11;14;10;3;8;0;0;1;0;2;102;52;16;13;22;8;3;6;6;66;10;3;0;8;1;1;1;1;6;440;190;429;99;157;8;68;25;44;41;4;20;8;6;13;11;2;7;131;16;13;4;8;5;3;3;3;6;2;4;0;1;1;7;4;14;191;82;17;1;77;6;0;4;2;0;0;0;0;5;3;1;3;6;26;5;2;5;3;1;2;1;2;0;0;1;1;1;1;0;7;0;0;0;0;0;0;0;6;0;0
300906;"gm. Kłodawa";"kolski";"wielkopolskie";11;11;29;11;5;9;1;1;7;10;4;3;3;1;11;2;0;1;5;8;315;45;29;22;19;25;18;23;28;22;2;9;6;0;11;1;3;81;153;50;21;26;15;3;12;3;13;10;10;4;18;2;2;5;3;20;492;117;2279;95;100;9;45;28;15;37;5;3;10;5;1;14;4;14;361;23;24;6;8;10;3;2;3;5;4;2;4;3;4;6;4;11;748;183;80;4;102;9;3;6;5;6;3;14;3;29;4;8;0;5;31;3;2;4;1;1;4;3;2;0;1;0;0;4;1;0;2;0;0;2;1;0;0;1;17;1;1
300907;"gm. Koło";"kolski";"wielkopolskie";7;7;17;8;2;22;1;3;3;2;1;0;1;3;9;0;0;3;4;8;264;43;18;18;12;14;10;7;23;5;5;6;1;2;7;1;10;287;69;25;32;22;3;2;18;4;17;10;1;3;9;5;4;5;2;14;621;275;269;40;251;12;81;42;153;80;3;24;13;7;25;19;9;18;223;25;30;5;8;5;3;4;6;11;3;2;0;3;0;26;4;10;389;164;59;0;180;3;2;2;0;3;1;2;1;10;0;5;2;6;37;6;2;16;2;0;0;2;2;3;0;1;1;2;4;0;0;0;0;1;0;0;1;0;3;2;0
300908;"gm. Kościelec";"kolski";"wielkopolskie";4;4;17;7;5;22;2;0;6;3;2;0;3;0;8;0;1;1;0;4;175;52;18;50;33;7;12;8;10;11;2;8;3;3;3;3;7;164;59;21;13;26;5;1;4;3;16;4;4;2;4;3;1;2;32;12;589;292;111;82;312;17;129;35;180;58;10;24;6;8;9;16;8;20;163;25;23;5;5;11;4;3;1;7;2;3;4;1;2;19;1;8;310;103;55;10;104;6;3;2;0;3;0;1;0;11;1;5;0;3;14;3;3;10;1;0;0;4;0;1;1;0;3;4;4;1;1;0;0;0;0;0;1;1;2;0;0
