"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WOJCIECHOWSKI Mateusz Sławomir - KW BEZPARTYJNI SAMORZĄDOWCY";"WOJTCZAK Anna Danuta - KW BEZPARTYJNI SAMORZĄDOWCY";"CISZAK Mariusz - KW BEZPARTYJNI SAMORZĄDOWCY";"BARYŁA Ewa Franciszka - KW BEZPARTYJNI SAMORZĄDOWCY";"PRENTCZYŃSKI Sławomir Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"KANABUS-KOSZAL Ewa - KW BEZPARTYJNI SAMORZĄDOWCY";"WOJEWODA Katarzyna - KW BEZPARTYJNI SAMORZĄDOWCY";"FILIPIAK Artur - KW BEZPARTYJNI SAMORZĄDOWCY";"MĄDRA-MAKOWSKA Lidia - KW BEZPARTYJNI SAMORZĄDOWCY";"RAJEWICZ Zygmunt Władysław - KW BEZPARTYJNI SAMORZĄDOWCY";"WEBER Dorota Izabela - KW BEZPARTYJNI SAMORZĄDOWCY";"MILISZEWSKA Edyta Kinga - KW BEZPARTYJNI SAMORZĄDOWCY";"BUGAJ Agata - KW BEZPARTYJNI SAMORZĄDOWCY";"GĄSIOROWSKI Tomasz Michał - KW BEZPARTYJNI SAMORZĄDOWCY";"BIESIEDIN Waldemar Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"DURKIEWICZ Konrad Tadeusz - KW BEZPARTYJNI SAMORZĄDOWCY";"AUGUSTYNIAK Damian Marek - KW BEZPARTYJNI SAMORZĄDOWCY";"SIWIŃSKA Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"HENNIG-KLOSKA Paulina - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PYRZYK Michał - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ADAMÓW Paweł Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SEŃKO Mariusz Krzysztof - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MUSIAŁOWSKI Mariusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"CZAJKOWSKI Krzysztof Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ŁECHTAŃSKA Agnieszka - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STAJKOWSKA Izabela - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WASIELEWSKA Emilia - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SROKA Paulina Katarzyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KŁOPOT-WARTECKA Aneta Daria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ELTMAN Jakub - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GAWRECKI Bartłomiej Mikołaj - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STĘPA Teodor - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TOMCZAK Michał Bartłomiej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BERLIK Jerzy Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MATUSZEWSKA Tatiana Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GAJDA Robert Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TOMASZEWSKI Tadeusz - KW NOWA LEWICA";"KASPRZAK-BARTKOWIAK Kamila - KW NOWA LEWICA";"CZERNIEJEWSKI Piotr - KW NOWA LEWICA";"MACIEJEWSKA Joanna Maria - KW NOWA LEWICA";"DZIAMARA Łukasz - KW NOWA LEWICA";"WNUK Andrzej Jacek - KW NOWA LEWICA";"NOWAK Tomasz Andrzej - KW NOWA LEWICA";"KUBICKA-SZTUL Krystyna - KW NOWA LEWICA";"ŁUCZYŃSKI Łukasz - KW NOWA LEWICA";"KOBIELSKA Ewa - KW NOWA LEWICA";"NIEKOCHAŃSKA Agnieszka - KW NOWA LEWICA";"GŁOWACKI Maciej Błażej - KW NOWA LEWICA";"PRZYBYLSKA Sylwia Anna - KW NOWA LEWICA";"JAŚKIEWICZ Marek - KW NOWA LEWICA";"MIEDZIAK Wiktoria - KW NOWA LEWICA";"LEWANDOWSKI Marcin - KW NOWA LEWICA";"MAŃKA Roman - KW NOWA LEWICA";"BĄK Anna - KW NOWA LEWICA";"HOFFMANN Zbigniew Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"CZARNECKI Witold Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"NIESTRAWSKA Aneta - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOLATA Zbigniew - KW PRAWO I SPRAWIEDLIWOŚĆ";"BARTOSIK Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"ITMAN Zofia Mariola - KW PRAWO I SPRAWIEDLIWOŚĆ";"POPKOWSKI Robert Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KAŁUŻNY Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIORUN Radomir Tomasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WOŹNIAK Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"BARTKOWIAK Jacek Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIŚNIEWSKA-ZABŁOCKA Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"TWARDOWSKA Monika - KW PRAWO I SPRAWIEDLIWOŚĆ";"WOJNA Paweł - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOPEĆ Magdalena - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRABOWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZYKOWNA Anita Aldona - KW PRAWO I SPRAWIEDLIWOŚĆ";"GAWEŁ Robert Kazimierz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BRYŁKA Anna Mirosława - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JÓŹWIAK Maciej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOŁODZIEJCZAK Karol Hubert - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"TALENT-DOMINIAK Jakub Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KIEŁBOWICZ Andżelika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZMYTKA Piotr Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRONEK Przemysław Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BANASZCZAK Tomasz Przemysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WITASIAK Sebastian Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JANKOWSKI Rafał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GĄSIOREK Paulina Grażyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KIN Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SKITEK Adrianna Katarzyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KUJAWSKI Piotr Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DOGA Marta Agnieszka - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RUSIN Paweł Rafał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PAWEŁCZAK Emilia Magdalena - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATUSZEWSKA Marta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOŁODZIEJCZAK Michał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NOWAK Tomasz Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NISZCZAK-SIERADZKA Inez Magdalena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GRUSZCZYŃSKI Piotr Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POLITAŃSKA Agnieszka Iwona - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"RYBARSKI Piotr Tadeusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"IWAŃCZUK Ernest Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"REZGUI Agata - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PILARSKI Ryszard - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SARNOWSKA-CZAJKA Beata - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PRZYJEMSKI Marek Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MARCHLEWSKA Anna Danuta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"LISIECKI Marek Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NOWAK Anna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MŁYNARCZYK Dariusz Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KACZMAREK Paulina Anna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"EJMA Marek Leon - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"LEWANDOWSKI Krzysztof - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BĄKOWSKI Marek - KW POLSKA JEST JEDNA";"MAŁYSZ Józef Jerzy - KW POLSKA JEST JEDNA";"PIETROWSKI Szymon - KW POLSKA JEST JEDNA";"SZABELSKA Aneta - KW POLSKA JEST JEDNA";"MAZUR Patrycja Anna - KW POLSKA JEST JEDNA";"OCHOWIAK Jarosław Paweł - KW POLSKA JEST JEDNA";"CHOCIAJ Arkadiusz Krzysztof - KW POLSKA JEST JEDNA";"HENKE Anna Maria - KW POLSKA JEST JEDNA";"BOROWSKI Maciej Przemysław - KW POLSKA JEST JEDNA";"CIEŚLAK Mirosław Józef - KW POLSKA JEST JEDNA";"URBAN Irina - KW POLSKA JEST JEDNA";"KORDUS Maria - KW POLSKA JEST JEDNA";"SÓJKA Szymon - KW POLSKA JEST JEDNA";"TARNAWSKA Elżbieta Maria - KW POLSKA JEST JEDNA";"KLAMECKI Artur Stanisław - KWW RDIP";"NIWIŃSKI Grzegorz Henryk - KWW RDIP";"ZAWADZKA-PŁACZKIEWICZ Ewa Janina - KWW RDIP";"SIWIAK Paweł Hubert - KWW RDIP";"ANDRZEJAK Marcin Łukasz - KWW RDIP";"WOJTKOWIAK Kinga Arleta - KWW RDIP";"PRZYBYLAK Agata Maria - KWW RDIP";"ŁUKASZEWSKI Rafał Stanisław - KWW RDIP";"ANDRZEJEWSKI Grzegorz Antoni - KWW RDIP";"NOWAK Michał - KWW RDIP";"ŁYSIK Katarzyna Anna - KWW RDIP";"TAMBORSKA Natalia Anna - KWW RDIP";"KNAST Wojciech Kazimierz - KWW RDIP"
1;"Szkoła Podstawowa Nr 5, ul. Bolesława Chrobrego 12, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;77;7;0;0;2;1;2;1;0;0;0;3;5;0;0;0;1;0;54;8;0;1;0;0;0;1;1;0;1;1;2;0;1;0;0;0;22;4;1;47;1;1;0;1;0;3;0;0;1;0;0;0;0;20;16;3;1;1;0;1;4;0;0;0;2;0;0;0;0;0;0;0;49;2;7;41;1;1;0;4;0;0;0;1;4;1;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;1;0;0;0;6;0;1
2;"Zespół Szkół Ponadpodstawowych Nr 3, ul. Henryka Sienkiewicza 6, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;2;3;4;0;0;2;1;1;1;0;0;1;2;0;0;0;0;0;129;1;4;3;4;0;3;2;1;4;0;2;5;0;1;2;0;0;109;23;2;5;1;0;1;1;1;4;0;0;3;1;0;1;0;3;47;7;3;106;2;1;2;3;0;4;0;0;3;0;1;1;1;26;40;4;4;1;1;1;4;0;1;0;2;0;2;2;0;0;1;2;86;6;22;108;7;0;1;3;0;1;0;0;6;1;0;0;0;2;3;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3;"II Liceum Ogólnokształcące im. Dąbrówki, ul. ks. Prym. Macieja Łubieńskiego 3/5, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;4;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;129;5;1;2;3;1;1;3;2;1;1;0;9;0;1;0;1;3;93;18;1;1;2;0;0;4;0;2;2;0;1;0;2;2;1;0;53;4;4;90;3;2;1;1;2;5;1;0;3;1;0;1;2;37;23;8;3;0;1;1;1;1;0;1;0;0;1;3;0;1;1;0;80;11;36;77;3;0;0;9;1;3;0;2;6;2;0;5;0;1;5;2;0;0;1;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
4;"Szkoła Podstawowa nr 2, ul. ks. Prym. Macieja Łubieńskiego 7, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;65;0;0;0;2;0;1;0;0;0;0;0;4;0;1;0;3;0;58;5;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;1;21;0;3;45;0;0;0;0;0;4;3;0;1;0;0;0;2;21;17;2;1;2;0;0;0;0;1;3;0;0;0;1;0;0;0;0;40;2;21;54;0;0;0;1;0;0;0;1;1;1;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0
5;"Wielkopolskie Samorządowe Centrum Kształcenia Zawodowego i Ustawicznego w Gnieźnie, ul. Mieszka I 27, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;115;6;4;0;0;0;1;1;1;2;0;1;0;0;2;0;2;1;70;15;2;3;0;1;0;2;0;2;1;0;0;0;0;1;0;5;27;4;4;79;3;1;0;1;0;5;2;1;0;0;1;1;2;27;28;6;3;0;1;0;1;0;0;1;0;0;0;2;0;0;0;0;78;10;25;69;1;0;0;2;3;4;0;0;6;0;0;0;0;0;4;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;2
6;"Żłobek Miejski nr 1, ul. Tadeusza Kościuszki 21, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;1;2;0;0;0;0;0;0;2;1;1;3;1;0;0;0;0;0;62;9;1;2;3;1;3;1;1;1;1;0;1;0;0;0;0;1;84;9;2;6;0;1;0;0;1;1;1;0;2;0;0;0;0;2;31;0;1;94;2;3;0;1;0;0;1;2;0;0;0;0;1;34;21;5;1;1;0;1;0;2;1;0;2;0;0;0;0;1;0;0;63;9;13;60;0;3;0;0;0;1;0;0;3;4;0;0;0;1;4;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
7;"Żłobek Miejski nr 1, ul. Tadeusza Kościuszki 21, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;5;1;1;0;0;1;1;1;4;0;2;0;1;0;0;0;1;1;165;3;2;3;0;2;4;3;2;4;1;1;4;1;0;1;1;2;161;14;3;5;1;0;3;1;1;5;1;0;4;2;0;1;0;6;61;12;9;162;3;1;2;3;0;4;0;0;5;1;3;4;1;54;42;18;3;0;1;2;5;2;1;0;0;0;0;4;2;2;0;1;112;19;51;107;4;2;1;3;3;4;1;2;5;5;0;2;0;5;3;0;0;1;3;0;3;1;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0
8;"Szkoła Podstawowa nr 1, ul. św. Jana 2a, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;8;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;202;11;4;0;5;2;1;3;2;2;2;0;9;0;1;1;1;1;109;21;1;9;0;0;1;1;0;2;1;0;2;0;0;0;0;2;86;14;2;199;4;0;1;1;1;4;1;3;3;1;2;2;1;54;53;8;3;3;2;4;2;2;1;0;1;0;2;5;1;2;0;1;105;6;42;137;2;0;1;8;4;1;0;1;4;9;0;0;1;5;11;9;4;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;5;0;0
9;"Szkoła Podstawowa Nr 3, ul. Stefana Czarnieckiego 7, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;6;0;1;2;1;0;1;1;2;0;0;1;2;1;1;0;0;2;277;7;1;1;5;1;4;3;6;2;1;2;17;0;0;9;0;2;152;18;5;8;0;0;1;0;1;2;2;3;5;0;2;1;1;4;76;17;8;280;7;3;0;3;3;3;1;4;8;0;0;3;4;92;56;8;9;2;1;0;3;2;1;4;1;0;0;5;1;1;1;1;205;12;68;199;9;0;0;21;4;2;0;1;8;7;0;3;1;6;17;3;1;5;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;2
10;"I Liceum Ogólnokształcące im. B. Chrobrego, ul. prof. Józefa Kostrzewskiego 3, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;2;3;1;1;0;1;0;0;1;0;0;0;2;0;0;0;0;4;239;14;6;2;4;0;3;1;0;1;0;2;12;2;3;2;1;2;125;31;3;3;1;2;0;0;0;1;0;0;2;0;0;0;2;7;59;16;5;125;3;0;0;2;1;4;1;3;3;4;0;1;1;61;79;7;8;0;2;0;5;0;1;0;0;0;0;4;1;1;0;1;176;20;72;190;5;0;0;14;2;2;0;0;7;5;3;2;0;7;6;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;1
11;"Budynek administracyjny Woj. Szpitala dla Nerwowo i Psychicznie Chorych, ul. Poznańska 15, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;7;2;0;0;0;0;1;1;2;1;1;0;0;1;0;0;0;0;170;4;0;1;0;1;4;2;1;2;0;2;6;0;1;1;0;0;100;14;3;9;0;0;0;1;0;2;0;0;3;0;0;0;0;0;42;11;1;149;2;2;1;1;1;5;7;1;6;0;0;0;1;52;32;5;3;1;1;2;3;0;0;1;1;0;0;1;1;3;0;0;96;14;31;122;4;0;0;8;1;2;1;1;5;2;0;3;0;5;2;1;1;3;2;0;1;0;0;0;0;0;0;0;4;1;0;0;0;3;1;0;0;0;0;0;5
12;"I Liceum Ogólnokształcące im. B. Chrobrego, ul. prof. Józefa Kostrzewskiego 3, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;3;0;1;1;1;1;0;1;3;1;1;2;2;0;0;0;0;1;308;14;2;1;3;2;5;4;2;4;1;0;7;0;2;2;1;1;162;18;7;5;1;0;2;1;1;1;0;2;1;0;0;0;0;3;64;9;4;207;1;4;0;0;0;4;4;4;11;1;1;10;5;59;64;8;9;1;4;2;2;0;0;0;4;1;1;6;3;2;0;3;168;32;68;163;6;1;0;11;1;1;0;2;18;5;3;1;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4
13;"Przedszkole Nr 2, ul. Wrzesińska 49A, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;3;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;174;7;1;1;1;5;3;2;2;2;0;1;3;0;1;2;1;1;108;11;2;2;1;1;0;0;1;3;0;1;2;2;2;0;1;0;67;6;3;121;2;4;3;5;3;2;0;0;0;0;3;0;3;37;46;4;2;0;2;3;1;0;1;0;1;0;0;11;0;1;1;0;90;9;28;102;3;0;1;12;2;0;0;0;7;0;0;0;1;1;5;4;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
14;"Przedszkole Nr 2, ul. Wrzesińska 49A, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;4;1;0;0;0;0;1;2;1;0;0;1;4;0;0;0;0;1;165;7;2;0;1;2;6;1;2;1;0;0;5;1;0;1;1;1;87;15;7;0;0;0;0;0;0;7;1;1;2;0;1;1;1;8;83;6;5;143;3;3;4;1;0;4;2;2;2;0;2;2;1;31;29;7;9;0;3;3;1;2;0;1;1;0;1;2;2;0;0;1;104;10;26;95;2;0;1;6;1;0;0;1;6;2;0;3;0;2;3;0;1;2;0;0;0;0;1;0;0;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1
15;"Miejskie Przedsiębiorstwo Komunikacyjne Sp. z o. o., ul. Wesoła 7, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;4;2;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;160;12;1;2;2;0;2;0;1;0;0;0;7;2;2;2;0;2;87;11;3;2;0;1;1;1;3;3;0;0;4;0;0;0;1;4;43;6;3;76;0;1;0;3;0;1;1;2;2;0;1;3;0;27;22;6;3;0;1;0;2;0;0;0;2;0;1;2;0;1;0;4;94;7;20;74;3;1;0;3;5;2;1;0;4;0;0;1;0;0;3;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;2;0;0;0;1;1;0;1
16;"Szkoła Podstawowa Nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";1;1;5;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;203;5;1;3;4;1;3;6;3;3;0;3;6;1;1;0;2;2;128;20;0;3;4;0;0;0;1;0;2;0;0;0;0;0;0;6;57;10;2;137;4;2;0;0;0;4;2;3;3;2;1;1;1;39;34;3;4;1;3;2;8;0;0;1;2;0;0;4;0;0;0;2;111;8;35;89;3;1;2;12;0;4;1;2;6;2;0;4;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
