"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZURKIEWICZ Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"LENZ Tomasz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa Nr 2, ul. Szkolna 6, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;179;350
2;"Zespół Szkół Ogólnokształcących Nr 1, ul. Dominikańska 35, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;172;229
3;"Zespół Szkół Ogólnokształcących Nr 1, ul. Dominikańska 35, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;172;257
4;"Szkoła Podstawowa Nr 2, ul. 22 Stycznia 4, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;184;277
5;"Szkoła Podstawowa Nr 2, ul. Szkolna 6, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;198;516
6;"Szkoła Podstawowa nr 2, ul. 22 Stycznia 4, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;193;521
7;"Miejski Ośrodek Profilaktyki i Rozwiązywania Problemów Uzależnień, ul. Kamionka 3, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;209;368
8;"Szkoła Podstawowa Nr 1, ul. Kościuszki 11, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;163;348
9;"Szkoła Podstawowa Nr 1, ul. Kościuszki 11, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;184;303
10;"Szkoła Podstawowa nr 4, os. Marii Curie-Skłodowskiej 16, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;184;568
11;"Spółdzielnia Mieszkaniowa, ul. Młyńska 7, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;207;432
12;"Szkoła Podstawowa Nr 4, os. Marii Curie-Skłodowskiej 16, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;173;351
13;"Szkoła Podstawowa Nr 4, os. Marii Curie-Skłodowskiej 16, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;208;416
14;"Szkoła Podstawowa Specjalna, ul. Dworcowa 20-22, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;237;463
15;"Szkoła Podstawowa Specjalna, ul. Dworcowa 20-22, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;201;402
16;"Zespół Opieki Zdrowotnej-Szpital, pl. plac Dr. Rydygiera 1, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;14;19
17;"Dom Pomocy Społecznej, ul. Dominikańska 40, 86-200 Chełmno";40401;"m. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;13;2
1;"Szkoła Podstawowa im. Ireny Sendlerowej, Starogród 33, 86-200 Chełmno";40402;"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;291;420
2;"Szkoła Podstawowa im. Mikołaja Kopernika, Kolno 33, 86-200 Chełmno";40402;"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;271;447
3;"Szkoła Podstawowa im. Ziemi Chełmińskiej, Podwiesk 43, 86-200 Chełmno";40402;"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;231;289
4;"Szkoła Podstawowa im. Bronisława Malinowskiego, Małe Łunawy 21, 86-200 Chełmno";40402;"gm. Chełmno";"chełmiński";"kujawsko-pomorskie";1;1;289;472
1;"Szkoła Podstawowa, Brzozowo ul. Miodowa 2, 86-200 Chełmno";40403;"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";1;1;158;377
2;"Szkoła Podstawowa, ul. św. Wawrzyńca 6, 86-253 Kijewo Królewskie";40403;"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";1;1;312;430
3;"Świetlica wiejska, Płutowo 17A, 86-253 Kijewo Królewskie";40403;"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";1;1;198;178
4;"Szkoła Podstawowa, Trzebczyk 2, 86-253 Kijewo Królewskie";40403;"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";1;1;151;139
5;"Szkoła Podstawowa im. Jana Slaskiego, Trzebcz Szlachecki 18, 86-253 Kijewo Królewskie";40403;"gm. Kijewo Królewskie";"chełmiński";"kujawsko-pomorskie";1;1;155;146
1;"Szkoła Podstawowa, Krusin 53, 86-230 Lisewo";40404;"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";1;1;330;178
2;"Zespół Szkolno-Przedszkolny, ul. Toruńska 16, 86-230 Lisewo";40404;"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";1;1;313;545
3;"Zespół Szkolno-Przedszkolny, ul. Toruńska 17, 86-230 Lisewo";40404;"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";1;1;272;302
4;"Zespół Szkolno-Przedszkolny, ul. Toruńska 16, 86-230 Lisewo";40404;"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";1;1;94;74
5;"Świetlica Wiejska, Pniewite 1, 86-230 Lisewo";40404;"gm. Lisewo";"chełmiński";"kujawsko-pomorskie";1;1;191;167
1;"Szkoła Podstawowa im. Mikołaja Kopernika, Dubielno 14, 86-221 Papowo Biskupie";40405;"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";1;1;129;145
2;"Świetlica Wiejska, Nowy Dwór Królewski 41, 86-221 Papowo Biskupie";40405;"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";1;1;137;139
3;"Szkoła Podstawowa im. Noblistów Polskich, Papowo Biskupie 127A, 86-221 Papowo Biskupie";40405;"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";1;1;331;329
4;"Szkoła Podstawowa im. Romualda Traugutta, Zegartowice 13, 86-221 Papowo Biskupie";40405;"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";1;1;139;155
5;"Świetlica Wiejska, Jeleniec 61, 86-221 Papowo Biskupie";40405;"gm. Papowo Biskupie";"chełmiński";"kujawsko-pomorskie";1;1;135;149
1;"Świetlica wiejska, Cepno 38, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;108;90
2;"Świetlica wiejska, Małe Czyste 40A, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;100;138
3;"Świetlica wiejska, Grubno 74, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;115;253
4;"Szkoła Podstawowa, Stolno 88, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;200;251
5;"Świetlica wiejska, Wabcz 85, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;139;208
6;"Szkoła Podstawowa, Robakowo 95, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;291;245
7;"Świetlica wiejska, Rybieniec 60, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;79;94
8;"Świetlica wiejska, Paparzyn 123, 86-212 Stolno";40406;"gm. Stolno";"chełmiński";"kujawsko-pomorskie";1;1;82;113
1;"Hala Widowiskowo-Sportowa (wejście boczne od strony Zespołu Szkół), ul. Spokojna 16, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;404;563
2;"Hala Widowiskowo-Sportowa (wejście główne od strony ul. Spokojnej), ul. Spokojna 16, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;247;343
3;"Gminny Ośrodek Kultury, ul. Parkowa 22, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;179;179
4;"Szkoła Podstawowa, Kokocko ul. Szkolna 4, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;85;102
5;"Przedszkole Gminne Krasnoludek, ul. Lipowa 31, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;179;352
6;"Świetlica Wiejska, Błoto 2, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;83;69
7;"Niepubliczna Szkoła Podstawowa, Bruki Unisławskie 32B, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;96;116
8;"Świetlica Wiejska, Grzybno 57, 86-260 Unisław";40407;"gm. Unisław";"chełmiński";"kujawsko-pomorskie";1;1;149;144
1;"Pomieszczenia Urzędu Miasta, ul. Tumska 12, 87-140 Chełmża";41501;"m. Chełmża";"toruński";"kujawsko-pomorskie";1;1;421;628
2;"Hala Sportowo-Widowiskowa, ul. gen. Józefa Hallera 17a, 87-140 Chełmża";41501;"m. Chełmża";"toruński";"kujawsko-pomorskie";1;1;263;477
3;"Szkoła Podstawowa Nr 3, ul. ks. Piotra Skargi 1, 87-140 Chełmża";41501;"m. Chełmża";"toruński";"kujawsko-pomorskie";1;1;367;491
4;"Zakład Gospodarki Komunalnej Sp. z o. o., ul. Toruńska 1, 87-140 Chełmża";41501;"m. Chełmża";"toruński";"kujawsko-pomorskie";1;1;477;823
5;"Szkoła Podstawowa Nr 5, ul. Stefana Kardynała Wyszyńskiego 5, 87-140 Chełmża";41501;"m. Chełmża";"toruński";"kujawsko-pomorskie";1;1;158;363
