"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOBER Ryszard Jakub - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAMLAU Józef Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBIŃSKI Adam Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ADAMCZYK Zbigniew - KW ZWIĄZKU SŁOWIAŃSKIEGO"
1;"Nadleśnictwo Brodnica, ul. Sądowa 16, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;622;247;82;44
2;"Dom Pomocy Społecznej, ul. Wiejska 1, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;395;216;61;13
3;"Szkoła Podstawowa Nr 2, ul. Kolejowa 62, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;804;336;120;47
4;"Przedszkole Nr 8, ul. Zielona 3, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;854;386;125;43
5;"Brodnicki Dom Kultury, ul. Przykop 43, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;663;381;92;43
6;"Szkoła Podstawowa Nr 1, ul. 3 Maja 2, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;247;133;43;21
7;"Szkoła Podstawowa Nr 1, ul. 3 Maja 2, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;360;203;55;29
8;"I Liceum Ogólnokształcące, ul. Lidzbarska 14, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;612;279;75;46
9;"Zespół Szkół Nr 1, ul. Matejki 5, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;867;294;99;42
10;"Zespół Szkół Nr 1, ul. Matejki 5, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;367;217;38;25
11;"Przedszkole im. Marii Konopnickiej, ul. Stanisława Wyspiańskiego 12a, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;371;257;53;29
12;"Przedszkole im. Marii Konopnickiej, ul. Stanisława Wyspiańskiego 12a, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;744;358;140;45
13;"Warsztat Terapii Zajęciowej, ul. Stanisława Wyspiańskiego 13, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;384;230;73;30
14;"Szkoła Podstawowa Nr 4, ul. Nowa 34, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;644;350;110;46
15;"Szkoła Podstawowa Nr 4, ul. Nowa 34, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;428;198;76;31
16;"Szpital, ul. Wiejska 9, 87-300 Brodnica";40201;"m. Brodnica";"brodnicki";"kujawsko-pomorskie";1;1;26;20;2;3
1;"Gminny Ośrodek Kultury, Bobrowo 52, 87-327 Bobrowo";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;238;135;27;19
2;"Świetlica Wiejska, Grzybno 56, 87-327 Bobrowo";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;157;110;20;11
3;"Wiejski Dom Kultury, Nieżywięć 40, 87-326 Bobrowo";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;342;228;60;22
4;"Szkoła Podstawowa, Kruszyny 7A, 87-326 Nieżywięć";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;100;101;22;6
5;"Szkoła Podstawowa, Małki 30, 87-325 Bobrowo";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;270;282;45;23
6;"Świetlica Wiejska, Zgniłobłoty 58, 87-327 Bobrowo";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;90;73;22;11
7;"Świetlica Wiejska, Drużyny 51, 87-327 Bobrowo";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;183;123;33;16
8;"Świetlica Wiejska, Kawki 13, 87-326 Nieżywięć";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;90;82;13;7
9;"Świetlica Wiejska, Brudzawy 21A, 87-326 Nieżywięć";40202;"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";1;1;67;48;17;5
