"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SKRODZKI Sławomir Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"KUKUCKI Krzysztof Aleksander - KW NOWA LEWICA";"ŁYCZAK Józef Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LISIECKI Jakub Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Środowiskowy Dom Samopomocy im. Prof. Jana Władysława Piltza, ul. Bolesława Limanowskiego 12, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;76;394;291;84
2;"Szkoła Techniczna Bydgoskiego Zakładu Doskonalenia Zawodowego w Aleksandrowie Kujawskim, ul. Długa 8, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;78;313;306;79
3;"Szkoła Podstawowa Nr 4 im. Jana Pawła II, ul. Strażacka 22, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;70;404;262;100
4;"Szkoła Podstawowa Nr 4 im. Jana Pawła II, ul. Strażacka 22, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;20;113;104;34
5;"Szkoła Podstawowa Nr 1 im. Polskich Podróżników, ul. gen. Władysława Sikorskiego 5, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;105;418;234;95
6;"Szkoła Podstawowa Nr 3 im. Józefa Wybickiego, ul. Szkolna 6, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;69;359;193;45
7;"Miejskie Centrum Kultury im. Mariana Szafrańskiego, ul. Parkowa 3, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;74;437;257;91
8;"Przedszkole im. Juliana Tuwima, ul. Wojska Polskiego 19, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;78;438;213;108
9;"Sala przy Izbie Przyjęć Powiatowego Szpitala w Aleksandrowie Kujawskim Sp. z o. o., ul. Juliusza Słowackiego 18, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;8;32;31;6
10;"Świetlica Kolejowego Szpitala Uzdrowiskowego Sp. z o. o. w Ciechocinku Oddział Zamiejscowy w Aleksandrowie Kujawskim, ul. Gabriela Narutowicza 12, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;19;38;71;10
1;"Przedszkole Samorządowe nr 2, ul. Wierzbowa 10, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;84;589;405;70
2;"Przedszkole Samorządowe nr 1, ul. Widok 9, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;117;841;666;89
3;"Szkoła Podstawowa nr 1, ul. Mikołaja Kopernika 18, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;100;499;381;87
4;"Szkoła Podstawowa nr 1, ul. Mikołaja Kopernika 18, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;117;543;433;91
5;"Miejskie Centrum Kultury, ul. Żelazna 5, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;85;613;426;86
6;"Szkoła Podstawowa nr 3, ul. Wojska Polskiego 37, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;80;540;380;55
7;"Szkoła Podstawowa nr 3, ul. Wojska Polskiego 37, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;162;830;570;114
1;"Muzeum Stanisława Noakowskiego, ul. Adama Mickiewicza 6, 87-730 Nieszawa";40103;"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";1;1;34;114;109;35
2;"Szkoła Podstawowa, ul. Tadeusza Kościuszki 6, 87-730 Nieszawa";40103;"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";1;1;20;146;136;31
3;"Szkoła Podstawowa, ul. Tadeusza Kościuszki 5, 87-730 Nieszawa";40103;"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";1;1;23;147;126;44
1;"Szkoła Podstawowa, ul. Toruńska 8, 87-710 Służewo";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;76;258;359;132
2;"Świetlica wiejska, Rożno-Parcele ul. Konwaliowa 48, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;70;306;163;92
3;"Świetlica wiejska, Nowa Wieś 17a, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;31;108;100;39
4;"Szkoła Podstawowa, Przybranowo 46, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;40;115;180;46
5;"Szkoła Podstawowa, Ostrowąs 81, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;43;75;119;32
6;"Żłobek Samorządowy Bursztynek, Odolion ul. Młodzieżowa 5, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;80;322;281;90
7;"Świetlica wiejska, Łazieniec ul. Podgórna 1, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;68;220;99;58
8;"Szkoła Podstawowa, Stawki ul. Szkolna 4, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;73;226;198;99
9;"Szkoła Podstawowa, Opoki 43, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;31;84;205;43
10;"Świetlica wiejska, Wołuszewo 30, 87-720 Ciechocinek";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;46;144;159;49
11;"Świetlica w Ośnie, Ośno 54a, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;25;73;81;23
12;"Dzienny Dom Pobytu w Słomkowie, Słomkowo ul. Kasztanowa 11, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;16;26;67;17
13;"Świetlica w Otłoczynie, Otłoczyn ul. Szlak Bursztynowy 37, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;21;85;75;15
14;"Muzeum Białych Kujaw w Słońsku Dolnym, Słońsk Dolny 24a, 87-720 Ciechocinek";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;13;65;62;19
15;"Dom Pomocy Społecznej dla Dzieci i Młodzieży w Grabiu, Grabie 34, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;10;30;39;4
16;"Świetlica wiejska, Ośno Drugie 28B, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;12;29;56;20
17;"Świetlica wiejska, Plebanka 13, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;14;21;62;19
1;"Zespół Szkolno – Przedszkolny w Bądkowie, ul. Włocławska 13, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;52;233;226;58
2;"Remiza Ochotniczej Straży Pożarnej w Wysocinie, Wysocin 42, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;43;143;248;60
3;"Świetlica wiejska w Kolonii Łowiczek, Kolonia Łowiczek 19, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;19;91;209;27
4;"Zespół Szkolno – Przedszkolny w Bądkowie, ul. Włocławska 13, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;60;160;317;67
5;"Remiza Ochotniczej Straży Pożarnej w Łówkowicach, Łówkowice 56, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;12;38;121;15
1;"Gminny Ośrodek Kultury w Konecku, ul. Włodzimierza Lubańskiego 15, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;22;70;145;41
2;"Szkoła Podstawowa w Świętem, Święte 1, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;31;75;158;23
3;"Szkoła Podstawowa w Straszewie, Straszewo 17, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;40;87;192;18
