"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SULIMA Marek Artur - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BIERECKI Grzegorz Michał - KW PRAWO I SPRAWIEDLIWOŚĆ"
1;"Samorządowe Przedszkole Nr 2 w Międzyrzecu Podlaskim, ul. Przedszkolna 2, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;406;451
2;"Liceum Ogólnokształcące w Międzyrzecu Podlaskim, ul. Lubelska 57, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;145;232
3;"Zespół Szkół Technicznych w Międzyrzecu Podlaskim, ul. Warszawska 30, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;231;226
4;"Sala gimnastyczna Zespołu Placówek Oświatowych Nr 1 w Międzyrzecu Podlaskim, ul. Warszawska 40, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;273;306
5;"Zespół Szkół Ekonomicznych w Międzyrzecu Podlaskim, ul. 3 Maja 40/42, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;528;635
6;"Zespół Placówek Oświatowych Nr 3 w Międzyrzecu Podlaskim, ul. Leśna 2, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;503;605
7;"Strażnica OSP ""Zawadki"" w Międzyrzecu Podlaskim, ul. Zawadki 8, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;297;347
8;"Hala sportowa Zespołu Placówek Oświatowych Nr 2 w Międzyrzecu Podlaskim, ul. Partyzantów 8, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;590;643
9;"Świetlica Zespołu Placówek Oświatowych Nr 2 w Międzyrzecu Podlaskim, ul. Partyzantów 8, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;245;256
10;"Świetlica Spółdzielni Mieszkaniowej w Międzyrzecu Podlaskim, ul. Prymasa Stefana Wyszyńskiego 7, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;891;721
11;"Szpital Powiatowy w Międzyrzecu Podlaskim, ul. Warszawska 2 - 4, 21-560 Międzyrzec Podlaski";60101;"m. Międzyrzec Podlaski";"bialski";"lubelskie";1;1;9;33
1;"Zespół Szkół Publicznych Nr 1, ul. Henryka Sienkiewicza 27, 21-550 Terespol";60102;"m. Terespol";"bialski";"lubelskie";1;1;597;519
2;"Miejska Biblioteka Publiczna, ul. Wojska Polskiego 132, 21-550 Terespol";60102;"m. Terespol";"bialski";"lubelskie";1;1;404;432
3;"Akademickie Liceum Ogólnokształcące w Terespolu, ul. Wojska Polskiego 88, 21-550 Terespol";60102;"m. Terespol";"bialski";"lubelskie";1;1;450;435
1;"Szkoła Podstawowa w Ciciborze Dużym, Cicibór Duży 1A, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;252;198
2;"Szkoła Podstawowa w Hrudzie, Hrud 33, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;133;233
3;"Przedszkole Samorządowe w Rakowiskach, Rakowiska ul. Wspólna 74, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;633;354
4;"Szkoła Podstawowa w Dokudowie Pierwszym, Dokudów Pierwszy 37A, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;107;120
5;"Szkoła Podstawowa w Ortelu Książęcym Drugim, Ortel Książęcy Drugi 33, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;141;152
6;"Szkoła Podstawowa w Grabanowie, Grabanów ul. Główna 47, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;452;314
7;"Szkoła Podstawowa w Sitniku, Sitnik 47, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;158;128
8;"Świetlica wiejska w Terebeli, Terebela 21, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;92;130
9;"Szkoła Podstawowa w Sławacinku Starym, Sławacinek Stary 72, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;363;266
10;"Szkoła Podstawowa w Styrzyńcu, Styrzyniec ul. Dworska 29A, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;220;204
11;"Szkoła Podstawowa w Sworach, Swory ul. Szkolna 34, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;330;408
12;"Świetlica wiejska w Czosnówce, Czosnówka ul. Topolowa 37, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;320;240
13;"Świetlica Wiejska w Wólce Plebańskiej, Wólka Plebańska 45B, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;148;255
14;"Szkoła Podstawowa w Woskrzenicach Dużych, Woskrzenice Duże 91, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;310;369
15;"Dom Pomocy Społecznej w Kozuli, Grabanów ul. Główna 2, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;19;34
16;"Świetlica wiejska w Porosiukach, Porosiuki 14, 21-500 Biała Podlaska";60103;"gm. Biała Podlaska";"bialski";"lubelskie";1;1;278;336
1;"Szkoła Podstawowa w Drelowie, ul. Szkolna 11, 21-570 Drelów";60104;"gm. Drelów";"bialski";"lubelskie";1;1;501;544
2;"Szkoła Podstawowa w Dołdze, Dołha 1, 21-570 Drelów";60104;"gm. Drelów";"bialski";"lubelskie";1;1;182;257
3;"Dom Ludowy w Szóstce, Szóstka 58a, 21-570 Drelów";60104;"gm. Drelów";"bialski";"lubelskie";1;1;249;254
4;"Szkoła Podstawowa w Żerocinie, Żerocin 32, 21-570 Drelów";60104;"gm. Drelów";"bialski";"lubelskie";1;1;137;171
5;"Dom Ludowy w Witorożu, Witoroż 2a, 21-570 Drelów";60104;"gm. Drelów";"bialski";"lubelskie";1;1;54;117
6;"Zakład Opiekuńczo-Leczniczy w Łózkach, Łózki 46, 21-570 Drelów";60104;"gm. Drelów";"bialski";"lubelskie";1;1;9;26
1;"Świetlica Wiejska w Werchlisiu, Werchliś 75, 21-505 Janów Podlaski";60105;"gm. Janów Podlaski";"bialski";"lubelskie";1;1;112;155
2;"Świetlica Wiejska w Bublu-Grannie, Bubel-Granna 78, 21-505 Janów Podlaski";60105;"gm. Janów Podlaski";"bialski";"lubelskie";1;1;71;87
3;"Zespół Placówek Oświatowych w Janowie Podlaskim, ul. 1 Maja 5, 21-505 Janów Podlaski";60105;"gm. Janów Podlaski";"bialski";"lubelskie";1;1;479;463
4;"Świetlica Wiejska w Nowym Pawłowie, Nowy Pawłów 124, 21-505 Janów Podlaski";60105;"gm. Janów Podlaski";"bialski";"lubelskie";1;1;148;186
