"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JASKUŁA Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"KOMARNICKI Władysław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Regionalne Centrum Edukacji Ponadgimnazjalnej-Zespół Szkół im. Marii Skłodowskiej-Curie, ul. Komisji Edukacji Narodowej 2, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;245;450
2;"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;241;342
3;"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;212;403
4;"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;201;481
5;"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;232;355
6;"Szkoła Podstawowa nr 1, ul. Tadeusza Kościuszki 7, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;188;362
7;"Szkoła Podstawowa nr 1, ul. Tadeusza Kościuszki 7, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;220;325
8;"Kostrzyńskie Centrum Kultury-Klub Osiedlowy, os. Osiedle Leśne 5, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;169;316
9;"Szkoła Podstawowa Nr 2, ul. Ludwika Banaszaka 1, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;238;365
10;"Biblioteka Miejska, ul. Dworcowa 7, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;232;365
11;"Szkoła Podstawowa Nr 2, ul. Ludwika Banaszaka 1, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;185;338
12;"Przedszkole Miejskie Nr 2, ul. Czereśniowa 1, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;193;323
13;"Przedszkole Miejskie Nr 2, ul. Czereśniowa 1, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;153;402
14;"Szkoła Podstawowa nr 3, ul. Mikołaja Reja 32a, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;181;339
15;"Szkoła Podstawowa nr 3, ul. Mikołaja Reja 32a, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;286;563
16;"Niepubliczny Zakład Opieki Zdrowotnej Nowy Szpital, ul. Gabriela Narutowicza 6, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;8;13
17;"Dom Pomocy Społecznej ""Dom Seniora"", ul. Gabriela Narutowicza 4a, 66-470 Kostrzyn nad Odrą";80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";1;1;9;8
1;"Szkoła Podstawowa, ul. Pocztowa 7, 66-450 Bogdaniec";80102;"gm. Bogdaniec";"gorzowski";"lubuskie";1;1;557;768
2;"Szkoła Podstawowa, Jeniniec 8A, 66-450 Bogdaniec";80102;"gm. Bogdaniec";"gorzowski";"lubuskie";1;1;245;227
3;"Szkoła Podstawowa, Lubczyno 55, 66-450 Bogdaniec";80102;"gm. Bogdaniec";"gorzowski";"lubuskie";1;1;199;173
4;"Szkoła Podstawowa, Jenin ul. Lipowa 1, 66-450 Bogdaniec";80102;"gm. Bogdaniec";"gorzowski";"lubuskie";1;1;461;601
5;"Świetlica Wiejska, Jeżyki 23A, 66-450 Bogdaniec";80102;"gm. Bogdaniec";"gorzowski";"lubuskie";1;1;106;124
6;"Świetlica Wiejska w Racławiu, Racław 61, 66-432 Baczyna";80102;"gm. Bogdaniec";"gorzowski";"lubuskie";1;1;75;99
1;"Sala Szkoły Podstawowej w Deszcznie, ul. Lubuska 61, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;332;413
2;"Sala Szkoły Podstawowej im. Jana Pawła II w Ciecierzycach, Ciecierzyce ul. Borkowska 2, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;194;212
3;"Sala Szkoły Podstawowej w Ulimiu, Ulim ul. Rubinowa 5, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;254;389
4;"Sala Szkoły Podstawowej w Boleminie, Bolemin 102, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;400;311
5;"Sala Środowiskowego Domu Samopomocy w Brzozowcu, Brzozowiec ul. Szkolna 13, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;280;259
6;"Stacja Kultura w Deszcznie, ul. Kolejowa 4, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;458;589
7;"Świetlica Wiejska w Osiedlu Poznańskim, Osiedle Poznańskie ul. Świetlana 75, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;424;470
8;"Świetlica Wiejska w Łagodzinie, Łagodzin ul. Dobra 1A, 66-446 Deszczno";80103;"gm. Deszczno";"gorzowski";"lubuskie";1;1;231;336
1;"Gminne Centrum Kultury w Kłodawie, ul. Jeziorna 8, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;413;730
2;"Świetlica wiejska w Różankach, Różanki ul. Niepodległości 25, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;331;537
3;"Szkoła Podstawowa w Kłodawie, ul. Szkolna 1, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;279;590
4;"Świetlica wiejska w Wojcieszycach, Wojcieszyce ul. Wspólna 66, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;183;262
5;"Świetlica wiejska, Łośno ul. Lipowa 59, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;93;125
6;"Sala wiejska, Santocko ul. Wiejska 66, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;173;316
7;"Świetlica wiejska w Chwalęcicach, Chwalęcice ul. Lipowa 14, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;242;473
8;"Sala wiejska, Rybakowo ul. Lipowa 26, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;84;95
9;"Sala wiejska w Santocznie, Santoczno ul. Kasztanowa 3, 66-415 Kłodawa";80104;"gm. Kłodawa";"gorzowski";"lubuskie";1;1;26;80
1;"Centrum Działań Kulturalnych i Społecznych w Stawie, Staw 14, 66-433 Lubiszyn";80105;"gm. Lubiszyn";"gorzowski";"lubuskie";1;1;160;173
2;"Szkoła Podstawowa w Ściechowie, Ściechów 84, 66-433 Lubiszyn";80105;"gm. Lubiszyn";"gorzowski";"lubuskie";1;1;213;197
3;"Sala Konferencyjna w Lubiszynie, ul. Plac Jedności Robotniczej 7, 66-433 Lubiszyn";80105;"gm. Lubiszyn";"gorzowski";"lubuskie";1;1;224;320
4;"Sala wiejska w Wysokiej, Wysoka 46, 66-433 Lubiszyn";80105;"gm. Lubiszyn";"gorzowski";"lubuskie";1;1;116;136
5;"Szkoła Podstawowa w Lubnie, Lubno ul. Plac Wyzwolenia 8, 66-450 Bogdaniec";80105;"gm. Lubiszyn";"gorzowski";"lubuskie";1;1;124;222
6;"Szkoła Podstawowa w Baczynie, ul. Szkolna 1, 66-432 Baczyna";80105;"gm. Lubiszyn";"gorzowski";"lubuskie";1;1;454;680
7;"Sala wiejska w Brzeźnie, Brzeźno 7, 66-433 Lubiszyn";80105;"gm. Lubiszyn";"gorzowski";"lubuskie";1;1;140;145
1;"Sala Wiejska w Czechowie, Czechów ul. Kalinowa 34, 66-431 Santok";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;147;181
2;"Szkoła Podstawowa w Wawrowie, Wawrów 46E, 66-400 Gorzów Wielkopolski";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;394;659
3;"Sala Wiejska w Janczewie, Janczewo ul. Wiejska 7, 66-431 Santok";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;433;622
4;"Sala Wiejska w Gralewie, Gralewo 48A, 66-431 Santok";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;209;262
5;"Gminna Biblioteka Publiczna w Santoku, ul. Gorzowska 35, 66-431 Santok";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;198;238
6;"Sala Wiejska w Starym Polichnie, Stare Polichno ul. Szkolna 9, 66-431 Santok";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;147;194
7;"Sala Wiejska w Ludzisławicach, Ludzisławice 26A, 66-431 Santok";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;71;64
8;"Sala Wiejska w Lipkach Wielkich, Lipki Wielkie ul. Szosowa 72, 66-431 Santok";80106;"gm. Santok";"gorzowski";"lubuskie";1;1;296;391
1;"Zespół Szkolno-Przedszkolny w Witnicy, ul. Wiosny Ludów 14, 66-460 Witnica";80107;"gm. Witnica";"gorzowski";"lubuskie";1;1;317;401
2;"Zespół Szkół Samorządowych w Witnicy, ul. Plac Wolności 7, 66-460 Witnica";80107;"gm. Witnica";"gorzowski";"lubuskie";1;1;478;624
3;"Regionalne Centrum Ratownictwa w Witnicy, ul. Żwirowa 2c, 66-460 Witnica";80107;"gm. Witnica";"gorzowski";"lubuskie";1;1;519;711
4;"Świetlica Wiejska w Pyrzanach, Pyrzany 51, 66-460 Witnica";80107;"gm. Witnica";"gorzowski";"lubuskie";1;1;76;61
5;"Świetlica Wiejska w Starych Dzieduszycach, Stare Dzieduszyce 16, 66-460 Witnica";80107;"gm. Witnica";"gorzowski";"lubuskie";1;1;152;172
6;"Świetlica Wiejska w Kamieniu Małym, Kamień Mały 91, 66-460 Witnica";80107;"gm. Witnica";"gorzowski";"lubuskie";1;1;115;143
