"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GAJDA Radosław Władysław - KW BEZPARTYJNI SAMORZĄDOWCY";"GAJDA Tadeusz Stanisław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BŁASZCZYK Przemysław Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOBOL Kamil - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PIGŁOWSKI Dariusz Andrzej - KW RUCH NAPRAWY POLSKI"
1;"Kutnowski Dom Kultury w Kutnie, ul. Stanisława Żółkiewskiego 4, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;49;443;332;68;15
2;"Centrum Teatru, Muzyki i Tańca w Kutnie, ul. Teatralna 1, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;70;405;337;80;19
3;"Zespół Szkół Nr 1 im. St. Staszica w Kutnie, ul. Oporowska 7, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;104;576;371;91;30
4;"Świetlica RSM ""Pionier"" w Kutnie, ul. Staszica 21, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;73;312;357;66;14
5;"Zespół Szkół Nr 3 im. Władysława Grabskiego w Kutnie, ul. Kościuszki 24, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;60;347;243;49;12
6;"I Liceum Ogólnokształcące im. Gen. J. H. Dąbrowskiego w Kutnie, ul. Generała Dąbrowskiego 1, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;68;456;363;69;33
7;"Szkoła Podstawowa Nr 2 im. Marszałka Józefa Piłsudskiego w Kutnie, ul. Staszica 6, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;74;351;326;56;8
8;"Przedszkole Miejskie Nr 17 ""NIEZAPOMINAJKA"" w Kutnie, ul. Józefa Wybickiego 1, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;45;256;330;43;16
9;"Przedszkole Miejskie Nr 17 ""NIEZAPOMINAJKA"" w Kutnie, ul. Józefa Wybickiego 1, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;79;445;381;71;21
10;"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Kutnie, ul. Kanclerza Andrzeja Zamoyskiego 1, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;110;529;491;103;20
11;"II Liceum Ogólnokształcące im. J. Kasprowicza w Kutnie, ul. Okrzei 1A, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;47;219;244;61;15
12;"Budynek Parafii pw. Matki Bożej Wspomożenia Wiernych w Kutnie, ul. Jesienna 2, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;84;403;410;82;26
13;"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Kutnie, ul. Kanclerza Andrzeja Zamoyskiego 1, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;61;235;220;56;11
14;"Szkoła Podstawowa Nr 5 im. Henryka Sienkiewicza w Kutnie, ul. Łęczycka 11, 99-300 Kutno";100201;"m. Kutno";"kutnowski";"łódzkie";1;1;96;537;500;105;32
