"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHRZANOWSKI Marek - KW BEZPARTYJNI SAMORZĄDOWCY";"MAZUR Marek Marian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DOBKOWSKI Wiesław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"KWAPISIEWICZ Marek Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JANOWSKA Małgorzata Monika - KW POLSKA JEST JEDNA"
1;"II Liceum Ogólnokształcące, ul. Czapliniecka 72, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;151;534;352;79;128
2;"II Liceum Ogólnokształcące, ul. Czapliniecka 72, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;110;192;332;79;105
3;"Szkoła Podstawowa Nr 4, ul. Lipowa 11, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;195;435;448;133;168
4;"Szkoła Podstawowa Nr 8, os. osiedle Dolnośląskie 112A, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;168;328;435;88;104
5;"III Liceum Ogólnokształcące, ul. Edwardów 5, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;199;332;391;81;133
6;"III Liceum Ogólnokształcące, ul. Edwardów 5, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;169;405;386;84;109
7;"Przedszkole Samorządowe Nr 5, os. osiedle Dolnośląskie 222a, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;123;387;391;91;106
8;"Zespół Szkolno-Przedszkolny Nr 9, os. osiedle Dolnośląskie 204A, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;137;279;394;89;115
9;"Zespół Szkolno-Przedszkolny Nr 9, os. osiedle Dolnośląskie 204A, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;146;279;382;109;112
10;"Zespół Szkolno-Przedszkolny Nr 9, os. osiedle Dolnośląskie 204A, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;166;270;455;84;109
11;"Przedszkole Samorządowe Nr 2, ul. Ignacego Jana Paderewskiego 3, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;138;320;314;75;101
12;"Szkoła Podstawowa Nr 13, ul. Juliusza Słowackiego 8, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;164;355;354;106;116
13;"Szkoła Podstawowa Nr 13, ul. Juliusza Słowackiego 8, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;178;543;356;136;165
14;"Szkoła Podstawowa Nr 5, ul. Szkolna 10, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;193;328;514;82;180
15;"Przedszkole Samorządowe Nr 6, ul. Witolda Budryka 12, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;137;303;385;91;132
16;"Szkoła Podstawowa Nr 12, ul. Witolda Budryka 7, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;132;295;438;85;116
17;"Szkoła Podstawowa Nr 12, ul. Witolda Budryka 7, 97-400 Bełchatów";100101;"m. Bełchatów";"bełchatowski";"łódzkie";1;1;127;484;322;91;129
