"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CICHOŃ Zbigniew Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FEDOROWICZ Jerzy Feliks - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
24;"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, ul. Grochowska 20, 31-521 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;325;798
25;"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, ul. Grochowska 20, 31-521 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;200;586
26;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 3, ul. Topolowa 22, 31-506 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;378;1077
27;"Urząd Miasta Krakowa, ul. Jana Kasprowicza 29, 31-523 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;237;641
28;"XXIV Liceum Ogólnokształcące, ul. Wilhelma Wilka-Wyrwińskiego 1, 31-517 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;235;752
29;"Młodzieżowy Dom Kultury, ul. Grunwaldzka 5, 31-526 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;237;644
30;"Szkoła Podstawowa Nr 38, ul. płk. Francesco Nullo 23, 31-543 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;495;1810
31;"Szkoła Podstawowa Nr 38, ul. płk. Francesco Nullo 23, 31-543 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;506;1256
32;"XIII Liceum Ogólnokształcące, ul. Sądowa 4, 31-542 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;247;1155
33;"XIII Liceum Ogólnokształcące, ul. Sądowa 4, 31-542 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;356;1240
34;"VIII Liceum Ogólnokształcące, ul. Grzegórzecka 24, 31-531 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;217;583
35;"Zespół Szkół Ogólnokształcących nr 1, ul. ks. Franciszka Blachnickiego 1, 31-535 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;265;679
36;"VIII Liceum Ogólnokształcące, ul. Grzegórzecka 24, 31-531 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;219;703
37;"Bursa Szkolnictwa Ponadpodstawowego Nr 1, ul. Rzeźnicza 4, 31-540 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;229;778
38;"Szkoła Podstawowa Nr 18, ul. Półkole 11, 31-559 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;344;995
39;"Szkoła Podstawowa Nr 18, ul. Półkole 11, 31-559 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;314;514
40;"Szkoła Podstawowa Nr 39, ul. Stanisława Jachowicza 5, 31-564 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;460;915
41;"Szkoła Podstawowa Nr 39, ul. Stanisława Jachowicza 5, 31-564 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;327;1460
42;"Szkoła Podstawowa Nr 114, ul. Łąkowa 31, 31-443 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;357;1206
43;"Szkoła Podstawowa Nr 114, ul. Łąkowa 31, 31-443 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;304;1189
44;"Zespół Szkół Nr 1, ul. Ułanów 3, 31-450 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;263;548
45;"Zespół Szkół Nr 1, ul. Ułanów 3, 31-450 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;279;529
46;"Zespół Szkół Ogólnokształcących Nr 9, ul. Seniorów Lotnictwa 5, 31-455 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;264;706
47;"Zespół Szkół Ogólnokształcących Nr 9, ul. Seniorów Lotnictwa 5, 31-455 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;245;616
48;"Szkoła Muzyczna I Stopnia Nr 1, ul. Pilotów 51, 31-462 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;404;1126
49;"Zespół Szkół Przemysłu Spożywczego, ul. Macieja Miechowity 6, 31-469 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;305;759
50;"Zespół Szkół Przemysłu Spożywczego, ul. Macieja Miechowity 6, 31-469 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;400;775
51;"Zespół Szkół Przemysłu Spożywczego, ul. Macieja Miechowity 6, 31-469 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;327;527
52;"Samorządowe Przedszkole Nr 14, ul. Młyńska Boczna 4, 31-470 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;295;468
53;"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, 31-465 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;421;810
54;"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, 31-465 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;307;793
55;"Szkoła Podstawowa Nr 64, ul. Sadzawki 1, 31-465 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;264;547
56;"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;476;1244
57;"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;378;1361
58;"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;520;1108
59;"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;415;843
60;"Szkoła Podstawowa Nr 2, ul. Strzelców 5a, 31-422 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;417;1067
61;"Zespół Szkół Ogólnokształcących Nr 13, ul. Kazimierza Odnowiciela 2, 31-481 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;452;974
62;"Samorządowe Przedszkole Nr 178, ul. Sudolska 3, 31-423 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;234;692
63;"Samorządowe Przedszkole Nr 178, ul. Sudolska 3, 31-423 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;323;776
64;"Młodzieżowy Dom Kultury, al. Aleja 29 Listopada 102, 31-406 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;357;835
65;"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;322;739
