"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAŁODZIŃSKI Mateusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KLICH Bogdan Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"VI Liceum Ogólnokształcące, ul. Wąska 7, 31-057 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;362;1034
2;"Zespół Szkół Mechanicznych Nr 4, ul. Podbrzezie 10, 31-054 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;271;741
3;"Zespół Szkolno-Przedszkolny Nr 3, ul. Miodowa 36, 31-052 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;270;847
4;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 22, ul. Adama Chmielowskiego 1, 31-067 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;341;618
5;"Samorządowe Przedszkole Nr 45, ul. Piekarska 14, 31-067 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;244;547
6;"XLIV Liceum Ogólnokształcące, ul. Bernardyńska 7, 31-069 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;386;681
7;"Zespół Szkolno-Przedszkolny Nr 6, ul. Józefa Dietla 70, 31-039 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;303;764
8;"Urząd Miasta Krakowa, ul. Wielopole 17A, 31-072 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;236;566
9;"Szkoła Podstawowa Nr 1, ul. św. Marka 34, 31-024 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;335;822
10;"Szkoła Podstawowa Nr 1, ul. św. Marka 34, 31-024 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;304;657
11;"I Liceum Ogólnokształcące, pl. Plac Na Groblach 9, 31-101 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;154;468
12;"Szkoła Podstawowa Nr 4, ul. Smoleńsk 5 - 7, 31-108 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;412;940
13;"Zespół Szkół Mechanicznych Nr 1, al. Aleja Adama Mickiewicza 5, 31-120 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;109;330
14;"Zespół Szkół Energetycznych, ul. Loretańska 16, 31-114 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;277;430
15;"Branżowa Szkoła I Stopnia Nr 30, ul. Józefa Szujskiego 2, 31-123 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;226;893
16;"Małopolskie Centrum Doskonalenia Nauczycieli Ośrodek w Krakowie, ul. Garbarska 1, 31-131 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;156;492
17;"II Liceum Ogólnokształcące, ul. Jana Sobieskiego 9, 31-136 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;257;782
18;"II Liceum Ogólnokształcące, ul. Jana Sobieskiego 9, 31-136 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;226;576
19;"Centrum Medyczne 4M, ul. Krowoderska 17, 31-141 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;244;718
20;"Samorządowe Przedszkole Nr 44, ul. Jerzego Żuławskiego 9, 31-145 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;137;472
21;"X Liceum Ogólnokształcące, ul. Zygmunta Wróblewskiego 8, 31-148 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;398;846
22;"XLI Liceum Ogólnokształcące, rynek Rynek Kleparski 18, 31-150 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;262;719
23;"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;268;1012
106;"Zespół Szkół Specjalnych Nr 4, ul. Zakątek 2, 30-076 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;353;1072
107;"Zespół Szkół Specjalnych Nr 4, ul. Zakątek 2, 30-076 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;344;980
108;"Zespół Szkolno-Przedszkolny Nr 18, ul. Litewska 34, 30-014 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;275;819
109;"Zespół Szkolno-Przedszkolny Nr 18, ul. Litewska 34, 30-014 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;285;717
110;"Szkoła Podstawowa Nr 36, ul. Mazowiecka 70, 30-019 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;376;1996
111;"Szkoła Podstawowa Nr 36, ul. Mazowiecka 70, 30-019 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;340;880
112;"Szkoła Podstawowa Nr 36, ul. Mazowiecka 70, 30-019 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;261;865
113;"Szkoła Podstawowa Nr 36, ul. Mazowiecka 70, 30-019 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;391;980
114;"Urząd Miasta Krakowa, ul. Lubelska 27, 30-003 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;253;945
115;"Zespół Szkolno-Przedszkolny Nr 4, ul. Urzędnicza 65, 30-074 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;396;1307
116;"Uniwersytet Ekonomiczny, Instytut Nauk o Jakości i Zarządzania Produktem, ul. Henryka Sienkiewicza 4, 30-033 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;110;456
117;"Szkoła Podstawowa Nr 33, ul. Stanisława Konarskiego 2, 30-049 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;209;713
118;"IX Liceum Ogólnokształcące, ul. Kazimierza Czapińskiego 5, 30-048 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;292;1021
119;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 12, al. Aleja Kijowska 3, 30-079 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;292;802
120;"Szkoła Podstawowa z Oddziałami Sportowymi Nr 5, al. Aleja Kijowska 8, 30-079 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;256;803
121;"MDK ""Dom Harcerza"", ul. Władysława Reymonta 18, 30-059 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;188;810
122;"VII Liceum Ogólnokształcące, ul. Stanisława Skarbińskiego 5, 30-071 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;282;858
123;"VII Liceum Ogólnokształcące, ul. Stanisława Skarbińskiego 5, 30-071 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;318;794
124;"VII Liceum Ogólnokształcące, ul. Stanisława Skarbińskiego 5, 30-071 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;447;1982
125;"Szkoła Podstawowa Nr 93, ul. Feliksa Szlachtowskiego 31, 30-132 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;296;967
126;"Szkoła Podstawowa Nr 93, ul. Feliksa Szlachtowskiego 31, 30-132 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;284;794
127;"Zespół Szkół Ogólnokształcących Nr 7, ul. Złoty Róg 30, 30-095 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;299;1301
128;"Zespół Szkół Ogólnokształcących Nr 7, ul. Złoty Róg 30, 30-095 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;386;897
129;"Centrum Kształcenia Zawodowego Nr 1 Wydział Budowlany, ul. Wesele 41, 30-127 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;355;1408
130;"Zespół Szkół Budowlanych Nr 1, ul. Jerzego Szablowskiego 1, 30-127 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;331;1096
131;"XVIII Liceum Ogólnokształcące, ul. Na Błonie 15b, 30-147 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;378;1201
132;"XVIII Liceum Ogólnokształcące, ul. Na Błonie 15b, 30-147 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;429;988
133;"Szkoła Podstawowa Nr 153, ul. Na Błonie 15d, 30-147 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;495;1076
134;"Szkoła Podstawowa Nr 153, ul. Na Błonie 15d, 30-147 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;200;627
135;"Szkoła Podstawowa Nr 50, ul. Katowicka 28, 31-351 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;220;942
136;"Szkoła Podstawowa Nr 138, ul. Kazimierza Wierzyńskiego 3, 30-198 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;316;880
