"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BERNACKI Włodzimierz - KW PRAWO I SPRAWIEDLIWOŚĆ";"MACOŃ Radosław Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KORTA Adam Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KRZYCH Bartłomiej Hubert - KW POLSKA JEST JEDNA"
1;"Szkoła Podstawowa nr 1 im. Stanisława Jachowicza w Bochni, ul. Biała 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;306;72;418;45
2;"Świetlica Bocheńskich Zakładów Usług Komunalnych Sp. z o. o. w Bochni, ul. 20 Stycznia 46, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;438;113;569;70
3;"Miejski Ośrodek Sportu i Rekreacji w Bochni Hala Widowiskowo-Sportowa im. W. Stawiarskiego, ul. Księcia Józefa Poniatowskiego 32, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;394;99;532;59
4;"Remiza Ochotniczej Straży Pożarnej Chodenice w Bochni, ul. Chodenicka 57, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;319;62;415;52
5;"Miejskie Przedszkole nr 5 w Bochni, ul. Kolejowa 14, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;318;80;369;50
6;"Szkoła Podstawowa Nr 4 im. św. Barbary w Bochni, ul. Konfederatów Barskich 27, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;414;108;524;83
7;"Miejskie Przedszkole nr 6 w Bochni, ul. Murowianka 28, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;512;118;591;74
8;"Urząd Miasta Bochnia, ul. Kazimierza Wielkiego 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;489;99;683;75
9;"Szkoła Podstawowa nr 2 im. Kazimierza Brodzińskiego w Bochni, ul. Oracka 6, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;435;101;739;53
10;"Miejskie Centrum Dzieci i Młodzieży „Ochronka” w Bochni, ul. Henryka Sienkiewicza 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;398;78;678;67
