"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"HAMERSKI Jan Wincenty - KW PRAWO I SPRAWIEDLIWOŚĆ";"CHMURA Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WAKSMUNDZKI Bogusław - KWW KANDYDAT ZIEM GÓRSKICH"
1;"Zespół Szkolno – Przedszkolny Nr 1, ul. Marii Konopnickiej 4, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;246;83;190
2;"Limanowski Dom Kultury, ul. Bronisława Czecha 4, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;300;127;176
3;"Szkoła Podstawowa Nr 2, ul. Józefa Piłsudskiego 91, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;228;65;135
4;"Szkoła Podstawowa Nr 2, ul. Józefa Piłsudskiego 91, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;327;100;176
5;"Zespół Szkolno – Przedszkolny Nr 4, ul. Władysława Stanisława Reymonta 3, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;372;87;136
6;"Auto – Moto Klub Limanowa, ul. Wincentego Witosa 22, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;228;62;173
7;"Zespół Szkolno – Przedszkolny Nr 1, ul. Marii Konopnickiej 4, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;579;175;321
8;"Zespół Szkół Ogólnokształcących i Zawodowych im. ks. prof. Józefa Tischnera (wejście od ul. Kopernika), ul. Bulwary 18a, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;525;184;327
9;"Państwowa Szkoła Muzyczna, ul. Tadeusza Kościuszki 23, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;572;171;396
10;"Szkoła Podstawowa Nr 3, ul. Stanisława Jordana 3, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;272;101;199
11;"Remiza OSP, ul. Zygmunta Augusta 35, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;189;56;161
12;"Muzeum Regionalne Ziemi Limanowskiej, ul. Józefa Marka 13, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;260;95;201
13;"Dom Pomocy Społecznej, ul. Wincentego Witosa 24/26, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;36;4;2
14;"Szpital Powiatowy im. Miłosierdzia Bożego, ul. Józefa Piłsudskiego 61, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;53;6;11
15;"Niepubliczny Zakład Opieki Zdrowotnej RehStab, ul. Józefa Piłsudskiego 53, 34-600 Limanowa";120701;"m. Limanowa";"limanowski";"małopolskie";1;1;45;12;17
1;"Szkoła Podstawowa Nr 1, ul. Henryka Sienkiewicza 2, 34-730 Mszana Dolna";120702;"m. Mszana Dolna";"limanowski";"małopolskie";1;1;395;93;277
2;"Szkoła Podstawowa Nr 1, ul. Henryka Sienkiewicza 2, 34-730 Mszana Dolna";120702;"m. Mszana Dolna";"limanowski";"małopolskie";1;1;471;175;421
3;"Urząd Miasta, ul. marsz. Józefa Piłsudskiego 2, 34-730 Mszana Dolna";120702;"m. Mszana Dolna";"limanowski";"małopolskie";1;1;540;190;405
4;"Zespół Placówek Oświatowych, ul. Rynek 21, 34-730 Mszana Dolna";120702;"m. Mszana Dolna";"limanowski";"małopolskie";1;1;680;171;368
1;"Szkoła Podstawowa im. Leopolda Węgrzynowicza (sala I), Dobra 1, 34-642 Dobra";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;402;164;230
2;"Szkoła Podstawowa im. Leopolda Węgrzynowicza (sala II), Dobra 1, 34-642 Dobra";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;341;153;151
3;"Szkoła Podstawowa im. Leopolda Węgrzynowicza (sala III), Dobra 1, 34-642 Dobra";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;366;143;240
4;"Szkoła Podstawowa im. Władysława Orkana (sala I), Jurków 115, 34-643 Jurków";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;399;123;142
5;"Szkoła Podstawowa im. Jana Pawła II (sala I), Skrzydlna 186, 34-625 Skrzydlna";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;300;96;133
6;"Szkoła Podstawowa im. Stanisława Wyspiańskiego, Stróża 1, 34-625 Stróża";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;218;48;49
7;"Szkoła Podstawowa im. Janusza Korczaka, Wilczyce 109, 34-643 Wilczyce";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;242;42;55
8;"Szkoła Podstawowa im. Batalionów Chłopskich, Chyszówki 130, 34-643 Jurków";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;275;66;45
9;"Szkoła Podstawowa im. Jana Pawła II (sala II), Skrzydlna 186, 34-625 Skrzydlna";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;223;77;146
10;"Szkoła Filialna im. Wincentego Pola, Półrzeczki 216, 34-643 Jurków";120703;"gm. Dobra";"limanowski";"małopolskie";1;1;199;59;33
1;"Urząd Gminy, Jodłownik 198, 34-620 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;310;114;124
2;"Remiza OSP, Krasne-Lasocice 150, 34-620 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;188;55;110
3;"Szkoła Podstawowa, Szczyrzyc 123, 34-623 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;165;80;70
4;"Szkoła Podstawowa, Szyk 255, 34-620 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;403;86;60
5;"Szkoła Podstawowa, Wilkowisko 364, 34-617 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;487;107;104
6;"Budynek byłej Szkoły Podstawowej, Mstów 92, 34-620 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;143;48;43
7;"Świetlica Wiejska, Góra Świętego Jana 85, 34-623 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;123;30;18
8;"Szkoła Podstawowa, Szczyrzyc 123, 34-620 Szczyrzyc";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;280;88;101
9;"Remiza OSP, Sadek 132, 34-620 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;209;38;42
10;"Budynek byłej Szkoły Podstawowej, Kostrza 70, 34-620 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;170;30;18
11;"Budynek byłej Szkoły, Słupia 36, 34-620 Jodłownik";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;74;28;37
12;"Remiza OSP, Pogorzany 303, 34-623 Szczyrzyc";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;213;75;111
13;"Szpital pw. św. Jana Jerozolimskiego, Szczyrzyc 107, 34-623 Szczyrzyc";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;7;1;3
14;"Dom Pomocy Społecznej, Szczyrzyc 182, 34-623 Szczyrzyc";120704;"gm. Jodłownik";"limanowski";"małopolskie";1;1;27;5;3
1;"Szkoła Podstawowa Nr 1, Kamienica 490, 34-608 Kamienica";120705;"gm. Kamienica";"limanowski";"małopolskie";1;1;736;166;216
2;"Szkoła Podstawowa Nr 2, Kamienica 343, 34-608 Kamienica";120705;"gm. Kamienica";"limanowski";"małopolskie";1;1;388;100;123
3;"Szkoła Podstawowa Nr 1, Szczawa 167, 34-607 Szczawa";120705;"gm. Kamienica";"limanowski";"małopolskie";1;1;615;148;183
4;"Szkoła Podstawowa, Zalesie 265, 34-608 Kamienica";120705;"gm. Kamienica";"limanowski";"małopolskie";1;1;364;67;81
5;"Zespół Szkoły i Przedszkola, Zbludza 110, 34-608 Kamienica";120705;"gm. Kamienica";"limanowski";"małopolskie";1;1;255;64;81
6;"Szkoła Podstawowa, Zasadne 91, 34-608 Kamienica";120705;"gm. Kamienica";"limanowski";"małopolskie";1;1;250;41;57
1;"Zespół Szkolno-Przedszkolny, Laskowa 2, 34-602 Laskowa";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;666;161;185
2;"Szkoła Podstawowa, Kamionka Mała 134, 34-602 Laskowa";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;347;77;55
3;"Zespół Szkolno – Przedszkolny, Ujanowice 55, 34-603 Ujanowice";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;444;84;67
4;"Szkoła Podstawowa, Krosna 109, 34-603 Ujanowice";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;403;66;55
5;"Szkoła Podstawowa, Jaworzna 111, 34-602 Laskowa";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;249;56;48
6;"Szkoła Podstawowa, Żmiąca 128, 34-603 Ujanowice";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;296;57;46
7;"Zespół Szkolno-Przedszkolny, Laskowa 2, 34-602 Laskowa";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;692;171;166
8;"Szkoła Podstawowa im. Królowej Jadwigi, Sechna 140, 34-603 Sechna";120706;"gm. Laskowa";"limanowski";"małopolskie";1;1;270;19;10
1;"Szkoła Podstawowa im. Stanisława Wyspiańskiego, Rupniów 206, 34-652 Nowe Rybie";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;157;133;599
2;"Szkoła Podstawowa Nr 1 im. Bohaterów Westerplatte, Stara Wieś 549, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;973;227;328
3;"Szkoła Podstawowa im. Juliana Tuwima, Kanina 71, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;213;73;66
4;"Świetlica wiejska w Siekierczynie I, Siekierczyna 453, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;427;128;103
5;"Szkoła Podstawowa Nr 2 im. Zygmunta Krasińskiego, Siekierczyna 326, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;244;39;47
6;"Szkoła Podstawowa im. Stanisława Wyspiańskiego, Mordarka 204, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;930;255;280
7;"Szkoła Podstawowa im. ks. Józefa Górszczyka, Pisarzowa 346, 34-654 Męcina";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;709;184;237
8;"Szkoła Podstawowa Nr 1 im. Jana Pawła II, Męcina 530, 34-654 Męcina";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;795;209;368
9;"Szkoła Podstawowa im. Królowej Korony Polskiej, Kłodne 144, 34-654 Męcina";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;393;79;87
10;"Remiza OSP w Łososinie Górnej, ul. Łososińska 23, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;509;119;139
11;"Szkoła Podstawowa im. Władysława Reymonta, Pasierbiec 108, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;331;75;84
12;"Szkoła Podstawowa, Młynne 149, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;491;110;101
13;"Budynek wielofunkcyjny, Nowe Rybie 157, 34-652 Nowe Rybie";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;255;69;72
14;"Świetlica w Lipowem, Lipowe 264, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;319;88;94
15;"Szkoła Podstawowa Nr 2 im. Stanisława Konarskiego, Stara Wieś 459, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;612;135;124
16;"Budynek wielofunkcyjny, Stare Rybie 11, 34-652 Nowe Rybie";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;160;27;30
17;"Szkoła Podstawowa Nr 2 im. Konstytucji 3 Maja, Męcina 504, 34-654 Męcina";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;370;72;71
18;"Szkoła Podstawowa im. Królowej Jadwigi, Wysokie 5, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;301;45;56
19;"Świetlica Wiejska, Sowliny 332, 34-600 Limanowa";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;253;83;147
20;"Świetlica Wiejska, Kisielówka 56, 34-652 Nowe Rybie";120707;"gm. Limanowa";"limanowski";"małopolskie";1;1;206;52;38
1;"Szkoła Podstawowa, Jastrzębie 131, 34-606 Łukowica";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;236;35;29
2;"Szkoła Podstawowa, Łukowica 285, 34-606 Łukowica";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;819;221;248
3;"Szkoła Podstawowa, Młyńczyska 136, 34-606 Łukowica";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;344;70;94
4;"Świetlica Wiejska, Przyszowa 605, 34-604 Przyszowa";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;792;275;279
5;"Szkoła Podstawowa, Świdnik 22, 34-606 Łukowica";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;336;109;115
6;"Szkoła Podstawowa, Stronie 2, 34-604 Przyszowa";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;394;101;107
7;"Szkoła Podstawowa, Roztoka 165, 34-606 Łukowica";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;318;73;52
8;"Szkoła Podstawowa, Jadamwola 40, 34-606 Łukowica";120708;"gm. Łukowica";"limanowski";"małopolskie";1;1;160;58;72
1;"Szkoła Podstawowa, Glisne 70, 34-730 Mszana Dolna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;108;20;48
2;"Zespół Szkoły i Przedszkola Nr 1, Kasina Wielka 761, 34-741 Kasina Wielka";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;578;124;210
3;"Zespół Szkoły i Przedszkola Nr 2, Kasina Wielka 762, 34-741 Kasina Wielka";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;430;86;110
4;"Zespół Placówek Oświatowych, Kasinka Mała 513, 34-734 Kasinka Mała";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;555;188;269
5;"Szkoła Podstawowa Nr 2, Kasinka Mała 432, 34-734 Kasinka Mała";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;718;144;192
6;"Szkoła Podstawowa Nr 1, Lubomierz 345, 34-736 Lubomierz";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;789;150;116
7;"Remiza OSP, Łętowe 305, 34-733 Mszana Górna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;425;92;104
8;"Zespół Szkoły i Przedszkola, Łostówka 245, 34-730 Mszana Dolna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;459;106;99
9;"Szkoła Podstawowa Nr 1, Mszana Górna 589, 34-733 Mszana Górna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;416;83;152
10;"Szkoła Podstawowa Nr 1, Mszana Górna 589, 34-733 Mszana Górna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;561;111;136
11;"Zespół Szkoły i Przedszkola, Olszówka 52, 34-730 Mszana Dolna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;550;107;163
12;"Remiza OSP, Raba Niżna 252, 34-730 Mszana Dolna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;281;122;192
13;"Dom Pomocy Społecznej ""DIANA"", Kasina Wielka 448, 34-741 Kasina Wielka";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;64;3;6
14;"Dom Pomocy Społecznej, Raba Niżna 1, 34-730 Mszana Dolna";120709;"gm. Mszana Dolna";"limanowski";"małopolskie";1;1;25;7;8
1;"Zespół Placówek Oświatowych, Konina 211, 34-735 Niedźwiedź";120710;"gm. Niedźwiedź";"limanowski";"małopolskie";1;1;739;137;129
2;"Dom Kultury im. Ks. Franciszka Baradzieja, Niedźwiedź 130, 34-735 Niedźwiedź";120710;"gm. Niedźwiedź";"limanowski";"małopolskie";1;1;343;105;168
3;"Szkoła Podstawowa im. Wł. Orkana, Poręba Wielka 222, 34-735 Niedźwiedź";120710;"gm. Niedźwiedź";"limanowski";"małopolskie";1;1;618;201;315
4;"Zespół Placówek Oświatowych, Podobin 257, 34-735 Niedźwiedź";120710;"gm. Niedźwiedź";"limanowski";"małopolskie";1;1;378;103;120
1;"Zespół Placówek Oświatowych, Słopnice 732, 34-615 Słopnice";120711;"gm. Słopnice";"limanowski";"małopolskie";1;1;617;200;168
2;"Szkoła Podstawowa Nr 4, Słopnice 363, 34-615 Słopnice";120711;"gm. Słopnice";"limanowski";"małopolskie";1;1;288;67;51
3;"Zespół Szkoły Podstawowej i Przedszkola, Słopnice 336, 34-615 Słopnice";120711;"gm. Słopnice";"limanowski";"małopolskie";1;1;610;109;121
4;"Szkoła Podstawowa Nr 3, Słopnice 731, 34-615 Słopnice";120711;"gm. Słopnice";"limanowski";"małopolskie";1;1;293;48;32
5;"Zespół Placówek Oświatowych, Słopnice 732, 34-615 Słopnice";120711;"gm. Słopnice";"limanowski";"małopolskie";1;1;615;183;185
1;"Szkoła Podstawowa, Podłopień 73, 34-650 Tymbark";120712;"gm. Tymbark";"limanowski";"małopolskie";1;1;451;100;93
2;"Szkoła Podstawowa (budynek w Rynku), Tymbark 29, 34-650 Tymbark";120712;"gm. Tymbark";"limanowski";"małopolskie";1;1;372;140;183
3;"Przedszkole Samorządowe, Tymbark 495, 34-650 Tymbark";120712;"gm. Tymbark";"limanowski";"małopolskie";1;1;504;129;184
4;"Szkoła Podstawowa (budynek w Rynku), Tymbark 29, 34-650 Tymbark";120712;"gm. Tymbark";"limanowski";"małopolskie";1;1;479;122;137
5;"Szkoła Podstawowa, Piekiełko 40, 34-650 Tymbark";120712;"gm. Tymbark";"limanowski";"małopolskie";1;1;264;64;77
6;"Szkoła Podstawowa, Zawadka 18, 34-650 Tymbark";120712;"gm. Tymbark";"limanowski";"małopolskie";1;1;181;28;25
1;"Szkoła Podstawowa Nr 4, ul. Świętego Brata Alberta 35, 34-400 Nowy Targ";121101;"m. Nowy Targ";"nowotarski";"małopolskie";1;1;355;192;377
2;"Szkoła Podstawowa Nr 4, ul. Świętego Brata Alberta 35, 34-400 Nowy Targ";121101;"m. Nowy Targ";"nowotarski";"małopolskie";1;1;336;154;250
3;"Zespół Szkolno – Przedszkolny Nr 1, ul. Kowaniec 125a, 34-400 Nowy Targ";121101;"m. Nowy Targ";"nowotarski";"małopolskie";1;1;317;162;250
4;"Remiza OSP, ul. Kowaniec 92, 34-400 Nowy Targ";121101;"m. Nowy Targ";"nowotarski";"małopolskie";1;1;274;138;254
