"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEŃKOWSKI Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"JACKOWSKI Jan Maria - KWW JANA MARII JACKOWSKIEGO";"JANOWSKI Gabriel - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
1;"Szkoła Podstawowa nr 3, ul. Powstańców Wielkopolskich 1, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;479;788;137
2;"Państwowa Uczelnia Zawodowa im. Ignacego Mościckiego, ul. Wojska Polskiego 51, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;347;391;112
3;"Szkoła Podstawowa nr 6, ul. 17 Stycznia 17, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;313;511;97
4;"Hala Sportowo-Widowiskowa, ul. Ignacego Kraszewskiego 8, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;448;734;137
5;"Szkoła Podstawowa nr 5, ul. Władysława Broniewskiego 1, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;397;739;126
6;"Szkoła Podstawowa nr 6, ul. 17 Stycznia 17, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;284;391;70
7;"Miejski Ośrodek Pomocy Społecznej, ul. Henryka Sienkiewicza 32d, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;359;428;81
8;"Zespół Szkół nr 3, ul. Stefana Okrzei 6, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;375;469;71
9;"Szkoła Podstawowa nr 7, ul. Stefana Czarnieckiego 40, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;423;600;102
10;"Szkoła Podstawowa nr 7, ul. Stefana Czarnieckiego 40, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;471;576;123
11;"Przedszkole nr 1, ul. Nadfosna 12, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;384;479;94
12;"Powiatowe Centrum Kultury i Sztuki Im. Marii Konopnickiej, ul. Strażacka 5, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;379;634;80
13;"Przedszkole nr 5, ul. Gwardii Ludowej WRN 12, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;457;725;125
14;"Przedszkole nr 10, ul. Batalionów Chłopskich 4, 06-400 Ciechanów";140201;"m. Ciechanów";"ciechanowski";"mazowieckie";1;1;430;707;119
