"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MYRDA Tymoteusz Dominik - KW BEZPARTYJNI SAMORZĄDOWCY";"SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena - KW NOWA LEWICA";"CZUDOWSKA Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"JASIŃSKI Krzysztof Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Państwowa Wyższa Szkoła Zawodowa, ul. Piotra Skargi 5, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;261;942;442;235
2;"Zespół Szkół Politechnicznych, pl. Plac Jana z Głogowa 7, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;136;578;411;115
3;"I Liceum Ogólnokształcące w Głogowie, ul. Jedności Robotniczej 10, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;114;470;458;115
4;"Szkoła Podstawowa nr 2, ul. Aleja Wolności 74, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;129;483;394;125
5;"Szkoła Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;70;293;260;47
6;"Miejska Biblioteka Publiczna, ul. Jedności Robotniczej 15, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;117;404;323;52
7;"Przedszkole Publiczne nr 6, ul. Gustawa Morcinka 6, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;75;373;311;69
8;"Szkoła Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;84;307;264;51
9;"Szkoła Podstawowa nr 6, ul. Tadeusza Kościuszki 18, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;108;387;309;53
10;"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;82;389;264;62
11;"Stowarzyszenie na Rzecz Integracji i Usamodzielniania "" Dom w Głogowie"", ul. Okrężna 21, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;56;247;163;46
12;"Przedszkole Publiczne nr 9, ul. Perseusza 3, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;113;533;333;93
13;"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;154;566;442;126
14;"Przedszkole Publiczne nr 19, ul. Plutona 3, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;128;550;440;102
15;"Szkoła Podstawowa nr 10, ul. Andromedy 62, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;144;616;484;104
16;"Szkoła Podstawowa nr 11, ul. Gwiaździsta 2, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;160;590;518;97
17;"Szkoła Podstawowa nr 11, ul. Gwiaździsta 2, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;150;616;467;107
18;"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;109;553;477;113
19;"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów";20301;"m. Głogów";"głogowski";"dolnośląskie";1;1;121;506;423;104
