"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRAWCZYK Urszula Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"LUBIAK Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"HIBNER Jolanta Emilia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ROGUSKI Robert - KWW ROBERTA ROGUSKIEGO"
1;"Powiatowy Zespół Szkół Ponadpodstawowych im. Jerzego Siwińskiego, ul. Targowa 73A, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;150;464;795;45
2;"Przedszkole Miejskie Nr 1 im. Marii Kownackiej, ul. Olszankowa E, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;263;444;852;76
3;"Zespół Szkolno-Przedszkolny im. Legionów Polskich 1914 - 1918, ul. Jana Pawła I 2, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;200;482;848;106
4;"Szkoła Podstawowa nr 8 im. 1 Warszawskiej Dywizji Piechoty Hol główny-wejście główne do budynku, ul. Zegrzyńska 3, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;171;269;777;42
5;"Szkoła Podstawowa nr 8 im. 1 Warszawskiej Dywizji Piechoty Hol przy małej sali gimnastycznej-wejście schodami przy stołówce, ul. Zegrzyńska 3, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;213;369;1035;60
6;"Przedszkole Miejskie Nr 11, ul. Zegrzyńska 9, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;211;381;1147;67
7;"Przedszkole Miejskie Nr 3 im. Koszałka Opałka, ul. Zegrzyńska 71, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;241;468;1214;90
8;"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika, ul. Zakopiańska 4, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;171;481;918;49
9;"KZB Legionowo Sp. z o. o., ul. marsz. Józefa Piłsudskiego 3, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;140;455;895;48
10;"Urząd Miasta Legionowo, ul. marsz. Józefa Piłsudskiego 41, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;178;527;1016;63
11;"Zespół Szkolno-Przedszkolny Nr 2 Hol przy Szkole Podstawowej nr 2 im. Kornela Makuszyńskiego, ul. Jagiellońska 67, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;92;241;405;47
12;"Zespół Szkolno-Przedszkolny Nr 2 Hol w Przedszkolu nr 2 im. Doroty Gellner, ul. Jagiellońska 67, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;155;420;768;48
13;"Arena Legionowo, ul. Bolesława Chrobrego 50B, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;140;342;640;38
14;"Przedszkole Miejskie z Oddziałami Integracyjnymi Nr 7 im. Janusza Korczaka Sala nr 21, ul. Husarska 18A, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;148;390;649;58
15;"Przedszkole Miejskie z Oddziałami Integracyjnymi Nr 7 im. Janusza Korczaka Korytarz główny przedszkola, ul. Husarska 18A, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;114;416;657;42
16;"Szkoła Podstawowa nr 7 im. VII Obwodu ""Obroża"" AK, ul. Królowej Jadwigi 7, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;130;352;604;49
17;"Miejski Ośrodek Kultury im. Charlesa Spencera Chaplina, ul. Cypriana Kamila Norwida 10, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;143;459;718;39
18;"Filia Miejskiego Ośrodka Kultury ""Scena po sąsiedzku"", ul. Husarska 12, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;159;467;747;55
19;"Szkoła Podstawowa Nr 3 im. Janusza Kusocińskiego, ul. Władysława Broniewskiego 7, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;140;413;655;43
20;"Przedszkole Miejskie Nr 6 Tęczowa Szóstka, ul. Władysława Broniewskiego 3, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;130;357;608;45
21;"Żłobek Miejski Motylkowy Świat, ul. ppłk. Edwarda Dietricha 1, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;109;408;613;49
22;"Liceum Ogólnokształcące im. Marii Konopnickiej, ul. marsz. Józefa Piłsudskiego 26, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;166;493;762;63
23;"Powiatowy Zespół Szkół i Placówek Specjalnych, ul. Jagiellońska 69, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;119;333;653;44
24;"Dom Pomocy Społecznej ""Kombatant"", ul. Jagiellońska 71, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;6;27;18;1
25;"Wojskowy Instytut Medyczny Państwowy Instytut Badawczy, ul. Zegrzyńska 8, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;1;11;17;1
1;"Szkoła Podstawowa im. Armii Krajowej, ul. Szkolna 2, 05-110 Jabłonna";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;171;434;1017;63
