"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GAJADHUR Alvin - KW PRAWO I SPRAWIEDLIWOŚĆ";"KIDAWA-BŁOŃSKA Małgorzata Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
81;"Szkoła Podstawowa Nr 70 z Oddziałami Integracyjnymi im. Bohaterów Monte Cassino, ul. Giordana Bruna 11, 02-594 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;334;1275
82;"Szkoła Podstawowa Nr 70 z Oddziałami Integracyjnymi im. Bohaterów Monte Cassino, ul. Giordana Bruna 11, 02-594 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;333;1500
83;"Przedszkole Nr 108 „Tęczowy Promyk”, ul. Olszewska 7/9/11, 00-792 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;301;971
84;"Szkoła Podstawowa Nr 98 z Oddziałami Integracyjnymi im. Lucy Maud Montgomery, ul. Artura Grottgera 22, 00-785 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;320;909
85;"Szkoła Podstawowa Nr 157 im. Adama Mickiewicza, ul. Kazimierzowska 16, 02-589 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;246;656
86;"Zespół Szkół Odzieżowych, Fryzjerskich i Kosmetycznych Nr 22, ul. Kazimierzowska 60, 02-543 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;215;695
87;"Centrum ""Łowicka"" Dom Kultury w Dzielnicy Mokotów m. st. Warszawy, ul. Łowicka 21, 02-502 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;416;1501
88;"XLII Liceum Ogólnokształcące im. Marii Konopnickiej, ul. Antoniego Józefa Madalińskiego 22, 02-513 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;297;1121
89;"XLII Liceum Ogólnokształcące im. Marii Konopnickiej, ul. Antoniego Józefa Madalińskiego 22, 02-513 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;259;1005
90;"Szkoła Podstawowa Nr 85 im. Benito Juareza, ul. Ludwika Narbutta 14, 02-541 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;514;1449
91;"Ognisko Pracy Pozaszkolnej ""70"", ul. Ludwika Narbutta 65/71, 02-524 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;243;893
92;"CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego, ul. Wojciecha Żywnego 25, 02-701 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;106;427
93;"Państwowy Instytut Geologiczny-Państwowy Instytut Badawczy, ul. Rakowiecka 4, 02-519 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;237;553
94;"Szkoła Podstawowa Specjalna nr 111 im. Stefana Starzyńskiego, ul. Różana 22/24, 02-569 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;444;1334
95;"VI Liceum Ogólnokształcące im. Tadeusza Reytana, ul. Wiktorska 30/32, 02-587 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;312;846
96;"Szkoła Podstawowa Nr 69 im. Marii Skłodowskiej-Curie, ul. Wiktorska 73, 02-582 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;252;696
97;"XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego, ul. Wiktorska 99, 02-575 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;322;897
98;"LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego, ul. Ludwika Narbutta 31, 02-536 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;251;564
99;"Przedszkole Nr 305, ul. Stefana Bryły 8, 02-685 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;509;1478
100;"XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego, al. Aleja Niepodległości 27, 02-653 Warszawa";146505;"Mokotów";"Warszawa";"mazowieckie";1;1;309;1144
