"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIERZBICKA Renata Teresa - KW PRAWO I SPRAWIEDLIWOŚĆ";"LUDKOWSKI Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOŁACZ-LESZCZYŃSKA Agnieszka Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Budynek dawnego Gimnazjum nr 1, ul. Mieczysława Kozara Słobódzkiego 21, 58-105 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;347;126;836
2;"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki w Świdnicy, ul. Galla Anonima 1, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;450;133;788
3;"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki w Świdnicy, ul. Galla Anonima 1, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;456;156;1143
4;"Szkoła Podstawowa nr 105 im. Polskich Podróżników i Odkrywców w Świdnicy, ul. Saperów 27a, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;335;123;704
5;"Szkoła Podstawowa nr 105 im. Polskich Podróżników i Odkrywców w Świdnicy, ul. Saperów 27a, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;293;138;836
6;"Miejska Biblioteka Publiczna im. Cypriana Kamila Norwida w Świdnicy, ul. Franciszkańska 18, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;330;111;692
7;"Przedszkole Miejskie nr 6, ul. Komunardów 2, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;286;118;676
8;"Szkoła Podstawowa nr 2 im. Polskich Olimpijczyków w Świdnicy, ul. Ofiar Oświęcimskich 30, 58-105 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;380;92;685
9;"Przedszkole Miejskie nr 14, ul. Mieczysława Kozara Słobódzkiego 10, 58-105 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;436;125;691
10;"Miejskie Przedszkole Integracyjne nr 16 „Słoneczko”, ul. Karola Marcinkowskiego 10, 58-105 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;415;106;753
11;"Szkoła Podstawowa nr 4 im. Henryka Sienkiewicza w Świdnicy, ul. Karola Marcinkowskiego 4 - 6, 58-105 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;454;112;836
12;"Szkoła Podstawowa nr 4 im. Henryka Sienkiewicza w Świdnicy, ul. Karola Marcinkowskiego 4 - 6, 58-105 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;466;97;928
13;"Urząd Stanu Cywilnego, ul. Armii Krajowej 47, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;357;127;900
14;"Szkoła Podstawowa nr 8 im. Kawalerów Orderu Uśmiechu w Świdnicy (sala gimnastyczna), ul. Wałbrzyska 39, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;427;153;1037
15;"Szkoła Podstawowa nr 8 im. Kawalerów Orderu Uśmiechu w Świdnicy (budynek główny), ul. Wałbrzyska 39, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;353;140;854
16;"Szkoła Podstawowa nr 315 im. Jana Pawła II w Świdnicy, pl. Wojska Polskiego 3, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;320;129;762
17;"Świdnicki Ośrodek Kultury Galeria Fotografii, ul. Rynek 44, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;333;123;789
18;"Centrum Wspierania Organizacji Pozarządowych, ul. Długa 33, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;364;150;616
19;"Szkoła Podstawowa nr 6 im. Tysiąclecia Państwa Polskiego w Świdnicy, ul. Wodna 5 - 7, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;325;109;640
20;"Szkoła Podstawowa nr 6 im. Tysiąclecia Państwa Polskiego w Świdnicy, ul. Jodłowa 21, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;411;91;748
21;"Szkoła Podstawowa nr 6 im. Tysiąclecia Państwa Polskiego w Świdnicy, ul. Jodłowa 21, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;332;102;658
22;"Przedszkole Miejskie nr 3 w Świdnicy, ul. Okrężna 30, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;367;117;714
23;"Miejski Ośrodek Pomocy Społecznej w Świdnicy Klub Seniora, ul. Malinowa 2, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;401;170;1033
24;"Regionalny Szpital Specjalistyczny ""Latawiec"" w Świdnicy, ul. Leśna 27 - 29, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;39;5;37
25;"Areszt Śledczy w Świdnicy, ul. Trybunalska 16, 58-100 Świdnica";21901;"m. Świdnica";"świdnicki";"dolnośląskie";1;1;22;31;133
1;"Przedszkole nr 2 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Bolesława Krzywoustego 46, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;202;73;536
2;"Przedszkole nr 2 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Bolesława Krzywoustego 46, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;249;75;591
3;"Przedszkole nr 2 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Księcia Bolka 17, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;266;85;492
4;"Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi im. Nauczycieli Tajnego Nauczania, ul. Mieszka Starego 4, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;203;42;326
5;"Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi im. Nauczycieli Tajnego Nauczania, ul. Mieszka Starego 4, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;151;65;445
6;"Szkoła Podstawowa nr 1 im. Sybiraków (Sala lekcyjna), ul. Marszałka Józefa Piłsudskiego 28, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;267;91;499
7;"Szkoła Podstawowa nr 4 im. Janusza Korczaka (Sala gimnastyczna), ul. Ofiar Oświęcimskich 58, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;140;67;297
8;"Budynek biurowy ""TERMET"" S. A., ul. Długa 13, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;195;76;300
9;"Szkoła Podstawowa nr 4 im. Janusza Korczaka (Sala lekcyjna), ul. Ofiar Oświęcimskich 58, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;124;66;384
10;"Szkoła Podstawowa nr 1 im. Sybiraków (Sala gimnastyczna), ul. Marszałka Józefa Piłsudskiego 28, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;301;79;362
11;"Urząd Miejski w Świebodzicach, ul. Stefana Żeromskiego 27, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;242;70;289
12;"Szkoła Podstawowa nr 3 im. Władysława Broniewskiego (Sala lekcyjna), ul. Świdnicka 13, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;266;77;522
13;"Szkoła Podstawowa nr 3 im. Władysława Broniewskiego (Sala gimnastyczna), ul. Wolności 23, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;253;74;421
14;"Przedszkole nr 3 Niezapominajka, ul. Spokojna 3, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;406;97;688
15;"Szkoła Podstawowa Integracyjna im. Henryka Sienkiewicza (Sala gimnastyczna), ul. Ciernie 30, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;353;103;577
16;"Mikulicz Sp. z o. o., ul. Marii Skłodowskiej-Curie 3 - 7, 58-160 Świebodzice";21902;"m. Świebodzice";"świdnicki";"dolnośląskie";1;1;13;3;7
1;"Świetlica wiejska, Szymanów 15D, 58-170 Dobromierz";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;98;44;123
2;"Gminny Ośrodek Kultury, Sportu i Rekreacji w Dobromierzu, pl. Plac Wolności 19, 58-170 Dobromierz";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;225;47;209
3;"Świetlica wiejska, Kłaczyna 94A, 58-173 Roztoka";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;133;42;147
4;"Szkoła Podstawowa im. Henryka Sienkiewicza w Roztoce, ul. Jana Pawła II 7/9, 58-173 Roztoka";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;202;51;222
5;"Szkoła Podstawowa im. Janusza Korczaka w Gniewkowie, Gniewków 3, 58-173 Roztoka";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;69;19;68
6;"Świetlica wiejska, Jaskulin 11B, 58-170 Dobromierz";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;76;11;67
7;"Świetlica wiejska, Jugowa 84, 58-173 Roztoka";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;106;13;101
8;"Świetlica wiejska, Borów 44A, 58-173 Roztoka";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;94;20;72
9;"Świetlica wiejska, Dzierzków 35A, 58-173 Roztoka";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;74;31;66
10;"Świetlica wiejska, Czernica 8, 58-173 Roztoka";21903;"gm. Dobromierz";"świdnicki";"dolnośląskie";1;1;61;12;55
1;"Sala sportowa i edukacyjna, ul. Świdnicka 15a, 58-140 Jaworzyna Śląska";21904;"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";1;1;317;120;408
2;"Sala sportowa i edukacyjna, ul. Świdnicka 15a, 58-140 Jaworzyna Śląska";21904;"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";1;1;225;72;274
3;"Szkoła Podstawowa im. Marii Konopnickiej (sala sportowa), ul. Adama Mickiewicza 10, 58-140 Jaworzyna Śląska";21904;"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";1;1;248;68;343
4;"Szkoła Podstawowa im. Marii Konopnickiej (sala sportowa), ul. Adama Mickiewicza 10, 58-140 Jaworzyna Śląska";21904;"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";1;1;260;89;245
5;"Świetlica wiejska, Pastuchów ul. Wyzwolenia 22, 58-140 Jaworzyna Śląska";21904;"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";1;1;177;53;206
