"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PAPROCKI Marek Jan - KW NOWA LEWICA";"PUPA Zdzisław Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ĆWIĘKA Jacek Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Dom Sportu i Rekreacji MOSIR, ul. Sportowa 26, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;514;421;138
2;"Publiczna Szkoła Podstawowa Nr 5, ul. Paderewskiego 4, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;391;445;178
3;"Przedszkole Miejskie Nr 8, ul. Szkolna 4, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;443;451;150
4;"Miejskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o. o., ul. Rzeczna 1A, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;470;700;240
5;"Przedszkole Miejskie Nr 12, ul. Cmentarna 56, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;321;445;139
6;"Przedszkole Miejskie Nr 9, ul. Sienkiewicza 6B, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;334;444;138
7;"Szkoła Podstawowa Nr 4, ul. Wyrobka 11, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;383;462;155
8;"Publiczna Szkoła Podstawowa Nr 9, ul. Grottgera 3, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;334;533;136
9;"Miejski Zarząd Oświaty w Dębicy, ul. Cmentarna 1, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;381;440;125
10;"I Liceum Ogólnokształcące, ul. Słowackiego 9, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;398;463;143
11;"Przedszkole Miejskie Nr 2 Integracyjne, ul. Księdza Konarskiego 14, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;373;520;135
12;"Publiczna Szkoła Podstawowa Nr 3, ul. Kraszewskiego 37, 39-200 Dębica";180301;"m. Dębica";"dębicki";"podkarpackie";1;1;252;365;79
