"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻYWNO Maciej Zenon - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GROMKO Mariusz Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASPERCZUK Zbigniew Cezary - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa im. Henryka Sienkiewicza w Choroszczy, ul. Powstania Styczniowego 26A, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;740;667;260
2;"Świetlica Miejko-Gminnego Centrum Kultury i Sportu w Choroszczy, ul. Henryka Sienkiewicza 29, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;293;342;82
3;"Remiza OSP w Złotorii, Złotoria 50, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;114;352;52
4;"Świetlica wiejska w Rogowie, Rogowo 55A, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;113;155;35
5;"Świetlica wiejska w Izbiszczach, Izbiszcze 53, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;128;215;37
6;"Świetlica wiejska w Barszczewie, Barszczewo 42, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;393;312;129
7;"Remiza OSP w Klepaczach, Klepacze ul. Niewodnicka 19, 15-635 Białystok";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;684;484;165
8;"Świetlica wiejska w Łyskach, Łyski ul. Białostocka 89, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;775;399;277
9;"Remiza OSP w Choroszczy, ul. Dominikańska 22, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;383;310;113
10;"Świetlica wiejska w Żółtkach, Żółtki 22, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;188;201;69
11;"Świetlica wiejska w Pańkach, Pańki 74, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;64;109;21
12;"Świetlica wiejska w Oliszkach, Oliszki ul. Zielona 38, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;466;278;92
13;"Dom Pomocy Społecznej w Choroszczy, ul. Aleja Niepodległości 4, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;11;45;8
14;"Samodzielny Publiczny Psychiatryczny Zakład Opieki Zdrowotnej w Choroszczy, pl. Plac im. dr Zygmunta Brodowicza 1, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;67;193;49
1;"Szkoła Podstawowa Nr 1, ul. Bolesława Prusa 1, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;499;471;158
2;"Zespół Szkół, ul. Henryka Sienkiewicza 7, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;457;490;121
3;"Szkoła Podstawowa Nr 2, ul. Traugutta 28, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;433;391;101
4;"Dom Kultury, ul. Kościelna 8, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;359;381;154
5;"Wiejski Dom Kultury, Czarna Wieś Kościelna ul. Wesoła 26, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;353;324;126
6;"Centrum Rękodzieła Ludowego, Niemczyn 42, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;80;127;38
7;"Budynek Przychodni, ul. Torowa 1, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;200;248;91
1;"Wiejski Dom Kultury w Nowym Aleksandrowie, Nowe Aleksandrowo ul. Pogodna 109, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;511;469;153
2;"Gminne Centrum Kultury, ul. Lipowa 71, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;497;407;137
3;"Wiejski Dom Kultury w Kozińcach, Kozińce 9, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;156;178;66
4;"Wiejski Dom Kultury w Pogorzałkach, Pogorzałki 153, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;150;148;44
5;"Zespół Szkolno-Przedszkolny, Fasty ul. Białostocka 5, 15-694 Białystok";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;558;336;171
6;"Świetlica w Letnikach, Letniki 71, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;218;260;73
7;"Szkoła Podstawowa w Obrubnikach, Obrubniki 33, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;122;189;39
8;"Świetlica w Chrabołach, Chraboły 41, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;115;216;59
9;"Świetlica w Gniłej, Gniła 13, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;109;168;52
1;"Gminne Centrum Kultury w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 4, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;361;78;45
2;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;315;129;52
3;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;312;107;37
4;"Świetlica w Słuczance, Słuczanka 22, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;110;41;23
5;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;44;25;15
6;"Świetlica w Podozieranach, Podozierany 37, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;45;44;4
7;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;39;50;7
8;"Gminne Centrum Kultury w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 4, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;218;72;40
9;"Szkoła Podstawowa w Załukach, Załuki 5, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;131;63;20
10;"Szkoła Podstawowa w Załukach, Załuki 5, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;152;61;28
