"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWIŃSKA Samanta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"KROPIDŁOWSKI Krzysztof Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLEINA Kazimierz Mariusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa Nr 1, ul. Wojska Polskiego 10, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;272;85;571
2;"Państwowa Szkoła Muzyczna I stopnia, ul. Legionów Polskich 35, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;225;56;408
3;"Przedszkole Nr 2, ul. Emilii Plater 12, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;224;71;395
4;"Szkoła Podstawowa Nr 8, ul. Emilii Plater 13, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;156;81;472
5;"Szkoła Podstawowa Nr 8, ul. Mireckiego 10, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;312;173;995
6;"Przedszkole Nr 9, ul. Mireckiego 9, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;156;76;435
7;"Starostwo Powiatowe, ul. Czołgistów 5, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;383;143;752
8;"Przedszkole Nr 1, ul. Czołgistów 37, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;176;70;404
9;"Specjalny Ośrodek Szkolno-Wychowawczy, Internat, ul. Plac Piastowski 6, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;215;88;336
10;"Szkoła Podstawowa Nr 4, ul. Aleja Wolności 31, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;201;97;374
11;"Szkoła Podstawowa Nr 3, ul. Kossaka 103, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;255;113;531
12;"Przedszkole Nr 6, ul. Kardynała Stefana Wyszyńskiego 7, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;363;185;1022
13;"Urząd Miejski, ul. Armii Krajowej 14, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;275;93;608
