"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GÓRSKA Anna - KW NOWA LEWICA";"DRELICH Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BUTZA Sławomir Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MĘCZYKOWSKI Dariusz Franciszek - KWW DARIUSZA MĘCZYKOWSKIEGO"
1;"Gminna Biblioteka i Ośrodek Kultury w Borzytuchomiu, ul. Danuty Siedzikówny ""Inki"" 2, 77-141 Borzytuchom";220101;"gm. Borzytuchom";"bytowski";"pomorskie";1;1;291;192;111;75
2;"Sala wiejska, Dąbrówka 22, 77-100 Bytów";220101;"gm. Borzytuchom";"bytowski";"pomorskie";1;1;143;82;55;37
3;"Szkoła Podstawowa, Niedarzyno 21b, 77-141 Borzytuchom";220101;"gm. Borzytuchom";"bytowski";"pomorskie";1;1;89;85;57;28
4;"Sala wiejska, Chotkowo 8A, 77-141 Borzytuchom";220101;"gm. Borzytuchom";"bytowski";"pomorskie";1;1;44;28;17;8
5;"Społeczne Centrum Aktywności, Jutrzenka 33A, 77-141 Borzytuchom";220101;"gm. Borzytuchom";"bytowski";"pomorskie";1;1;50;52;19;23
6;"Sala wiejska, Krosnowo 32, 77-141 Borzytuchom";220101;"gm. Borzytuchom";"bytowski";"pomorskie";1;1;35;50;13;15
7;"Sala wiejska, Struszewo 12A, 77-141 Borzytuchom";220101;"gm. Borzytuchom";"bytowski";"pomorskie";1;1;36;44;19;16
1;"Zespół Szkół Ogólnokształcących, ul. Gdańska 57, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;485;423;108;100
2;"Zespół Szkół Ponadpodstawowych, ul. gen. Władysława Sikorskiego 35, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;344;235;99;86
3;"Przedszkole Nr 2, ul. Jana Bauera 9, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;265;126;74;61
4;"Szkoła Podstawowa Nr 5, ul. Młyńska 11, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;360;271;104;82
5;"Zespół Szkół Ekonomiczno-Usługowych, ul. Hieronima Derdowskiego 3, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;424;294;116;87
6;"Szkoła Specjalnego Ośrodka Szkolno-Wychowawczego, ul. Jana Styp-Rekowskiego 2A, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;462;198;104;88
7;"Szkoła Podstawowa Nr 1, ul. gen. Ludwika Mierosławskiego 7, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;386;181;92;86
8;"Dzienny Dom ""SENIOR+"" w Bytowie, ul. Miła 26, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;399;284;107;92
9;"Starostwo Powiatowe, ul. ks. dr. Bolesława Domańskiego 2, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;431;263;81;76
10;"Szkoła Podstawowa Nr 2, ul. ks. dr. Bolesława Domańskiego 13, 77-100 Bytów";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;383;265;97;71
11;"Szkoła Podstawowa, Gostkowo 20, 77-114 Gostkowo";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;157;196;88;35
12;"Szkoła Podstawowa, ul. Gdańska 33, 77-121 Pomysk Wielki";220102;"gm. Bytów";"bytowski";"pomorskie";1;1;186;224;107;59
