"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MARANDA Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"KONIECZNY Wojciech Jan - KW NOWA LEWICA";"POHORECKA Monika Sylwia - KW PRAWO I SPRAWIEDLIWOŚĆ";"BIEŃKOWSKA Małgorzata Beata - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Zespół Szkół Zawodowych Specjalnych, ul. Krótka 22, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;96;220;131;46
2;"Zespół Szkół Zawodowych Specjalnych, ul. Krótka 22, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;114;245;157;62
3;"Zespół Szkół im. Jana Kochanowskiego, ul. Warszawska 142, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;41;115;86;28
4;"Szkoła Podstawowa nr 12, ul. Warszawska 31, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;62;219;163;56
5;"Szkoła Podstawowa nr 12, ul. Warszawska 31, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;79;258;166;66
6;"V LO im. A. Mickiewicza, ul. Krakowska 29, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;68;263;225;58
7;"V LO im. A. Mickiewicza, ul. Krakowska 29, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;97;280;177;70
8;"Szkoła Podstawowa nr 35, ul. Ogrodowa 50/64, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;63;155;141;34
9;"I LO im. J. Słowackiego, al. Aleja Tadeusza Kościuszki 8, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;71;320;177;54
10;"IX LO im. C. K. Norwida, ul. Jasnogórska 8, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;63;437;230;67
11;"Rejonowy Zespół Pomocy Społecznej nr 2, ul. ks. Stanisława Staszica 10, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;46;324;204;66
12;"Techniczne Zakłady Naukowe, ul. Jasnogórska 84/90, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;75;318;197;39
