"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"RADO Michał Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"UJAZDOWSKI Kazimierz Michał - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OBREMSKI Jarosław Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ"
1;"SPZOZ Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, ul. Osiedle Kazimierza Wielkiego 25, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;140;364;303
2;"Ośrodek Pomocy Społecznej, ul. Poznańska 23, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;148;620;359
3;"Szkoła Podstawowa Nr 3, ul. Podwale 20, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;171;486;424
4;"Szkoła Podstawowa Nr 1, ul. Szkolna 2, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;86;361;209
5;"Szkoła Podstawowa Nr 3, ul. Poznańska 2, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;90;271;183
6;"Zespół Żłobek i Klub Dziecięcy, ul. Piastów 34, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;95;261;244
7;"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 2, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;394;763;181
8;"Filia biblioteczna, Czernina ul. Rynek 8, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;108;235;254
9;"Świetlica Wiejska, Kłoda Górowska 45, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;45;136;200
10;"Świetlica Wiejska, Stara Góra 33A, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;119;336;323
11;"Zespół Szkoła Podstawowa i Przedszkole, Witoszyce 10, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;79;234;236
12;"Przedszkole Publiczne, Glinka 6, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;80;172;166
13;"Świetlica Wiejska, Ślubów 22A, 56-200 Góra";20401;"gm. Góra";"górowski";"dolnośląskie";1;1;42;79;74
1;"Dom Kultury, Luboszyce 15, 56-209 Jemielno";20402;"gm. Jemielno";"górowski";"dolnośląskie";1;1;68;148;184
2;"Urząd Gminy Jemielno, Jemielno 81, 56-209 Jemielno";20402;"gm. Jemielno";"górowski";"dolnośląskie";1;1;90;135;218
3;"Świetlica Wiejska, Psary 44, 56-209 Jemielno";20402;"gm. Jemielno";"górowski";"dolnośląskie";1;1;47;109;197
4;"Świetlica Wiejska, Kietlów 1, 56-209 Jemielno";20402;"gm. Jemielno";"górowski";"dolnośląskie";1;1;26;28;105
1;"Zespół Szkół w Sicinach, Siciny 78, 56-215 Niechlów";20403;"gm. Niechlów";"górowski";"dolnośląskie";1;1;120;201;327
2;"Gminny Ośrodek Kultury, ul. Dworcowa 9, 56-215 Niechlów";20403;"gm. Niechlów";"górowski";"dolnośląskie";1;1;126;168;314
3;"Świetlica wiejska, Lipowiec 16, 56-215 Niechlów";20403;"gm. Niechlów";"górowski";"dolnośląskie";1;1;53;124;328
4;"Świetlica wiejska w Naratowie, Naratów 21, 56-215 Niechlów";20403;"gm. Niechlów";"górowski";"dolnośląskie";1;1;74;134;191
1;"Szkoła Podstawowa, Czarnoborsko 10, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;88;222;311
2;"Ośrodek Pomocy Społecznej, ul. Krzywa 11, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;209;669;468
3;"Zespół Placówek Kultury, ul. Zacisze 10D, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;41;88;77
4;"Szkoła Podstawowa, Pobiel 75, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;48;82;108
5;"Świetlica wiejska, Kamień Górowski 8A, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;68;135;222
6;"Świetlica Wiejska, Cieszkowice 41, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;30;62;59
7;"Świetlica Wiejska, Czeladź Wielka 48, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;28;70;133
8;"Świetlica Wiejska, Lubiel 37, 56-210 Wąsosz";20404;"gm. Wąsosz";"górowski";"dolnośląskie";1;1;39;64;133
