"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHMIELEWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANKIEWICZ Zygmunt Mieczysław - KWW ZYGMUNT FRANKIEWICZ - PAKT SENACKI"
1;"Miejskie Przedszkole z Oddziałami Integracyjnymi Nr 13, ul. Piłsudczyków 4, 44-196 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;407;743
2;"Miejskie Przedszkole Nr 2 im. Jana Brzechwy, ul. Lotników 3, 44-196 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;262;377
3;"Miejska Biblioteka Publiczna, ul. Aleja Lipowa 12, 44-196 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;541;1103
4;"Zespół Placówek Oświatowych Nr 1 w Knurowie, ul. Aleja Lipowa 12, 44-196 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;265;411
5;"Miejskie Przedszkole Nr 12 im. Janusza Korczaka, ul. Armii Krajowej 5, 44-194 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;258;408
6;"Miejska Szkoła Podstawowa Nr 7, ul. Jedności Narodowej 5/1, 44-194 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;245;384
7;"Miejska Szkoła Podstawowa Nr 7, ul. Jedności Narodowej 5/2, 44-194 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;299;445
8;"Zespół Szkolno-Przedszkolny nr 3, ul. Stefana Batorego 7/1, 44-194 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;350;514
9;"Zespół Szkolno-Przedszkolny nr 3, ul. Stefana Batorego 7/2, 44-194 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;386;537
10;"Zespół Szkolno-Przedszkolny nr 3, ul. Stefana Batorego 7/3, 44-194 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;345;579
11;"Zespół Szkół im. I. J. Paderewskiego LO, ul. 1 Maja 21/1, 44-190 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;562;1029
12;"Miejska Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 2 im. Karola Miarki, ul. Wilsona 22/1, 44-190 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;463;765
13;"Zespół Szkół im. I. J. Paderewskiego LO, ul. 1 Maja 21/2, 44-190 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;278;539
14;"Miejska Szkoła Podstawowa Nr 1 im. Powstańców Śląskich, ul. ks. Alojzego Koziełka 7/1, 44-190 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;365;676
15;"Miejska Szkoła Podstawowa Nr 1 im. Powstańców Śląskich, ul. Antoniego Słoniny 1/2, 44-190 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;460;538
16;"Miejski Ośrodek Pomocy Społecznej w Knurowie-Centrum Wsparcia Inicjatyw Społecznych, ul. Dworcowa 33, 44-190 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;264;371
17;"Miejska Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 2 im. Karola Miarki, ul. Wilsona 22/2, 44-190 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;305;647
18;"Zespół Szkolno-Przedszkolny nr 1 im. Feliksa Michalskiego, ul. Feliksa Michalskiego 27, 44-193 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;376;629
19;"Zespół Szkolno-Przedszkolny nr 2, ul. Jana Kilińskiego 6/1, 44-193 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;496;542
20;"Zespół Szkolno-Przedszkolny nr 2, ul. Jana Kilińskiego 6/2, 44-193 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;312;301
21;"Dom Kultury, ul. Górnicza 1, 44-193 Knurów";240501;"m. Knurów";"gliwicki";"śląskie";1;1;320;339
