"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GAWĘDA Ewa Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"MAKAREWICZ Konrad Karol - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SIEDLACZEK Henryk Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PUSTELNIK Adam Ferdynand - KW ŚLONZOKI RAZEM"
1;"Szkoła Podstawowa Nr 3, ul. Kapitana Serafina Myśliwca 16, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;498;203;545;119
2;"Zespół Szkolno-Przedszkolny Nr 2, ul. Juliana Tuwima 1, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;403;153;772;109
3;"Zespół Szkolno-Przedszkolny Nr 4, ul. Bojanowska 5, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;255;74;291;70
4;"Remiza OSP, ul. Podmiejska 38, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;89;47;84;38
5;"Zespół Szkolno-Przedszkolny Nr 1, ul. Henryka Jordana 6, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;375;117;608;94
6;"Szkoła Podstawowa Nr 13, ul. ks. Stanisława Staszica 12, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;471;178;768;98
7;"II Liceum Ogólnokształcące, ul. Kardynała Stefana Wyszyńskiego 3, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;279;93;409;73
8;"II Liceum Ogólnokształcące, ul. Kardynała Stefana Wyszyńskiego 3, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;222;64;358;52
9;"Przedszkole Nr 14, ul. Słoneczna 31, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;380;158;570;72
10;"Szkoła Podstawowa Nr 15, ul. Juliusza Słowackiego 48, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;348;133;627;81
11;"Szkoła Podstawowa Nr 15 - wejście boczne, do sali gimnastycznej, ul. Juliusza Słowackiego 48, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;243;105;401;45
12;"Szkoła Podstawowa Nr 18 - wejście boczne, ul. Ocicka 52, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;370;123;537;61
13;"Szkoła Podstawowa Nr 18, ul. Żorska 2, 47-400 Racibórz";241101;"m. Racibórz";"raciborski";"śląskie";1;1;310;114;499;61
