"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZARNYNOGA Piotr Franciszek - KW PRAWO I SPRAWIEDLIWOŚĆ";"OŻÓG Mateusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DZIUBA Andrzej Józef - KWW ANDRZEJ DZIUBA - PAKT SENACKI"
1;"Liceum Ogólnokształcące im. Powstańców Śląskich w Bieruniu, ul. Licealna 17, 43-150 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;394;121;427
2;"Liceum Ogólnokształcące im. Powstańców Śląskich w Bieruniu, ul. Licealna 17, 43-150 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;355;105;381
3;"Szkoła Podstawowa Nr 1 w Bieruniu, ul. Licealna 17a, 43-150 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;256;94;177
4;"Dom Kultury ""Gama"" w Bieruniu, ul. Chemików 39a, 43-150 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;228;79;208
5;"Szkoła Podstawowa Nr 1 w Bieruniu, ul. Krakowska 30, 43-150 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;363;100;374
6;"Szkoła Podstawowa Nr 1 w Bieruniu, ul. Krakowska 30, 43-150 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;421;123;386
7;"Przedszkole Nr 1 w Bieruniu, ul. Kamienna 17, 43-155 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;376;133;376
8;"Powiatowy Zespół Szkół w Bieruniu, ul. Granitowa 130, 43-155 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;251;85;271
9;"Powiatowy Zespół Szkół w Bieruniu, ul. Granitowa 130, 43-155 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;249;115;298
10;"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Węglowa 11, 43-155 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;268;102;325
11;"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Węglowa 11, 43-155 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;229;63;262
12;"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Warszawska 294, 43-155 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;207;91;303
13;"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Warszawska 294, 43-155 Bieruń";241401;"m. Bieruń";"bieruńsko-lędziński";"śląskie";1;1;347;70;276
