"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHRZĄSZCZ Jan Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"CZAPIGA Cezary Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GORGOŃ-KOMOR Agnieszka Aleksandra - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SOCHA-CZYŻ Monika Ewa - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
1;"Szkoła Podstawowa nr 1 im. Heleny Marusarzówny w Szczyrku, ul. Szkolna 9, 43-370 Szczyrk";240201;"m. Szczyrk";"bielski";"śląskie";1;1;457;135;537;38
2;"Urząd Miejski w Szczyrku, ul. Beskidzka 4, 43-370 Szczyrk";240201;"m. Szczyrk";"bielski";"śląskie";1;1;520;121;530;51
3;"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Szczyrku, ul. Myśliwska 154, 43-370 Szczyrk";240201;"m. Szczyrk";"bielski";"śląskie";1;1;231;56;241;22
4;"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Szczyrku, ul. Myśliwska 154, 43-370 Szczyrk";240201;"m. Szczyrk";"bielski";"śląskie";1;1;379;105;286;39
1;"Dom Strażaka, ul. Kościelna 41, 43-512 Bestwina";240202;"gm. Bestwina";"bielski";"śląskie";1;1;499;219;662;73
2;"Szkoła Podstawowa, ul. Szkolna 11, 43-512 Bestwina";240202;"gm. Bestwina";"bielski";"śląskie";1;1;498;184;808;68
3;"Szkoła Podstawowa, Bestwinka ul. Dworkowa 3, 43-512 Bestwina";240202;"gm. Bestwina";"bielski";"śląskie";1;1;351;127;507;53
4;"Szkoła Podstawowa, Janowice ul. Janusza Korczaka 2, 43-512 Bestwina";240202;"gm. Bestwina";"bielski";"śląskie";1;1;431;132;540;47
5;"Szkoła Podstawowa, ul. Batalionów Chłopskich 15, 43-514 Kaniów";240202;"gm. Bestwina";"bielski";"śląskie";1;1;310;126;526;28
6;"Szkoła Podstawowa, ul. Batalionów Chłopskich 15, 43-514 Kaniów";240202;"gm. Bestwina";"bielski";"śląskie";1;1;328;155;509;42
1;"Urząd Gminy (Biuro nr 4), ul. Lipowska 730, 43-374 Buczkowice";240203;"gm. Buczkowice";"bielski";"śląskie";1;1;482;161;576;46
2;"Urząd Gminy (Sala Sesyjna), ul. Lipowska 730, 43-374 Buczkowice";240203;"gm. Buczkowice";"bielski";"śląskie";1;1;438;159;667;47
3;"Szkoła Podstawowa (Świetlica), ul. Beskidzka 108, 43-378 Rybarzowice";240203;"gm. Buczkowice";"bielski";"śląskie";1;1;429;90;308;27
4;"Szkoła Podstawowa (Sala Lekcyjna Nr 3), ul. Beskidzka 108, 43-378 Rybarzowice";240203;"gm. Buczkowice";"bielski";"śląskie";1;1;435;124;437;52
5;"Szkoła Podstawowa (Świetlica), ul. Beskidzka 29, 43-376 Godziszka";240203;"gm. Buczkowice";"bielski";"śląskie";1;1;522;169;553;73
6;"Szkoła Podstawowa (Sala Lekcyjna Nr 1), Kalna ul. Widokowa 59, 43-376 Godziszka";240203;"gm. Buczkowice";"bielski";"śląskie";1;1;274;86;186;31
1;"Zespół Szkolno-Przedszkolny nr 2, ul. Polna 33, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;432;171;746;51
2;"Szkoła Podstawowa nr 2, ul. Węglowa 54, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;363;120;596;64
3;"Zespół Szkół Specjalnych nr 4, ul. Nad Białką 1e, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;365;144;604;49
4;"Zespół Szkół Technicznych i Licealnych, ul. Romualda Traugutta 11, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;387;155;735;52
5;"Zespół Szkół Technicznych i Licealnych, ul. Romualda Traugutta 11, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;388;153;646;52
6;"Szkoła Podstawowa nr 7, ul. Szkolna 6, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;374;126;745;36
7;"Strażnica OSP ""Dziedzice"", ul. Strażacka 1, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;227;84;362;39
8;"Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, ul. Marii Konopnickiej 9, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;443;155;724;48
9;"Szkoła Podstawowa nr 5, ul. Klasztorna 21, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;413;178;721;44
10;"Strażnica OSP ""Czechowice"", ul. Norberta Barlickiego 24, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;379;151;631;46
11;"Szkoła Podstawowa nr 4, ul. Studencka 2, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;322;144;553;33
12;"Szkoła Podstawowa nr 6, ul. Ignacego Łukasiewicza 37, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;344;149;562;40
13;"Przedszkole Publiczne nr 3, ul. Junacka 2, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;375;134;460;43
14;"Strażnica OSP ""Lipowiec"", ul. Zamkowa 74, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;391;148;535;44
15;"Szkoła Podstawowa nr 3, ul. Lipowska 26, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;514;214;942;57
16;"Zespół Szkolno Przedszkolny nr 1, ul. Chłopska 70, 43-502 Czechowice-Dziedzice";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;619;215;915;69
17;"Szkoła Podstawowa, ul. Karola Pytla 1, 43-516 Zabrzeg";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;384;138;465;57
18;"Szkoła Podstawowa, ul. Karola Pytla 1, 43-516 Zabrzeg";240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";1;1;329;115;468;72
