"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MACURA Beata Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"GOŁOTA Konrad Krzysztof - KW NOWA LEWICA";"KALATA Andrzej Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"FLAKA Daniel Krystian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Ochotnicza Straż Pożarna, ul. Zagrodowa 2, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;88;205;141;53
2;"Ochotnicza Straż Pożarna, ul. Motokrosowa 18, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;92;173;172;70
3;"Zespół Szkół Technicznych im. płk Gwidona Langera, ul. Frysztacka 48, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;110;404;195;84
4;"Szkoła Podstawowa Nr 6 z Oddziałami Przedszkolnymi, ul. Katowicka 68, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;208;613;385;164
5;"Ochotnicza Straż Pożarna, ul. Tadeusza Kościuszki 3, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;102;394;161;90
6;"Ochotnicza Straż Pożarna, ul. Tadeusza Kościuszki 3, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;207;808;377;176
7;"Szkoła Podstawowa Nr 7, ul. Bielska 247, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;102;335;177;82
8;"Miejski Ośrodek Pomocy Społecznej, ul. Skrajna 5, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;140;492;285;98
9;"Szkoła Podstawowa Nr 2 z Oddziałami Integracyjnymi im. 4 Pułku Strzelców Podhalańskich, ul. Fryderyka Chopina 37, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;90;275;164;48
10;"Szkoła Podstawowa Nr 2 z Oddziałami Integracyjnymi im. 4 Pułku Strzelców Podhalańskich, ul. Fryderyka Chopina 37, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;100;388;215;68
11;"Przedszkole Nr 20, ul. św. Jerzego 4, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;142;495;306;100
12;"Szkoła Podstawowa nr 1, ul. Jana Matejki 3, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;116;340;143;78
13;"Urząd Miejski w Cieszynie, rynek Rynek 1, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;71;276;113;58
14;"Urząd Miejski w Cieszynie, ul. Jana Kochanowskiego 14, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;153;569;324;113
15;"Szkoła Podstawowa nr 4, pl. Wolności 7A, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;127;434;224;86
16;"Szkolne Schronisko Młodzieżowe, ul. Błogocka 24, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;142;573;283;125
17;"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi im. Janusza Korczaka, ul. gen. Józefa Hallera 8, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;106;443;276;119
18;"Spółdzielnia Mieszkaniowa ""Cieszynianka"", ul. Zofii Kossak-Szatkowskiej 6, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;150;684;367;98
19;"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi im. Janusza Korczaka, ul. gen. Józefa Hallera 8, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;102;378;194;78
20;"Ochotnicza Straż Pożarna, ul. gen. Józefa Hallera 161, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;226;707;295;161
21;"Szpital Śląski, ul. Bielska 4, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;11;35;53;12
22;"Powiatowy Dom Pomocy Społecznej ""Pogodna Jesień"", ul. Wojciecha Korfantego 1, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;7;5;17;3
23;"Dom Pomocy Społecznej ""Betania"", ul. Katowicka 1, 43-400 Cieszyn";240301;"m. Cieszyn";"cieszyński";"śląskie";1;1;6;4;44;5
