"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TYRALSKA Gaja Gabriela - KW BEZPARTYJNI SAMORZĄDOWCY";"KRZYŻANOWSKI Marcin Rafał - KW PRAWO I SPRAWIEDLIWOŚĆ";"SCHETYNA Grzegorz Juliusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa nr 63, ul. Mennicza 21 - 23, 50-057 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;172;267;662
2;"Budynek Uniwersytetu Wrocławskiego, ul. Kuźnicza 49/55, 50-138 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;237;308;779
3;"Szkoła Podstawowa nr 29, ul. ks. Wincentego Kraińskiego 1, 50-153 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;128;217;453
4;"Szkoła Podstawowa nr 29, ul. ks. Wincentego Kraińskiego 1, 50-153 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;142;249;601
5;"Liceum Ogólnokształcące nr IX, ul. ks. Piotra Skargi 31, 50-082 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;167;216;506
6;"Muzeum Militariów-Arsenał, ul. Antoniego Cieszyńskiego 9, 50-136 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;157;220;431
7;"Szkoła Podstawowa nr 84, ul. Łukasza Górnickiego 20, 50-337 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;44;255;176
8;"Szkoła Podstawowa nr 97, ul. Iwana Pawłowa 15, 53-604 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;220;317;698
9;"Liceum Ogólnokształcące nr XVII, ul. Tęczowa 60, 53-603 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;361;275;1333
10;"Liceum Ogólnokształcące nr XVII, ul. Tęczowa 60, 53-603 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;169;302;505
11;"Szkoła Podstawowa nr 97, ul. Prosta 16, 53-509 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;165;281;512
12;"Zespół Szkolno-Przedszkolny nr 13, pl. Muzealny 20, 50-035 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;169;294;634
13;"Klub Muzyki i Literatury, pl. Tadeusza Kościuszki 10, 50-028 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;227;302;708
14;"Szkoła Podstawowa nr 71, ul. Hugona Kołłątaja 1 - 6, 50-002 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;223;289;731
15;"Szkoła Podstawowa nr 71, ul. Podwale 57, 50-039 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;156;185;514
16;"Szkoła Podstawowa Nr 68, ul. Szczęśliwa 28, 53-446 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;172;309;565
