"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOPIEC Maciej Kamil - KW NOWA LEWICA";"PIECHOTA Leszek Marian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKOWSKI Jerzy - KWW JERZEGO MARKOWSKIEGO"
1;"Szkoła Podstawowa Nr 9, ul. Panewnicka 172, 40-772 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;971;380;326
2;"Szkoła Podstawowa nr 9, ul. Panewnicka 172, 40-772 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;917;314;316
3;"Zespół Szkolno-Przedszkolny nr 20, ul. Zielona 5, 40-756 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;690;402;288
4;"Zespół Szkolno-Przedszkolny nr 20, ul. Zielona 5, 40-756 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;808;433;339
5;"Zespół Szkolno-Przedszkolny nr 20, ul. Zielona 5, 40-756 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;565;235;194
6;"Zespół Szkolno-Przedszkolny nr 18, ul. Medyków 27, 40-751 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;726;398;322
7;"VII Liceum Ogólnokształcące, ul. Panewnicka 13, 40-709 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;832;389;355
8;"VII Liceum Ogólnokształcące, ul. Panewnicka 13, 40-709 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;603;455;269
9;"Zespół Szkolno-Przedszkolny nr 15, ul. Zielonogórska 3, 40-710 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;691;358;255
10;"Zespół Szkolno-Przedszkolny nr 14, ul. Zielonogórska 23, 40-710 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;569;287;202
11;"Szkoła Podstawowa nr 61 Specjalna, ul. Kołobrzeska 8, 40-718 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;381;170;122
12;"Zespół Szkolno-Przedszkolny nr 14, ul. Kołobrzeska 20a, 40-718 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;520;291;209
13;"Zespół Szkolno-Przedszkolny nr 14, ul. Zadole 26a, 40-719 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;483;255;203
14;"Szkoła Podstawowa nr 11, ul. Nasypowa 16, 40-551 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;583;195;181
15;"Ośrodek Rekreacyjno-Wypoczynkowy ""Zadole"", ul. Wczasowa 8, 40-694 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;637;291;253
16;"Zespół Szkolno-Przedszkolny nr 2, ul. Mariana Sobańskiego 86, 40-685 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;395;279;211
17;"Zespół Szkolno-Przedszkolny nr 2, ul. Mariana Sobańskiego 86, 40-685 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;1166;311;398
18;"Zespół Szkół Poligraficzno-Mechanicznych, ul. Armii Krajowej 84, 40-671 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;354;236;191
