"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SUCHAŃSKA Katarzyna Aleksandra - KW BEZPARTYJNI SAMORZĄDOWCY";"MILCARZ Henryk Mieczysław - KW NOWA LEWICA";"SŁOŃ Krzysztof Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"RAK Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BIERNACKI Robert - KW POLSKA JEST JEDNA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNY ANTYSYSTEMOWY"
1;"Szkoła Podstawowa w Porąbkach, Porąbki 1, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;44;43;225;32;8;4
2;"Szkoła Podstawowa im. Jana Pawła II w Bielinach, ul. Partyzantów 17, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;130;160;659;96;35;8
3;"Szkoła Podstawowa w Hucie Nowej, Huta Nowa 48, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;74;102;417;49;25;10
4;"Szkoła Podstawowa w Makoszynie, Makoszyn 100A, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;48;66;243;41;24;6
5;"Szkoła Podstawowa w Lechowie, Lechów 66, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;87;68;419;53;25;13
6;"Szkoła Podstawowa w Belnie, Belno 25, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;31;36;142;18;14;8
7;"Szkoła Podstawowa w Hucie Podłysicy, Huta Podłysica 58a, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;27;18;226;21;8;10
8;"Szkoła Podstawowa w Hucie Starej, Huta Stara 25, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;32;25;206;29;17;2
9;"Centrum Tradycji, Turystyki i Kultury Gór Świętokrzyskich w Bielinach, ul. Partyzantów 3, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;82;152;321;54;31;8
10;"Świetlica Wiejska w Kakoninie, Kakonin 41A, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;28;17;129;18;12;3
11;"Świetlica Wiejska w Napękowie, Napęków 39C, 26-004 Bieliny";260401;"gm. Bieliny";"kielecki";"świętokrzyskie";1;1;44;24;220;33;15;9
1;"Zespół Szkolno-Przedszkolny w Bodzentynie, ul. Rynek Górny 11, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;177;358;472;88;63;29
2;"Zespół Szkolno-Przedszkolny w Bodzentynie, ul. Rynek Górny 11, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;12;15;45;3;1;1
3;"Remiza OSP w Sieradowicach, Sieradowice-Parcele 1, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;34;40;151;22;15;9
4;"Szkoła Podstawowa w Śniadce, Śniadka Druga 19a, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;36;36;128;18;10;4
5;"Szkoła Podstawowa w Leśnej, Leśna-Stara Wieś 1, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;68;50;193;28;14;4
6;"Świetlica Wiejska Siekierno-Stara Wieś, Siekierno-Stara Wieś 5, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;13;38;68;7;5;8
7;"Szkoła Podstawowa im. Stefana Żeromskiego w Psarach-Starej Wsi, Psary-Stara Wieś 59a, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;57;45;238;28;16;4
8;"Zespół Szkół we Wzdole Rządowym, Stara Wieś 28, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;159;147;562;75;48;27
9;"Szkoła Podstawowa im. Doliny Wilkowskiej w Świętej Katarzynie, Święta Katarzyna ul. Kielecka 45, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;68;162;202;48;22;15
10;"Świetlica Wiejska im. Jadwigi Siedleckiej-Wójcik w Wilkowie, Wilków ul. Łysogórska 155, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;68;111;269;45;14;12
11;"Świetlica Wiejska w Woli Szczygiełkowej, Wola Szczygiełkowa 66A, 26-006 Nowa Słupia";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;47;52;169;15;11;15
12;"Świetlica Wiejska w Dąbrowie Górnej, Dąbrowa Górna 44D, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;39;45;200;26;11;8
13;"Świetlica Wiejska w Celinach, Celiny 32A, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;26;13;84;18;9;6
14;"Świetlica Wiejska w Psarach-Podłazach, Psary-Podłazy 52, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;27;5;68;20;2;6
15;"Dom Wiejski w Wiącce, Wiącka 62, 26-010 Bodzentyn";260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";1;1;51;59;150;22;14;7
1;"Centrum Kultury i Sportu, ul. Armii Krajowej 18A, 26-060 Chęciny";260403;"gm. Chęciny";"kielecki";"świętokrzyskie";1;1;119;239;268;69;38;28
2;"Centrum Kultury i Sportu, ul. Armii Krajowej 18A, 26-060 Chęciny";260403;"gm. Chęciny";"kielecki";"świętokrzyskie";1;1;44;108;165;25;27;13
3;"Biblioteka Publiczna w Chęcinach, ul. Kielecka 27, 26-060 Chęciny";260403;"gm. Chęciny";"kielecki";"świętokrzyskie";1;1;128;245;331;57;44;26
4;"Publiczna Szkoła Podstawowa w Korzecku, Korzecko 82, 26-060 Chęciny";260403;"gm. Chęciny";"kielecki";"świętokrzyskie";1;1;59;98;219;39;18;7
5;"Szkoła Podstawowa w Bolminie, Bolmin 63A, 26-060 Chęciny";260403;"gm. Chęciny";"kielecki";"świętokrzyskie";1;1;113;111;297;67;20;17
6;"Szkoła Podstawowa w Polichnie, Polichno 52, 26-060 Chęciny";260403;"gm. Chęciny";"kielecki";"świętokrzyskie";1;1;122;160;393;80;49;21
7;"Szkoła Podstawowa w Radkowicach, Radkowice 85, 26-060 Chęciny";260403;"gm. Chęciny";"kielecki";"świętokrzyskie";1;1;58;73;170;29;15;12
