"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOCHAN Łukasz Szymon - KW PRAWO I SPRAWIEDLIWOŚĆ";"WCISŁA Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MASIEWICZ-GRODŹ Justyna Joanna - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
1;"Bartoszycki Dom Kultury, ul. Boh. Warszawy 11, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;288;553;59
2;"Zespół Szkolno-Przedszkolny Nr 1, ul. Nowowiejskiego 31, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;416;727;81
3;"Sala gimnastyczna Szkoła Podstawowa Nr 1, ul. Mierosławskiego 1, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;406;683;94
4;"Miejska Biblioteka Publiczna, ul. Generała Bema 23, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;359;552;144
5;"Szkoła Podstawowa Nr 1, ul. Traugutta 23, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;301;500;72
6;"Zespół Szkół Ponadpodstawowych Nr 2, ul. Słowackiego 1, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;397;743;104
7;"Szkoła Podstawowa Nr 3, ul. Andrzeja Witolda Wajdy 18, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;350;714;82
8;"Przedszkole Integracyjne Nr 4, ul. Generała Bema 49, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;502;715;113
9;"Sala gimnastyczna Szkoła Podstawowa Nr 7, ul. Generała Bema 35, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;112;158;14
10;"Mała sala gimnastyczna Szkoła Podstawowa Nr 7 w Bartoszycach, ul. Generała Bema 35, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;375;671;96
11;"Szkoła Podstawowa Nr 8 z UJN, ul. Leśna 1, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;190;364;63
12;"Szpital Powiatowy w Bartoszycach, ul. Kardynała Wyszyńskiego 11, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;21;31;6
13;"Dom Pomocy Społecznej, ul. Boh. Monte Cassino 4, 11-200 Bartoszyce";280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;19;5;6
1;"Szkoła Podstawowa, ul. Szkolna 4, 11-220 Górowo Iławeckie";280102;"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";1;1;285;507;70
2;"Sala gimnastyczna Szkoły Podstawowej, ul. Generała Sikorskiego 22, 11-220 Górowo Iławeckie";280102;"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";1;1;359;513;69
1;"Młodzieżowy Dom Kultury w Bartoszycach, ul. Boh. Warszawy 6, 11-200 Bartoszyce";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;402;603;96
2;"Dom Kultury w Bezledach, Bezledy 47, 11-200 Bezledy";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;290;248;73
3;"Świetlica Wiejska, Galiny 36, 11-214 Galiny";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;204;275;57
4;"Świetlica Wiejska w Kinkajmach, Kinkajmy 16C, 11-200 Kinkajmy";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;147;162;50
5;"Dom Kultury w Łabędniku, Łabędnik 11, 11-200 Łabędnik";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;225;211;51
6;"Dom Kultury w Rodnowie, Rodnowo 10, 11-200 Rodnowo";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;118;148;30
7;"Świetlica Wiejska w Tolko, Tolko 15A, 11-200 Tolko";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;169;159;22
8;"Dom Kultury w Wojciechach, Wojciechy 68, 11-200 Wojciechy";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;159;127;47
9;"Szkoła Podstawowa w Żydowie, Żydowo 2, 11-200 Żydowo";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;147;123;27
10;"Świetlica Wiejska w Mintach, Minty 19, 11-214 Minty";280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";1;1;118;143;38
1;"Brama Lidzbarska w Bisztynku, ul. Marii Konopnickiej 9, 11-230 Bisztynek";280104;"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";1;1;155;247;43
2;"Miejski Ośrodek Pomocy Społecznej w Bisztynku, pl. Wolności 5, 11-230 Bisztynek";280104;"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";1;1;226;309;51
3;"Zespół Szkolno-Przedszkolny w Bisztynku, ul. Kolejowa 5, 11-230 Bisztynek";280104;"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";1;1;31;72;19
4;"Świetlica w Grzędzie, Grzęda 17/3, 11-230 Bisztynek";280104;"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";1;1;74;29;19
