"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOBUS Mariola - KW BEZPARTYJNI SAMORZĄDOWCY";"KOPICZKO Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZALEWSKI Artur Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PIOTROWSKA Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Specjalny Ośrodek Szkolno-Wychowawczy w Ełku, Recepcja Internatu, parter, ul. Grajewska 16A, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;164;600;290;772
2;"Szkoła Podstawowa nr 5 w Ełku, Sala nr 16, parter, ul. św. Maksymiliana Marii Kolbe 11, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;127;474;267;582
3;"Szkoła Podstawowa nr 5 w Ełku, Sala nr 27, parter, ul. św. Maksymiliana Marii Kolbe 11, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;174;453;336;867
4;"Szkoła Podstawowa nr 7 w Ełku, Sala nr A11, parter, ul. Jana Kilińskiego 48, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;130;546;217;689
5;"Szkoła Podstawowa nr 7 w Ełku, Sala nr A14, parter, ul. Jana Kilińskiego 48, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;92;368;128;449
6;"Szkoła Podstawowa Nr 1 w Ełku, Sala nr 40 (Stołówka szkolna), parter, ul. Koszykowa 1, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;119;531;183;658
7;"Powiatowy Urząd Pracy w Ełku, Sala obsługi, parter, ul. Suwalska 38, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;91;324;149;317
8;"Ełckie Centrum Kultury w Ełku, Sala nr 11, parter, ul. Wojska Polskiego 47, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;119;471;190;573
9;"Ełckie Centrum Kultury w Ełku, Sala nr 20 (Galeria), I piętro, ul. Wojska Polskiego 47, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;109;503;189;575
10;"Szkoła Podstawowa nr 2 w Ełku, Sala nr 3, parter, ul. Jana i Hieronima Małeckich 1, 19-300 Ełk";280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";1;1;106;462;172;481
