"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BAREŁKOWSKA Dorota Elżbieta - KW PRAWO I SPRAWIEDLIWOŚĆ";"DZIKOWSKI Waldy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa nr 1, ul. Józefa Poniatowskiego 16, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;440;1336
2;"Szkoła Podstawowa nr 1, ul. Józefa Poniatowskiego 16, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;342;1188
3;"Szkoła Podstawowa nr 5, ul. Hugona Kołłątaja 1, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;380;1196
4;"Szkoła Podstawowa nr 2, ul. Żabikowska 40, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;311;905
5;"Centrum Organizacji Pozarządowych w Luboniu, ul. gen. Władysława Sikorskiego 3, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;317;943
6;"Świetlica SM, ul. Żabikowska 62, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;455;1134
7;"Zespół Szkół w Luboniu, ul. Armii Poznań 27, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;398;809
8;"Szkoła Podstawowa nr 2, ul. Żabikowska 40, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;328;996
9;"Szkoła Podstawowa nr 2, ul. Żabikowska 40, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;222;1226
10;"Zespół Szkół w Luboniu, ul. Armii Poznań 27, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;349;1002
11;"Dzienny Dom ""Senior-Wigor"", ul. Romana Maya 1b, 62-030 Luboń";302101;"m. Luboń";"poznański";"wielkopolskie";1;1;180;471
