"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRYJOM Sławomir Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"SŁOWIŃSKA Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"GBIORCZYK Adam Mieczysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZIEMNIAK Wojciech Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Miejsko – Gminny Ośrodek Kultury w Borku Wielkopolskim, ul. Powstańców Wielkopolskich 4, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;92;255;93;383
2;"Miejsko – Gminny Ośrodek Kultury w Borku Wielkopolskim, ul. Powstańców Wielkopolskich 4, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;80;362;130;381
3;"Urząd Miejski w Borku Wielkopolskim, rynek Rynek 1, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;33;142;49;99
4;"Świetlica Wiejska w Koszkowie, Koszkowo 7, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;29;209;57;98
5;"Zespół Szkolno-Przedszkolny w Zimnowodzie, Zimnowoda 7, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;45;299;74;159
6;"Świetlica Wiejska w Zalesiu, Zalesie 34, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;15;133;33;63
7;"Świetlica Wiejska w Skokowie, Skoków 33B, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;7;65;16;38
8;"Świetlica Wiejska w Bruczkowie, Bruczków 37A, 63-810 Borek Wielkopolski";300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";1;1;22;89;20;61
1;"Szkoła Podstawowa Nr 1, ul. Stanisława Helsztyńskiego 8, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;56;225;60;282
2;"Dzienny Dom Senior +, ul. Polna 72, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;41;170;52;272
3;"Zespół Szkół Ogólnokształcących, ul. Wrocławska 10, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;70;212;67;384
4;"Biblioteka Publiczna M i G, ul. Wrocławska 257, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;54;187;62;333
5;"Świetlica Osiedlowa, ul. Górna 30B, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;108;274;172;549
6;"Szkoła Podstawowa Nr 2 (wejście od ul. Sądowej), ul. Wrocławska 264, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;63;229;57;299
7;"Szkoła Podstawowa Nr 1, ul. Stanisława Helsztyńskiego 8, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;86;224;115;383
8;"Dzienny Dom Senior +, ul. Polna 72, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;48;181;66;302
9;"Gostyński Ośrodek Kultury ""Hutnik"", ul. Hutnika 4, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;62;248;95;364
10;"Szkoła Podstawowa Nr 3 (wejście od ul. Leszczyńskiej), ul. Hutnika 3, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;66;188;72;295
11;"Szkoła Podstawowa Nr 3, ul. Hutnika 3, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;68;188;77;377
12;"Szkoła Podstawowa Nr 5, ul. Graniczna 1, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;52;230;101;345
13;"Środowiskowy Dom Samopomocy, ul. Mikołaja Reja 26, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;122;274;136;575
14;"Środowiskowy Dom Samopomocy, ul. Mikołaja Reja 26, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;113;232;140;471
15;"Szkoła Podstawowa Nr 2, ul. Wrocławska 264, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;38;158;57;290
16;"Świetlica Wiejska, Stary Gostyń 56, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;18;82;37;92
17;"Szkoła Podstawowa, Siemowo 102, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;27;124;22;54
18;"Szkoła Podstawowa, Kunowo ul. Szkolna 5, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;62;231;105;245
19;"Świetlica Wiejska, Brzezie 301, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;69;241;103;320
20;"Szkoła Podstawowa, Gola 17, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;37;133;74;169
21;"Świetlica Wiejska, Czachorowo 16/4, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;26;85;18;48
22;"Szkoła Podstawowa, Daleszyn 76, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;38;212;61;182
23;"Świetlica Wiejska, Osowo 1A, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;6;57;23;41
24;"Świetlica Wiejska, Stankowo 6, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;12;92;14;40
25;"Świetlica Wiejska, Kosowo 27/3, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;19;87;23;80
26;"Świetlica Wiejska, Sikorzyn 135/2, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;8;62;22;38
27;"Świetlica Wiejska, Krajewice 13, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;36;138;72;74
28;"Świetlica Wiejska, Ziółkowo 96/3, 63-840 Krobia";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;23;77;16;41
29;"Samodzielny Publiczny Zespół Opieki Zdrowotnej Szpital w Gostyniu, pl. Karola Marcinkowskiego 8/9, 63-800 Gostyń";300402;"gm. Gostyń";"gostyński";"wielkopolskie";1;1;2;4;0;4
1;"Pałac Ślubów, pl. Tadeusza Kościuszki 3, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;95;366;123;441
2;"Kino Szarotka, ul. Powstańców Wielkopolskich 27, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;141;451;198;637
3;"Szkoła Podstawowa im. prof. Józefa Zwierzyckiego w Krobi, ul. prof. Józefa Zwierzyckiego 1, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;16;90;19;39
4;"Szkoła Podstawowa im. Stanisława Fenrycha w Pudliszkach z klasami integracyjnymi, ul. Szkolna 20, 63-842 Pudliszki";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;119;481;129;465
5;"Stara Szkoła w Chwałkowie, Chwałkowo 43, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;22;123;41;107
6;"Szkoła Podstawowa im. Ziemi Biskupiańskiej w Starej Krobi, Stara Krobia 71, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;25;140;31;71
7;"Szkoła Podstawowa w Nieparcie, Niepart 45, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;17;108;26;48
8;"Świetlica Wiejska, Ciołkowo 11, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;12;77;13;16
9;"Świetlica Wiejska, Posadowo 23, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;11;82;17;25
10;"Szkoła Podstawowa Filialna w Sułkowicach przy Szkole Podstawowej im. Ziemi Biskupiańskiej w Starej Krobi, Sułkowice 86, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;25;170;47;65
11;"Świetlica Wiejska, Żychlewo 52B, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;42;244;75;115
12;"Świetlica Wiejska, Potarzyca 46, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;17;85;16;35
13;"Biskupiański Gościniec, Domachowo 75, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;23;109;30;73
14;"Świetlica Wiejska, Gogolewo 3A, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;26;110;26;54
15;"Świetlica Wiejska, Kuczyna 12, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;29;133;24;96
16;"Dom Pomocy Społecznej w Chumiętkach, Chumiętki 22, 63-840 Krobia";300403;"gm. Krobia";"gostyński";"wielkopolskie";1;1;4;16;1;5
1;"Szkoła Podstawowa w Pępowie, ul. Powstańców Wielkopolskich 44 (hol starego budynku), 63-830 Pępowo";300404;"gm. Pępowo";"gostyński";"wielkopolskie";1;1;101;375;150;413
2;"Szkoła Podstawowa w Pępowie, ul. Powstańców Wielkopolskich 44, 63-830 Pępowo";300404;"gm. Pępowo";"gostyński";"wielkopolskie";1;1;48;132;34;120
