"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JANCZAR Urszula - KW BEZPARTYJNI SAMORZĄDOWCY";"WOJTYŁA Andrzej Franciszek - KW PRAWO I SPRAWIEDLIWOŚĆ";"RATAJCZYK Arkadiusz Stefan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PĘCHERZ Janusz Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"JANKOWSKI Zdzisław Kazimierz - KW NORMALNY KRAJ";"BOROWIAK Dawid - KWW NIEZALEŻNY KANDYDAT DAWID BOROWIAK";"SAPIŃSKI Grzegorz Marcin - KWW WIELKOPOLSKA INICJATYWA SENACKA"
1;"Świetlica wiejska, Cerekwica Stara 48, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;18;106;17;58;9;18;1
2;"Szkoła Podstawowa, Góra ul. Jarocińska 6, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;36;201;39;121;10;16;3
3;"Urząd Miasta i Gminy, ul. Jarocińska 1, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;59;255;57;256;24;43;13
4;"Szkoła Podstawowa, Nosków ul. Szkolna 28, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;41;233;58;160;11;33;9
5;"Zespół Szkół, Rusko ul. Szkolna 29, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;50;274;54;126;9;25;3
6;"Świetlica wiejska, Wojciechowo 11a, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;31;178;26;82;4;17;4
7;"Świetlica wiejska, Parzęczew 12A, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;4;71;4;28;3;8;1
8;"Świetlica wiejska, Panienka 12A, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;19;169;24;34;5;15;4
9;"Świetlica wiejska, Brzostów 14C, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;9;68;15;41;2;17;4
10;"Świetlica wiejska, Zalesie 33A, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;24;78;17;34;4;15;3
11;"Świetlica wiejska, Łobez 30, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;14;75;8;36;5;5;2
12;"Świetlica wiejska, Łobzowiec 36A, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;15;71;17;49;4;5;2
13;"Świetlica wiejska, Gola ul. Jaraczewska 1, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;25;141;17;61;8;14;8
14;"Świetlica wiejska, Suchorzewko 6A, 63-233 Jaraczewo";300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";1;1;12;49;11;34;6;5;0
1;"Szkoła Podstawowa, Cielcza ul. Szkolna 16, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;104;483;115;430;26;49;18
2;"Szkoła Podstawowa, Golina ul. Jarocińska 32, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;108;559;103;576;23;83;14
3;"Zespół Szkół, Mieszków ul. Radliniecka 11, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;74;461;104;348;33;67;11
4;"Niepubliczna Szkoła Podstawowa, Siedlemin ul. Główna 36, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;62;224;34;140;9;18;12
5;"Niepubliczna Szkoła Podstawowa, Wilkowyja ul. Powstańców Wielkopolskich 41, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;85;389;101;320;17;58;14
6;"Zespół Szkół, ul. Szkolna 1a, 63-230 Witaszyce";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;106;450;97;446;15;52;12
7;"Zespół Szkół, ul. Szkolna 1a, 63-230 Witaszyce";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;81;330;76;404;21;50;11
8;"Szkoła Podstawowa nr 2 im. Królowej Jadwigi, ul. Aleja Niepodległości 8, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;149;620;139;1030;22;79;24
9;"Zespół Szkół Nr 5, ul. Ludwika Waryńskiego 11, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;61;306;57;492;7;38;9
10;"Zespół Szkół Nr 5, ul. Ludwika Waryńskiego 11, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;148;563;102;1020;32;70;26
11;"Niepubliczne Przedszkole „Stokrotka”, ul. Generała Józefa Hallera 8a, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;66;340;54;526;8;31;21
12;"Szkoła Podstawowa Nr 3, ul. Wrocławska 168, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;91;394;110;449;28;52;15
13;"Centrum Socjalne, ul. Wrocławska 39, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;88;388;64;538;19;38;10
14;"Zespół Szkół Ponadpodstawowych Nr 2, ul. Franciszkańska 2, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;87;385;71;521;16;47;15
15;"Zespół Szkół Nr 4, ul. Marii Curie-Skłodowskiej 4, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;96;385;66;690;28;65;11
16;"Zespół Szkół Nr 4, ul. Marii Curie-Skłodowskiej 4, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;98;410;77;687;20;58;11
17;"Zespół Szkół Nr 4, ul. Marii Curie-Skłodowskiej 4, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;87;297;71;605;11;59;11
18;"Niepubliczne Przedszkole „Tęcza” im. Macieja Kostki, Radlin 29, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;24;211;44;112;3;22;4
19;"Niepubliczna Szkoła Podstawowa z oddziałem przedszkolnym w Roszkowie, Roszków 59A, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;50;191;49;243;14;46;6
20;"Centrum Oświatowo-Kulturalne im. Jana Heweliusza w Potarzycy, Potarzyca ul. Wyzwolenia 65, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;43;163;63;155;14;15;5
21;"Wiejski Dom Kultury, Bachorzew ul. Nowy Świat 12, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;36;228;46;182;12;43;4
22;"Niepubliczny Zespół Szkół w Łuszczanowie, Łuszczanów ul. Długa 108, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;58;217;49;178;10;26;10
23;"Zespół Szkół w Prusach, Prusy 52, 63-230 Witaszyce";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;17;108;24;60;6;14;3
24;"Szkoła Podstawowa Nr 3, ul. Wrocławska 168, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;125;327;113;487;20;49;20
25;"""Szpital Powiatowy w Jarocinie"" Sp. z o. o., ul. Szpitalna 1, 63-200 Jarocin";300602;"gm. Jarocin";"jarociński";"wielkopolskie";1;1;2;12;1;9;2;4;0
1;"Urząd Gminy w Kotlinie, ul. Powstańców Wielkopolskich 3, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;48;310;68;285;12;43;14
2;"Szkoła Podstawowa, ul. Marii Konopnickiej 22, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;87;342;87;365;24;44;13
3;"Budynek po szkole, Magnuszewice 17, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;33;235;35;98;7;30;6
4;"Szkoła Podstawowa w Sławoszewie z siedzibą w Parzewie, Parzew 6a, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;4;61;12;22;3;4;2
5;"Szkoła Podstawowa, Wola Książęca 103, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;26;146;28;89;5;21;5
6;"Sala wiejska, Wilcza 23A, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;17;71;11;45;3;10;3
7;"Sala wiejska, Kurcew 19A, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;12;72;13;18;0;5;3
8;"Sala wiejska, Racendów 58A, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;17;52;10;45;3;6;2
9;"Sala wiejska, Sławoszew 13A, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;16;87;28;34;5;6;2
10;"Sala wiejska, Twardów 57, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;22;93;33;55;9;13;8
11;"Sala wiejska, Wysogotówek 5A, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;11;63;10;17;3;4;0
12;"Dom Pomocy Społecznej im. Marii Kaczyńskiej w Kotlinie, ul. Parkowa 5, 63-220 Kotlin";300603;"gm. Kotlin";"jarociński";"wielkopolskie";1;1;0;5;0;0;1;0;1
