"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZYMAŃSKA Halina Barbara - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOCHAN Magdalena Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Miejska i Powiatowa Biblioteka Publiczna w Goleniowie, ul. Konstytucji 3 Maja 26, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;359;591
2;"Szkoła Podstawowa z Oddziałami Sportowymi nr 5 w Goleniowie, ul. Cypriana Kamila Norwida 1, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;397;845
3;"Szkoła Podstawowa Nr 4, ul. Szczecińska 36, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;359;657
4;"Przedszkole Publiczne nr 2, ul. Akacjowa 19, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;389;742
5;"Klub Centrum Animacji Młodzieży, ul. Jana Matejki 3C, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;257;609
6;"Szkoła Podstawowa nr 1, ul. Jana Kilińskiego 11, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;234;383
7;"Zespół Szkół nr 1, ul. Niepodległości 1, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;349;913
8;"Przedszkole Publiczne Nr 4, ul. Króla Władysława Jagiełły 12, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;424;828
9;"Goleniowskie Towarzystwo Budownictwa Społecznego, ul. Wincentego Witosa 7, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;403;804
10;"Szkoła Podstawowa nr 2, ul. Szarych Szeregów 14, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;248;694
11;"Szkoła Podstawowa nr 3, ul. Jodłowa 33, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;334;646
12;"Szkoła Podstawowa, ul. Szkolna 2, 72-113 Krępsko";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;191;556
13;"Zespół Szkół Publicznych, Białuń ul. Sielankowa 4, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;206;439
14;"Zespół Szkół Publicznych, Mosty 4, 72-132 Mosty";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;302;461
15;"Klub Stara Hydrofornia, ul. Bolesława Krzywoustego 16, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;89;284
16;"Szkoła Podstawowa, ul. Piastowska 11, 72-123 Kliniska Wielkie";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;207;691
17;"Szkoła Podstawowa, ul. Lipowa 14, 72-105 Lubczyna";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;208;485
18;"Szkoła Podstawowa, ul. Piastowska 11, 72-123 Kliniska Wielkie";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;352;870
19;"Świetlica Środowiskowa, Święta 29, 72-113 Święta";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;23;65
20;"Świetlica Wiejska, Żdżary 7CA, 72-113 Żdżary";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;54;137
21;"Świetlica Środowiskowa, Marszewo 23, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;77;161
22;"Świetlica wiejska, Wierzchosław 39, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;50;45
23;"Świetlica Środowiskowa, Żółwia Błoć 26, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;84;189
24;"Świetlica Wiejska, Bolechowo 15, 72-131 Bolechowo";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;130;238
25;"Świetlica Wiejska, Budno 28, 72-100 Goleniów";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;63;107
26;"Świetlica Środowiskowa, Danowo 19, 72-132 Danowo";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;39;73
27;"Świetlica Wiejska, ul. Goleniowska 76, 72-123 Rurzyca";320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";1;1;224;401
