"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KEMPINSKI Radosław Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAROCKA Krystyna Anna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOBIAK Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa, ul. Centralna 27, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;158;63;358
2;"Szkoła Podstawowa, ul. Centralna 27, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;211;98;442
3;"Szkoła Podstawowa, ul. Czerska 10, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;144;93;408
4;"Szkoła Podstawowa, ul. Czysta 1a, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;151;79;342
5;"Zakład Aktywności Zawodowej, ul. Centralna 27A, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;259;114;501
6;"Szkoła Podstawowa, ul. Czysta 1a, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;94;48;228
7;"Świetlica Wiejska, Ciele ul. Kościelna 6, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;214;144;729
8;"Świetlica Wiejska, Kruszyn Krajeński ul. Świerkowa 5, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;196;132;607
9;"Świetlica Wiejska, Lisi Ogon ul. Wyczynowa 2, 86-065 Łochowo";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;122;71;329
10;"Świetlica Wiejska, Łochowice ul. Spokojna 3, 86-065 Łochowo";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;119;53;436
11;"Gminne Centrum Kultury, ul. Jałowcowa 7, 86-065 Łochowo";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;369;198;885
12;"Szkoła Podstawowa, ul. Wierzbowa 2, 86-065 Łochowo";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;324;193;1070
13;"Świetlica Wiejska, Murowaniec ul. Staroszkolna 13, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;370;209;1126
14;"Świetlica Wiejska, Zielonka ul. Jaworowa 2, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;259;216;1192
15;"Szkoła Podstawowa, Przyłęki ul. Zabytkowa 5, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;195;155;648
16;"Świetlica Wiejska, Trzciniec ul. Gminna 19, 86-005 Białe Błota";40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";1;1;58;33;191
1;"Świetlica w Boluminie, Bolumin ul. Parkowa 2, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;98;48;81
2;"Świetlica w Czemlewie, Czemlewo ul. Jasna 4, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;141;51;144
3;"Świetlica w Gzinie, Gzin ul. Długa 26, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;87;46;186
4;"Ochotnicza Straż Pożarna w Wałdowie Królewskim, Wałdowo Królewskie ul. Strażacka 1, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;96;35;243
5;"Zespół Szkół im. Mariana Rejewskiego w Ostromecku, Ostromecko ul. Szkolna 1, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;103;44;189
6;"Zespół Szkół im. Mariana Rejewskiego w Ostromecku, Ostromecko ul. Szkolna 1, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;169;69;313
7;"Zespół Szkół w Czarżu, Czarże ul. Chełmińska 47, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;154;65;220
8;"Zespół Szkół w Czarżu, Czarże ul. Chełmińska 47, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;117;44;181
9;"Zespół Szkół im. Celestyna Kamińskiego w Dąbrowie Chełmińskiej, ul. Sportowa 1, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;217;115;275
10;"Zespół Szkół im. Celestyna Kamińskiego w Dąbrowie Chełmińskiej, ul. Sportowa 1, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;202;149;369
11;"Świetlica w Strzyżawie, Strzyżawa 47A, 86-070 Dąbrowa Chełmińska";40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";1;1;61;17;63
1;"Szkoła Podstawowa w Dobrczu, ul. Długa 33, 86-022 Dobrcz";40303;"gm. Dobrcz";"bydgoski";"kujawsko-pomorskie";1;1;287;203;780
