"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Dorota NIEDZIELA - nr na liście 1";"Marek Jan SOWA - nr na liście 2";"Adam Kajetan POTOCKI - nr na liście 3";"Adam Tomasz STYCZEŃ - nr na liście 4";"Mateusz Michał KLINOWSKI - nr na liście 5";"Ewa Beata WĄTROBA - nr na liście 6";"Michał CHOWANIEC - nr na liście 7";"Adam Jarosław LUBAŃSKI - nr na liście 8";"Ewa Magdalena WINCENCIAK-WALAS - nr na liście 9";"Kinga Agnieszka SKOWROŃSKA - nr na liście 10";"Marcin BRÓZDA - nr na liście 11";"Katarzyna Elżbieta BLIŹNIAK - nr na liście 12";"Szymon Tadeusz ARKIT - nr na liście 13";"Tomasz Zygmunt KLAJA - nr na liście 14";"Maria Wiesława MIRANOWICZ - nr na liście 15";"Tadeusz ŻABA - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Bartosz WILCZYŃSKI - nr na liście 1";"Emil Piotr KRAWCZYK - nr na liście 2";"Dariusz Bogdan CHMIEL - nr na liście 3";"Grzegorz Jan KUMANEK - nr na liście 4";"Marcin Jakub BAJER - nr na liście 5";"Jerzy CURZYDŁO - nr na liście 6";"Marta SALAWA - nr na liście 7";"Adam Aleksander CZACHUR - nr na liście 8";"Sylwia Małgorzata SIŁUSZYK - nr na liście 9";"Anna Katarzyna URBAŃSKA - nr na liście 10";"Tomasz MREŃCA - nr na liście 11";"Piotr Paweł BANET - nr na liście 12";"Katarzyna Anna SKWARCZYŃSKA - nr na liście 13";"Sylwia Jolanta JASTRZĘBSKA - nr na liście 14";"Katarzyna ZASŁONA-POLAK - nr na liście 15";"Tomasz KŁECZEK - nr na liście 16";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Józef BRYNKUS - nr na liście 1";"Józef KAŁA - nr na liście 2";"Dawid Julian HERBUT - nr na liście 3";"Grzegorz Roman ZAWADZKI - nr na liście 4";"Maria DĘBIŃSKA - nr na liście 5";"Katarzyna GOŁĄB - nr na liście 6";"Magdalena BOLEK - nr na liście 7";"Renata Barbara BEDRA - nr na liście 8";"Sylwia MICHALEC - nr na liście 9";"Marek Andrzej SIKORA - nr na liście 10";"Ewa Maria HYJEK - nr na liście 11";"Dorota PAJĄK - nr na liście 12";"Tomasz Marek JAKUBOWSKI - nr na liście 13";"Daniel Józef KIERPIEC - nr na liście 14";"Andrzej GÓRECKI - nr na liście 15";"Miłosz Maksymilian MOTYKA - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Rafał Paweł BOCHENEK - nr na liście 1";"Marek Władysław POLAK - nr na liście 2";"Zbigniew Stanisław BIERNAT - nr na liście 3";"Ewa Maria FILIPIAK - nr na liście 4";"Krzysztof Janusz KOZIK - nr na liście 5";"Sławomir Paweł HAJOS - nr na liście 6";"Władysław Michał KUROWSKI - nr na liście 7";"Zbigniew Władysław STARZEC - nr na liście 8";"Iwona Józefa GIBAS - nr na liście 9";"Wojciech Marcin KASPROWSKI - nr na liście 10";"Jolanta Maria MAJKA - nr na liście 11";"Filip Roman KACZYŃSKI - nr na liście 12";"Grażyna ŚWIERKOSZ - nr na liście 13";"Stanisława Marzena KASPRZYCKA - nr na liście 14";"Grażyna TROJANOWSKA - nr na liście 15";"Roman Wincenty DUDA - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Ryszard Kazimierz ŚMIAŁEK - nr na liście 1";"Katarzyna Małgorzata WÓJTOWICZ - nr na liście 2";"Tomasz Leszek ZAWADA - nr na liście 3";"Dominika Maria BROŻEK - nr na liście 4";"Paweł Stanisław JEZIERSKI - nr na liście 5";"Michał Grzegorz KOWALÓWKA - nr na liście 6";"Jan Zbigniew RAUCH - nr na liście 7";"Iwona Ewa STASIK - nr na liście 8";"Magdalena FILIPEK - nr na liście 9";"Maria Teresa KUC - nr na liście 10";"Władysław JANUSZYK - nr na liście 11";"Natalia Joanna LEGOŃ - nr na liście 12";"Jarosław Marek GUGULSKI - nr na liście 13";"Agnieszka TYMAN - nr na liście 14";"Dorota Ewa KAJDAS - nr na liście 15";"Jakub Jerzy JAGLARZ - nr na liście 16";"Liczba obwodów"
"120301";"gmina miejsko-wiejska";"gm. Alwernia";"chrzanowski";"małopolskie";9221;10123;2957;6257;3;46;0;0;0;0;0;0;0;6261;0;1;6260;93;52;41;0;6167;1437;289;409;510;12;11;19;13;3;11;29;4;4;97;4;7;15;459;224;45;18;6;17;7;26;7;7;6;1;6;48;17;12;12;499;143;36;24;11;20;32;131;3;15;17;1;11;17;3;15;20;3166;1186;220;123;200;666;39;32;17;133;56;56;74;12;11;185;156;606;263;91;45;50;24;3;5;12;49;7;5;1;10;9;15;17;8
"120302";"gmina wiejska";"gm. Babice";"chrzanowski";"małopolskie";6721;7331;1990;4731;0;14;0;0;0;0;0;0;0;4731;0;0;4731;79;54;25;0;4652;1119;125;271;440;9;2;11;5;9;2;10;3;1;55;12;157;7;325;161;50;11;11;23;4;14;7;4;3;2;2;7;5;8;13;404;55;24;10;6;6;19;222;2;8;5;3;13;3;1;13;14;2449;625;204;148;98;804;30;9;17;81;10;28;61;12;14;237;71;355;148;54;19;34;12;3;4;15;23;13;2;5;5;2;11;5;9
"120303";"gmina miejsko-wiejska";"gm. Chrzanów";"chrzanowski";"małopolskie";33883;36537;11042;22841;24;92;3;3;1;0;0;0;2;22840;2;3;22837;202;127;75;0;22635;7582;1323;988;4425;54;60;85;53;15;11;115;13;20;277;30;65;48;1623;733;281;60;128;59;13;68;35;13;46;9;19;33;28;29;69;1047;393;69;39;31;57;63;124;20;30;29;9;52;30;7;33;61;8918;3128;438;160;441;2035;59;64;42;411;56;106;154;50;46;1450;278;3465;1364;456;213;827;75;39;28;65;107;105;9;22;10;40;56;49;31
"120304";"gmina miejsko-wiejska";"gm. Libiąż";"chrzanowski";"małopolskie";16134;17574;4871;11263;21;28;0;0;0;0;0;0;0;11262;0;0;11262;134;82;52;0;11128;3008;401;1046;388;9;6;23;18;13;6;56;6;5;985;18;14;14;680;278;105;27;27;27;4;35;94;5;15;5;6;13;10;10;19;493;127;64;19;21;21;23;84;11;18;11;5;32;7;4;23;23;5697;874;118;95;111;3791;25;24;23;199;17;54;68;19;14;171;94;1250;566;129;67;158;119;20;6;15;40;32;5;14;6;17;31;25;15
"120305";"gmina miejsko-wiejska";"gm. Trzebinia";"chrzanowski";"małopolskie";24645;26847;7911;16734;13;52;0;0;0;0;0;0;0;16731;0;1;16730;191;108;83;0;16539;5302;882;697;3181;29;34;75;26;16;14;59;20;27;157;9;45;31;1286;501;367;41;44;49;11;61;15;12;32;10;6;13;15;38;71;909;294;54;39;48;54;65;119;12;39;26;11;60;11;7;28;42;6900;2579;462;149;309;1537;40;58;31;361;38;130;141;45;37;747;236;2142;871;379;131;303;60;25;21;54;68;64;16;25;10;23;49;43;26
"120901";"gmina miejsko-wiejska";"gm. Dobczyce";"myślenicki";"małopolskie";10657;11725;3167;7492;4;52;0;0;0;0;0;0;0;7492;0;0;7492;101;66;35;0;7391;1494;304;433;23;290;13;15;8;10;71;16;6;7;1;1;2;294;820;438;59;29;12;144;8;37;5;11;21;4;8;7;9;12;16;481;169;17;26;17;26;31;14;5;23;13;14;26;23;2;25;50;4121;1965;263;93;129;29;65;379;25;37;17;520;169;21;177;43;189;475;203;69;41;47;4;12;5;36;16;7;0;11;3;7;3;11;9
"120902";"gmina wiejska";"gm. Lubień";"myślenicki";"małopolskie";6999;7667;2180;4819;6;37;0;0;0;0;0;0;0;4819;0;0;4819;55;33;22;0;4764;444;141;60;10;80;10;11;16;3;74;11;3;3;2;1;0;19;338;179;33;24;3;22;7;18;10;7;9;4;6;2;2;4;8;297;143;7;4;4;16;11;12;4;9;6;6;15;6;2;7;45;3513;1107;263;284;345;58;165;408;34;34;36;257;226;18;68;34;176;172;71;29;14;9;4;4;0;9;7;8;1;4;1;4;2;5;5
"120903";"gmina miejsko-wiejska";"gm. Myślenice";"myślenicki";"małopolskie";30977;34151;8373;22605;8;114;11;11;0;0;0;0;11;22610;11;1;22609;215;142;73;0;22394;5374;745;382;68;2803;36;38;43;27;917;39;45;15;11;12;5;188;1803;926;116;132;26;94;28;67;18;241;45;10;13;20;16;7;44;1385;466;34;33;23;51;60;39;15;40;78;140;44;28;4;52;278;12499;3602;504;183;405;66;126;5638;88;60;50;337;337;38;593;61;411;1333;616;296;95;73;20;15;14;37;38;31;5;17;7;24;17;28;27
"120904";"gmina wiejska";"gm. Pcim";"myślenicki";"małopolskie";7824;8585;2264;5560;7;12;0;0;0;0;0;0;0;5560;0;0;5560;82;42;40;0;5478;658;147;70;23;254;3;15;9;5;84;9;6;5;0;3;2;23;365;204;25;23;4;27;3;13;4;8;11;2;9;2;8;2;20;348;102;16;11;11;18;14;14;5;11;9;14;20;26;1;11;65;3892;1155;220;68;273;53;75;1447;30;22;23;122;153;14;69;25;143;215;104;44;4;14;7;3;4;6;13;4;0;3;0;1;4;4;8
"120905";"gmina wiejska";"gm. Raciechowice";"myślenicki";"małopolskie";4608;5066;1786;2822;10;10;0;0;0;0;0;0;0;2822;0;0;2822;38;32;6;0;2784;349;87;89;6;72;13;4;7;3;20;10;2;2;1;1;0;32;214;130;11;13;6;29;4;6;2;4;2;3;2;0;0;0;2;241;82;16;6;11;12;15;7;6;6;11;2;14;6;4;5;38;1829;471;139;35;34;12;117;98;4;9;2;710;83;9;41;10;55;151;65;27;9;19;3;2;1;3;3;2;1;5;4;1;1;5;5
