"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Witold Maciej ZEMBACZYŃSKI - nr na liście 1";"Tomasz Tadeusz KOSTUŚ - nr na liście 2";"Elżbieta Maria BIEŃ - nr na liście 3";"Ryszard Jan WILCZYŃSKI - nr na liście 4";"Monika Małgorzata JUREK - nr na liście 5";"Rajmund Tadeusz MILLER - nr na liście 6";"Robert WĘGRZYN - nr na liście 7";"Zbigniew Józef ZIÓŁKO - nr na liście 8";"Artur NOWAK - nr na liście 9";"Tadeusz Franciszek GOC - nr na liście 10";"Janusz Roman TRZEPIZUR - nr na liście 11";"Joanna Krystyna NIEDŹWIEDŹ - nr na liście 12";"Monika OŻÓG - nr na liście 13";"Małgorzata Ewa BESZ-JANICKA - nr na liście 14";"Adrian Marcin SULIKOWSKI - nr na liście 15";"Leokadia Albina KUBALAŃCA - nr na liście 16";"Henryk Paweł MAŁEK - nr na liście 17";"Grażyna GRABOWSKA-ŚWIĘS - nr na liście 18";"Dragomir Antoni RUDY - nr na liście 19";"Ewa Helena MUC-KLIMEK - nr na liście 20";"Adam Piotr RACZYŃSKI - nr na liście 21";"Rafał Krzysztof KAMPA - nr na liście 22";"Dariusz Piotr GAJEWSKI - nr na liście 23";"Barbara Ewa KAMIŃSKA - nr na liście 24";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Jacek WILK - nr na liście 1";"Łukasz Rafał FOMICZ - nr na liście 2";"Daniel SZKARUPSKI - nr na liście 3";"Longin BARTNIK - nr na liście 4";"Jakub Hubert BEDRUNKA - nr na liście 5";"Ewa Małgorzata SIENKIEWICZ - nr na liście 6";"Bartosz Adam PUK - nr na liście 7";"Anna Maria JASTRZĘBSKA - nr na liście 8";"Kamila Urszula SEKIETA - nr na liście 9";"Anna DZIONY - nr na liście 10";"Teresa PRZEŁOŻNA - nr na liście 11";"Genowefa WOJNAR - nr na liście 12";"Marcin PĘKALSKI - nr na liście 13";"Jarosław GÓRNY - nr na liście 14";"Jolanta Halina KWIECIŃSKA - nr na liście 15";"Zbigniew ZARĘBA - nr na liście 16";"Tomasz JARECKI - nr na liście 17";"Zbigniew Henryk DZIĘGIELEWSKI - nr na liście 18";"Bartosz Dawid ROMANOWICZ - nr na liście 19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Paweł Piotr KUKIZ - nr na liście 1";"Stanisław RAKOCZY - nr na liście 2";"Paweł GRABOWSKI - nr na liście 3";"Antoni Jacek KONOPKA - nr na liście 4";"Piotr POŚPIECH - nr na liście 5";"Marcin Krzysztof OSZAŃCA - nr na liście 6";"Agnieszka Izabela ZAGOLA - nr na liście 7";"Wojciech Jan JAGIEŁŁO - nr na liście 8";"Kazimierz GŁOWACKI - nr na liście 9";"Tomasz Paweł WICIAK - nr na liście 10";"Barbara ZAJĄC - nr na liście 11";"Jan KRZESIŃSKI - nr na liście 12";"Katarzyna Agnieszka MALIK-MENDELSKA - nr na liście 13";"Jolanta MARKIEWICZ - nr na liście 14";"Leszek KAŁWAK - nr na liście 15";"Danuta Teresa KUPNY - nr na liście 16";"Alicja ZAWIŚLAK - nr na liście 17";"Ryszard Jan GAJDA - nr na liście 18";"Bożena Zofia LEWIŃSKA - nr na liście 19";"Miłosz Stanisław KROK - nr na liście 20";"Agnieszka Danuta WIECZOREK-GRINER - nr na liście 21";"Maria Ewa ŚMIGIELSKA - nr na liście 22";"Mirosław HANKUS - nr na liście 23";"Grzegorz Adam SAWICKI - nr na liście 24";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Violetta Teresa POROWSKA - nr na liście 1";"Katarzyna Beata CZOCHARA - nr na liście 2";"Janusz Marcin KOWALSKI - nr na liście 3";"Kamil BORTNICZUK - nr na liście 4";"Antoni Eugeniusz DUDA - nr na liście 5";"Sławomir KŁOSOWSKI - nr na liście 6";"Jerzy Kazimierz NASZKIEWICZ - nr na liście 7";"Andrzej CHRZANOWSKI - nr na liście 8";"Teresa BARAŃSKA - nr na liście 9";"Damian Jakub BUŁA - nr na liście 10";"Wojciech Stanisław KOMARZYŃSKI - nr na liście 11";"Zbigniew KITAJGRODZKI - nr na liście 12";"Marko Piotr MARKOWSKI - nr na liście 13";"Tomasz Szczepan OGNISTY - nr na liście 14";"Dariusz Stanisław KOLBEK - nr na liście 15";"Zbigniew Józef BRATOSIEWICZ - nr na liście 16";"Anna CHABRASZEWSKA - nr na liście 17";"Izabela Barbara MAJERSKA - nr na liście 18";"Anna Katarzyna STASIOROWSKA - nr na liście 19";"Adam DEPTUŁA - nr na liście 20";"Martyna Maria KOLEMBA-GASCHKA - nr na liście 21";"Anna GRZEBIŃSKA - nr na liście 22";"Maria Magdalena ŻUKOWSKA-JACYKOWSKA - nr na liście 23";"Marcin Michał OCIEPA - nr na liście 24";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Marcelina Monika ZAWISZA - nr na liście 1";"Piotr Jan WOŹNIAK - nr na liście 2";"Jarosław Stanisław PILC - nr na liście 3";"Anna Maria JURCZYK-MIŻEJEWSKA - nr na liście 4";"Małgorzata Jolanta OLIŃSKA-BIEG - nr na liście 5";"Maciej KACZOR - nr na liście 6";"Andrzej Oswald DROST - nr na liście 7";"Grażyna JUSZCZYK - nr na liście 8";"Stanisław NOWAK - nr na liście 9";"Anna Danuta BARYŁOWICZ - nr na liście 10";"Adam Lesław ŚWITLIK - nr na liście 11";"Iwona GAŁĄZKA - nr na liście 12";"Paweł Józef MUCHA - nr na liście 13";"Agata GĄSOWSKA-KRAMARZ - nr na liście 14";"Andrzej Marian ZĘBALA - nr na liście 15";"Katarzyna Ewa PAPROTA - nr na liście 16";"Grzegorz Paweł BEDNAREK - nr na liście 17";"Anna Magdalena KYCIA - nr na liście 18";"Michał Karol SORGOWICKI - nr na liście 19";"Alina Małgorzata MIENTUS - nr na liście 20";"Piotr Wojciech OSIADŁY - nr na liście 21";"Natalia Maria PODMOSTKA - nr na liście 22";"Jerzy PRZYSTAJKO - nr na liście 23";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19";"Ryszard Jerzy GALLA - nr na liście 1";"Zuzanna Teresa DONATH-KASIURA - nr na liście 2";"Józef Jerzy SWACZYNA - nr na liście 3";"Bernard Józef GAIDA - nr na liście 4";"Edyta Maria GOLA - nr na liście 5";"Zygfryd Franciszek STEUER - nr na liście 6";"Norbert Józef RASCH - nr na liście 7";"Joanna Teresa HASSA - nr na liście 8";"Kryspin Tomasz CIEPLIK - nr na liście 9";"Mirosław Piotr LASAR - nr na liście 10";"Anna Maria KASPRZYK - nr na liście 11";"Aleksander SACHANBIŃSKI - nr na liście 12";"Bogna Melania LEWKOWICZ - nr na liście 13";"Joachim Alfred ŚWIERC - nr na liście 14";"Maria Emilia KOSCHNY - nr na liście 15";"Rafał Artur MAGOSZ - nr na liście 16";"Krystyna Sylwia RYCHLIK - nr na liście 17";"Sebastian Andrzej GERSTENBERG - nr na liście 18";"Julita Maria WIDERA - nr na liście 19";"Bernard Adam GROEGER - nr na liście 20";"Norbert Hubert HOBER - nr na liście 21";"Stefan Jan SZŁAPA - nr na liście 22";"Brygida Barbara LABISZ - nr na liście 23";"Jan PANKALA - nr na liście 24";"Liczba obwodów"
"160101";"gmina miejska";"m. Brzeg";"brzeski";"opolskie";25735;27660;9371;16364;20;68;1;1;0;0;0;0;1;16360;1;0;16360;142;83;59;0;16218;4372;1184;422;162;139;2089;44;24;27;14;7;24;28;28;11;23;4;9;6;9;5;8;12;27;66;1194;511;430;41;16;17;25;10;25;14;13;5;3;21;5;4;8;9;16;21;2024;1087;63;712;15;9;5;11;15;7;5;19;2;6;21;1;3;6;4;3;4;2;6;1;17;6584;1444;752;876;237;138;152;9;102;59;55;1998;11;16;22;8;27;19;11;17;18;6;14;13;580;1995;914;570;57;64;35;36;15;38;16;11;11;32;28;14;18;17;27;12;10;19;9;8;34;49;14;8;1;3;1;2;3;5;1;1;2;1;0;1;0;1;3;0;0;0;0;0;1;1;24
"160102";"gmina wiejska";"gm. Skarbimierz";"brzeski";"opolskie";5621;6118;1867;3754;3;19;0;0;0;0;0;0;0;3753;0;0;3753;41;29;12;0;3712;704;182;59;32;15;307;4;1;7;3;2;8;3;13;3;3;2;3;4;3;0;5;4;26;15;285;131;81;7;6;3;5;2;11;1;2;4;6;7;2;5;3;1;1;7;643;397;48;130;6;0;3;4;2;3;3;8;2;1;7;0;1;3;2;4;8;2;5;1;3;1763;415;324;153;57;38;47;9;26;15;18;433;3;6;10;2;8;2;5;3;6;1;9;8;165;308;121;77;8;10;12;5;2;5;5;3;6;8;7;4;6;1;9;4;0;3;1;3;8;9;3;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;12
"160103";"gmina miejsko-wiejska";"gm. Grodków";"brzeski";"opolskie";13901;15060;6069;7832;7;51;0;0;0;0;0;0;0;7830;0;0;7830;112;71;41;0;7718;1953;457;134;22;24;208;34;5;12;10;1;27;7;14;3;3;3;1;2;3;3;30;3;933;14;308;193;19;7;11;7;13;4;5;11;4;2;1;7;5;2;5;5;2;5;1226;411;26;57;30;7;2;6;5;4;4;14;5;1;6;0;3;3;0;6;621;3;3;5;4;3450;913;702;745;300;112;65;16;27;25;39;174;5;15;21;4;11;8;11;2;12;2;11;22;208;751;274;300;19;19;13;9;6;9;10;5;1;13;6;9;8;1;13;5;3;7;5;6;10;30;6;4;2;0;3;0;1;0;3;1;1;0;1;2;0;0;0;3;1;0;2;0;0;0;19
"160104";"gmina miejsko-wiejska";"gm. Lewin Brzeski";"brzeski";"opolskie";9291;10107;4087;5204;5;32;1;1;0;0;0;0;1;5205;1;0;5205;79;48;31;0;5126;948;397;202;36;55;154;3;1;8;8;2;12;5;9;3;2;0;1;7;4;8;2;5;16;8;342;208;25;12;7;7;16;6;6;4;9;2;1;5;6;3;6;9;3;7;1056;808;55;91;13;9;6;8;8;7;0;4;5;1;2;1;1;1;2;5;0;1;2;0;26;2275;777;345;284;82;96;95;21;17;45;30;136;8;6;9;6;5;7;6;4;6;5;4;6;275;473;214;111;24;12;6;10;4;9;4;6;3;9;5;2;4;4;15;4;2;5;2;7;11;32;13;0;1;5;1;0;1;0;1;0;0;1;0;0;1;2;3;0;0;0;1;0;2;0;7
"160105";"gmina wiejska";"gm. Lubsza";"brzeski";"opolskie";6469;7043;2591;3878;1;10;0;0;0;0;0;0;0;3878;0;0;3878;64;41;23;0;3814;684;214;77;28;37;253;5;9;5;3;0;2;7;5;1;3;0;1;3;2;1;3;7;4;14;231;105;48;8;2;6;9;5;11;3;3;1;0;7;5;4;3;4;2;5;623;345;29;159;17;2;1;6;11;1;1;7;1;3;18;2;2;3;3;2;2;2;2;0;4;1902;574;245;151;38;71;40;5;16;14;17;473;2;5;9;0;6;1;4;6;5;0;8;6;206;355;167;88;12;12;5;5;1;3;2;4;3;12;6;2;4;1;13;1;1;3;1;0;9;19;8;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;2;1;0;0;0;0;0;1;11
"160106";"gmina wiejska";"gm. Olszanka";"brzeski";"opolskie";3559;3861;1314;2245;7;5;0;0;0;0;0;0;0;2245;0;0;2245;34;22;12;0;2211;293;62;41;13;6;126;3;3;1;0;0;0;3;4;1;5;0;0;0;0;0;4;1;14;6;138;63;29;3;5;1;6;1;2;1;0;0;2;4;1;1;2;1;7;9;407;275;17;69;13;2;0;1;0;3;2;1;0;0;3;1;0;1;1;1;3;1;3;0;10;1204;286;169;133;36;59;29;5;9;12;10;324;1;1;1;1;4;3;4;3;3;3;6;4;98;160;64;35;9;6;3;2;2;2;3;0;2;2;0;1;1;1;6;5;1;1;2;1;11;9;1;2;1;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6
"160201";"gmina miejsko-wiejska";"gm. Baborów";"głubczycki";"opolskie";4555;4957;2328;2227;2;7;0;0;0;0;0;0;0;2226;0;0;2226;30;18;12;0;2196;434;193;30;26;6;6;9;18;92;4;0;2;5;3;4;1;1;2;1;9;2;3;3;2;12;135;89;0;3;2;5;7;7;2;1;3;1;1;1;3;2;3;2;0;3;171;110;21;2;6;3;1;1;4;3;4;4;1;1;1;0;1;1;0;1;0;1;1;1;3;1200;254;193;95;139;40;26;129;8;8;4;2;3;3;138;7;2;1;2;2;2;3;1;2;136;195;80;55;5;2;1;4;2;4;6;2;0;3;6;2;5;2;2;0;0;3;6;2;3;61;24;4;0;8;5;2;9;0;1;0;2;2;0;1;0;0;2;0;0;0;0;1;0;0;6
"160202";"gmina wiejska";"gm. Branice";"głubczycki";"opolskie";5184;5568;2510;2674;0;15;1;1;0;0;0;0;1;2675;1;0;2675;75;41;34;0;2600;510;150;32;13;26;13;2;10;186;14;3;4;2;6;1;2;19;5;4;2;0;1;1;3;11;106;63;2;6;8;0;4;1;2;1;3;2;0;6;2;0;1;1;0;4;216;120;41;14;12;3;0;6;2;1;5;2;1;2;1;1;0;0;0;0;1;1;0;0;3;1466;248;223;60;183;58;57;247;11;13;7;5;2;7;121;7;9;4;9;2;10;1;7;7;168;265;83;54;9;3;2;3;2;8;9;4;1;4;2;0;2;2;1;4;1;70;0;1;0;37;17;1;0;4;2;1;0;1;1;2;2;1;0;1;1;0;3;0;0;0;0;0;0;0;13
"160203";"gmina miejsko-wiejska";"gm. Głubczyce";"głubczycki";"opolskie";16483;17659;6993;9489;14;46;0;0;0;0;0;0;0;9490;0;0;9490;122;85;37;0;9368;2509;557;87;58;27;10;23;20;1637;10;1;3;7;3;3;1;1;3;5;13;1;4;4;4;27;369;226;11;9;16;8;15;5;8;12;4;2;1;18;2;1;12;9;1;9;658;413;81;21;18;7;1;11;11;10;8;5;2;29;5;1;3;2;3;4;1;0;3;3;16;5043;588;596;247;327;111;165;2428;23;17;17;8;2;11;198;25;11;6;5;6;12;3;8;7;222;742;260;301;24;17;16;12;5;8;4;5;4;17;10;2;10;1;13;0;4;15;3;8;3;47;19;4;3;1;2;2;1;0;0;0;1;1;1;0;0;2;2;4;2;0;1;0;0;1;24
"160204";"gmina miejsko-wiejska";"gm. Kietrz";"głubczycki";"opolskie";7967;8528;3525;4442;5;23;0;0;0;0;0;0;0;4442;0;0;4442;70;51;19;0;4372;895;370;58;46;29;20;3;31;252;9;4;3;9;8;12;4;2;6;4;1;3;1;0;8;12;294;197;8;11;6;6;6;5;6;9;6;4;0;3;6;4;3;4;1;9;423;240;33;11;23;11;3;10;12;31;7;13;1;3;9;0;3;3;0;1;0;2;1;0;6;2307;472;229;205;145;53;42;106;25;25;12;3;2;8;855;19;3;1;6;3;10;1;5;4;73;431;182;116;9;8;11;21;3;12;9;5;2;12;8;5;11;5;1;3;1;2;0;1;4;22;3;1;3;1;2;3;0;0;1;0;0;1;1;1;0;0;0;1;0;1;2;0;0;1;11
"160301";"gmina miejska";"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";42794;45992;16534;26261;24;94;6;6;0;0;0;0;6;26258;6;8;26250;320;213;107;0;25930;9201;3177;625;412;231;92;33;3954;49;60;29;57;40;61;64;15;6;24;22;18;11;21;30;27;143;1616;1044;49;34;46;32;61;33;50;14;20;10;13;45;16;17;27;31;10;64;1881;1144;114;53;25;25;6;41;242;16;9;32;9;8;15;5;15;10;11;11;4;22;21;18;25;8641;2714;1008;1778;1097;210;348;38;637;62;59;15;11;34;29;20;31;19;17;22;51;31;37;35;338;3636;1554;810;97;75;60;48;27;68;64;28;17;78;189;20;300;26;49;20;11;24;13;31;27;955;473;56;95;25;48;70;31;15;2;1;16;5;6;6;3;9;4;5;8;30;2;3;13;29;36
