"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Izabela Dorota LESZCZYNA - nr na liście 1";"Andrzej SZEWIŃSKI - nr na liście 2";"Marta Maria SALWIERAK - nr na liście 3";"Halina Leokadia ROZPONDEK - nr na liście 4";"Gabriel Jan PODBIOŁ - nr na liście 5";"Jolanta Małgorzata URBAŃSKA - nr na liście 6";"Dominik Bogusz KABUS - nr na liście 7";"Marzena Monika MANISZEWSKA - nr na liście 8";"Tomasz Artur STEFAŃCZYK - nr na liście 9";"Marcin BIERNAT - nr na liście 10";"Renata Maria STASIAK-BETLEJEWSKA - nr na liście 11";"Marcin ŚWITAŁA - nr na liście 12";"Edyta Wiesława CIURA - nr na liście 13";"Jarosław Wacław LASECKI - nr na liście 14";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Włodzimierz Bogdan SKALIK - nr na liście 1";"Jacek Adam PAWLIKOWSKI - nr na liście 2";"Bogusław Józef ADAMOWICZ - nr na liście 3";"Bartłomiej Michał BIEGAS - nr na liście 4";"Paweł KLIMCZAK - nr na liście 5";"Zofia SUROWIEC - nr na liście 6";"Władysława Bożena RYNKIEWICZ - nr na liście 7";"Agata Aneta POLAK - nr na liście 8";"Barbara Ewa PIĄTEK - nr na liście 9";"Cecylia Iwona MUSIALIK - nr na liście 10";"Grażyna Teresa MATUSIAK - nr na liście 11";"Katarzyna Anna ERMER - nr na liście 12";"Rafał Adrian GAWENDA - nr na liście 13";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Henryk KIEPURA - nr na liście 1";"Krzysztof SMELA - nr na liście 2";"Stanisław GMITRUK - nr na liście 3";"Bartłomiej Przemysław DOBRZYNIEWICZ - nr na liście 4";"Andrzej KUBAT - nr na liście 5";"Anna Marta SOCHA-KORENDO - nr na liście 6";"Anna Barbara GRUS - nr na liście 7";"Monika Aleksandra KUMOR - nr na liście 8";"Edyta Jolanta MŁYŃSKA - nr na liście 9";"Krystian KOTYNIA - nr na liście 10";"Jerzy Józef CYRULIK - nr na liście 11";"Iwona Izabela LISEK - nr na liście 12";"Anna NOWICKA - nr na liście 13";"Michał Olaf DZWONNIK - nr na liście 14";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Szymon Stanisław GIŻYŃSKI - nr na liście 1";"Lidia Ewa BURZYŃSKA - nr na liście 2";"Mariusz Wiesław TREPKA - nr na liście 3";"Andrzej Janusz GAWRON - nr na liście 4";"Monika FAJER - nr na liście 5";"Piotr DEREJCZYK - nr na liście 6";"Anna Janina KAPTACZ - nr na liście 7";"Tomasz MAJ - nr na liście 8";"Łukasz Artur LANGE - nr na liście 9";"Paweł Jan RUKSZA - nr na liście 10";"Magdalena Anna PIETRULEWICZ - nr na liście 11";"Danuta Elżbieta SŁUŻAŁEK-JAWORSKA - nr na liście 12";"Andrzej Piotr SOWA - nr na liście 13";"Urszula ZALESKA - nr na liście 14";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Zdzisław WOLSKI - nr na liście 1";"Zbigniew Paweł NIESMACZNY - nr na liście 2";"Rafał Tadeusz KĘPSKI - nr na liście 3";"Ewelina Tacjana KOTKOWSKA - nr na liście 4";"Małgorzata IŻYŃSKA - nr na liście 5";"Łukasz Tadeusz KOT - nr na liście 6";"Ewa Katarzyna KSIĄŻEK - nr na liście 7";"Rafał Krzysztof JURECZKO - nr na liście 8";"Ewa LEWANDOWSKA - nr na liście 9";"Paweł Piotr ŁAPETA - nr na liście 10";"Joanna Janina GÓRNA - nr na liście 11";"Emilia Maria SKRZYPCZYŃSKA - nr na liście 12";"Marlena Sonia KAREWICZ - nr na liście 13";"Marcin Antoni GOŁDA - nr na liście 14";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Marcin MARANDA - nr na liście 1";"Mariusz Michał SPIECHOWICZ - nr na liście 2";"Grażyna Marianna KLAMEK - nr na liście 3";"Mariusz Józef POGODA - nr na liście 4";"Adam ZAMORA - nr na liście 5";"Beata BOGUS - nr na liście 6";"Wojciech Stanisław SOCHA - nr na liście 7";"Zbigniew Stanisław MIZGALSKI - nr na liście 8";"Krystyna Jadwiga KOSARGA - nr na liście 9";"Łukasz Mateusz SŁAWEK - nr na liście 10";"Piotr Mateusz PTAK - nr na liście 11";"Aleksandra Zdzisława STANIOWSKA - nr na liście 12";"Piotr Paweł STRACH - nr na liście 13";"Magdalena Mirosława CZAJA - nr na liście 14";"Liczba obwodów"
"240401";"gmina miejsko-wiejska";"gm. Blachownia";"częstochowski";"śląskie";9688;10435;3444;6243;7;35;1;1;0;0;0;0;1;6242;1;0;6242;58;38;20;0;6184;1787;862;349;140;82;3;27;13;16;24;157;6;7;31;70;433;230;53;21;14;27;12;7;22;9;5;3;2;28;437;139;97;66;14;29;12;5;4;8;5;14;11;17;16;2407;960;498;61;102;366;33;67;48;15;64;29;13;56;95;953;479;60;26;34;54;59;67;27;48;9;17;24;9;40;167;61;4;4;18;5;21;6;3;8;4;6;1;8;18;8
"240402";"gmina wiejska";"gm. Dąbrowa Zielona";"częstochowski";"śląskie";3032;3334;1157;1874;1;19;0;0;0;0;0;0;0;1875;0;0;1875;48;35;13;0;1827;193;100;22;3;11;1;4;1;2;3;1;1;1;1;42;78;42;5;5;3;3;9;1;3;0;1;1;1;4;246;32;86;38;3;11;4;3;7;37;2;0;0;9;14;1094;295;536;51;19;75;12;5;24;8;10;7;8;18;26;190;97;14;6;9;10;8;3;1;15;7;3;5;4;8;26;5;2;1;2;2;4;0;0;1;0;0;2;2;5;4
"240403";"gmina wiejska";"gm. Janów";"częstochowski";"śląskie";4441;4925;1511;2930;1;35;0;0;0;0;0;0;0;2930;0;0;2930;48;32;16;0;2882;547;171;25;17;9;1;5;2;197;3;5;5;0;1;106;172;104;19;6;6;3;15;0;4;3;4;0;3;5;169;42;46;40;3;6;3;5;2;6;2;1;2;3;8;1651;344;740;221;34;148;9;18;18;15;27;17;6;14;40;300;129;22;34;4;23;15;6;3;10;2;11;33;2;6;43;11;3;1;0;16;2;2;1;2;1;0;0;2;2;7
"240404";"gmina wiejska";"gm. Kamienica Polska";"częstochowski";"śląskie";4084;4501;1337;2747;6;16;1;1;0;0;0;0;1;2747;1;1;2746;35;21;14;0;2711;608;350;98;36;38;3;11;3;5;8;11;0;6;6;33;135;54;24;10;11;5;6;2;12;4;2;1;2;2;417;33;45;27;9;104;31;1;6;7;1;0;132;6;15;1046;334;335;112;33;71;13;21;16;16;10;6;21;18;40;444;234;21;16;12;28;17;19;0;28;5;8;31;3;22;61;16;0;1;10;4;4;5;3;1;3;3;3;2;6;5
"240405";"gmina wiejska";"gm. Kłomnice";"częstochowski";"śląskie";10294;11053;3831;6463;9;25;0;0;0;0;0;0;0;6463;0;0;6463;80;56;24;0;6383;1012;612;151;44;47;8;21;10;7;3;13;6;1;9;80;370;199;39;16;54;7;9;5;17;7;2;4;4;7;624;105;267;64;8;45;12;11;7;7;3;1;13;21;60;3542;590;2532;40;42;102;20;32;45;11;42;9;2;19;56;728;318;47;20;31;51;81;11;4;27;75;18;18;9;18;107;40;8;4;9;5;6;4;2;3;3;3;3;7;10;12
"240406";"gmina miejsko-wiejska";"gm. Koniecpol";"częstochowski";"śląskie";7214;7869;2779;4435;7;42;0;0;0;0;0;0;0;4433;0;0;4433;100;75;25;0;4333;516;290;47;26;50;1;18;2;10;3;7;0;4;2;56;184;81;28;14;3;14;5;4;15;6;4;1;4;5;666;34;93;69;4;8;1;4;2;439;1;1;4;3;3;2546;873;860;240;42;268;78;17;18;10;59;10;3;25;43;379;188;29;36;7;17;16;14;9;20;5;11;4;6;17;42;9;0;4;2;2;4;2;3;0;1;6;1;0;8;7
"240407";"gmina wiejska";"gm. Konopiska";"częstochowski";"śląskie";7868;8680;2785;5083;5;18;0;0;0;0;0;0;0;5083;0;0;5083;65;43;22;0;5018;1287;460;653;51;44;2;8;4;4;4;13;6;1;6;31;309;182;34;12;5;15;5;4;21;7;5;7;3;9;496;105;146;59;6;48;7;7;7;2;4;4;57;8;36;2047;725;497;114;76;227;31;49;76;11;23;24;11;113;70;700;277;28;13;18;36;32;207;4;30;6;5;15;11;18;179;86;7;4;3;3;14;21;2;7;1;6;3;12;10;12
"240408";"gmina wiejska";"gm. Kruszyna";"częstochowski";"śląskie";3599;3969;1269;2330;0;6;0;0;0;0;0;0;0;2330;0;0;2330;38;22;16;0;2292;257;130;44;34;12;6;5;3;1;0;1;1;0;3;17;130;71;7;10;5;5;2;4;8;3;5;1;4;5;201;17;102;21;2;9;2;0;4;0;2;1;3;4;34;1297;367;307;8;8;34;6;30;492;10;5;3;1;8;18;373;81;10;3;5;15;4;6;3;5;229;2;2;6;2;34;11;1;0;2;2;6;3;0;0;1;0;0;1;7;4
"240409";"gmina wiejska";"gm. Lelów";"częstochowski";"śląskie";3851;3999;1514;2337;4;19;0;0;0;0;0;0;0;2337;0;0;2337;35;21;14;0;2302;260;132;18;5;19;3;4;2;29;2;4;1;1;3;37;105;45;10;11;3;7;5;6;8;4;0;2;1;3;245;53;83;50;2;10;6;2;4;22;1;0;2;7;3;1476;321;600;314;27;85;26;14;20;10;10;5;3;9;32;182;74;10;33;6;6;13;7;3;10;6;5;3;0;6;34;12;0;1;2;6;1;0;0;0;3;2;3;1;3;7
"240410";"gmina wiejska";"gm. Mstów";"częstochowski";"śląskie";7979;8699;2535;5444;5;24;0;0;0;0;0;0;0;5444;0;0;5444;43;33;10;0;5401;917;512;113;46;48;5;16;6;3;4;16;4;1;1;142;364;229;23;9;27;13;7;7;21;8;2;2;2;14;466;81;125;121;13;25;10;5;10;13;0;0;4;15;44;2945;689;1575;81;86;253;12;38;26;22;54;12;21;15;61;610;257;42;15;22;64;71;12;4;37;19;20;11;13;23;99;39;5;5;6;2;3;4;6;4;6;2;2;3;12;11
"240411";"gmina wiejska";"gm. Mykanów";"częstochowski";"śląskie";10840;11907;3164;7676;4;25;0;0;0;0;0;0;0;7672;0;0;7672;102;83;19;0;7570;937;566;142;74;29;7;18;4;6;7;14;9;0;6;55;426;274;28;14;12;35;2;4;26;12;3;3;1;12;1523;61;1224;52;3;29;2;3;6;3;13;1;2;14;110;3831;1382;1342;88;96;378;65;116;110;23;49;26;12;34;110;733;343;48;22;15;64;41;17;2;31;38;24;17;50;21;120;52;7;12;7;1;9;5;1;3;3;2;2;2;14;11
"240412";"gmina wiejska";"gm. Olsztyn";"częstochowski";"śląskie";5937;6482;1861;4076;1;57;3;3;0;0;0;0;3;4079;3;0;4079;50;38;12;0;4029;1032;573;158;67;37;5;14;5;26;5;9;5;3;8;117;234;123;28;12;6;14;1;2;22;9;3;1;1;12;316;61;107;51;8;19;6;2;11;8;8;2;10;6;17;1833;612;437;181;77;202;34;40;23;119;25;8;24;10;41;536;241;48;17;25;58;53;13;2;17;17;5;21;4;15;78;37;2;0;4;4;3;2;1;2;10;1;1;6;5;7
"240413";"gmina wiejska";"gm. Poczesna";"częstochowski";"śląskie";9309;10249;2872;6437;5;14;2;2;0;0;0;0;2;6439;2;1;6438;77;57;20;0;6361;1515;790;300;197;73;4;16;4;9;8;16;8;23;5;62;409;248;34;15;15;26;7;5;20;10;7;0;8;14;468;91;115;98;7;64;16;4;9;6;6;0;13;13;26;2719;839;904;178;73;288;30;53;50;14;116;24;29;49;72;1072;515;96;29;31;74;68;39;6;64;20;24;51;9;46;178;70;4;5;10;6;5;8;10;11;18;3;1;13;14;9
"240414";"gmina wiejska";"gm. Przyrów";"częstochowski";"śląskie";2804;3081;1038;1766;5;13;0;0;0;0;0;0;0;1766;0;0;1766;37;26;11;0;1729;219;105;27;9;11;2;6;1;0;1;4;0;0;0;53;97;64;1;2;2;2;14;0;7;1;1;0;1;2;199;33;70;53;2;7;0;5;1;12;1;0;0;3;12;1029;413;367;58;19;82;11;10;9;1;6;8;4;14;27;158;81;12;5;11;9;9;5;1;6;6;2;2;1;8;27;7;0;2;1;2;3;0;0;1;2;3;1;2;3;6
"240415";"gmina wiejska";"gm. Rędziny";"częstochowski";"śląskie";7238;7904;2359;4879;3;5;0;0;0;0;0;0;0;4879;0;0;4879;63;47;16;0;4816;873;514;122;72;49;4;17;4;1;11;13;3;2;9;52;354;225;37;16;9;16;6;3;19;7;3;6;0;7;444;56;144;43;5;34;7;4;6;5;2;0;4;13;121;2310;887;928;87;51;145;19;33;25;21;32;8;6;27;41;709;318;51;8;23;63;53;15;9;23;21;11;71;13;30;126;23;71;2;3;2;5;1;5;2;1;3;4;1;3;6
"240416";"gmina wiejska";"gm. Starcza";"częstochowski";"śląskie";2080;2292;658;1422;2;6;0;0;0;0;0;0;0;1422;0;0;1422;28;24;4;0;1394;197;105;36;7;17;0;5;4;1;0;2;1;2;4;13;51;33;6;2;0;5;1;1;2;0;0;1;0;0;419;12;18;5;2;368;1;0;0;0;0;0;8;3;2;580;218;154;50;12;50;8;8;17;7;11;5;8;12;20;137;76;9;7;3;6;8;3;0;6;5;3;3;2;6;10;1;1;0;4;1;0;0;0;0;0;0;0;0;3;4
"240601";"gmina miejsko-wiejska";"gm. Kłobuck";"kłobucki";"śląskie";15063;16660;4660;10403;9;45;4;4;0;0;0;0;4;10405;4;0;10405;160;117;43;0;10245;1968;1179;249;216;61;9;14;12;7;11;14;16;10;4;166;664;385;56;22;14;26;17;9;94;12;3;3;6;17;1604;1268;35;50;10;43;9;3;18;5;16;7;9;116;15;4095;1573;880;78;118;416;451;88;92;31;62;70;28;59;149;1733;473;46;17;885;75;50;19;2;59;10;12;19;15;51;181;61;6;9;7;12;22;5;8;2;6;17;4;1;21;13
"240602";"gmina miejsko-wiejska";"gm. Krzepice";"kłobucki";"śląskie";6876;7513;2500;4376;8;40;0;0;0;0;0;0;0;4375;0;0;4375;53;37;16;0;4322;578;372;50;23;24;0;11;3;4;5;13;2;2;5;64;248;140;21;17;9;17;1;3;16;9;2;1;2;10;893;618;7;20;1;7;4;1;5;4;213;1;3;3;6;2186;1274;293;72;57;217;24;37;45;11;45;6;5;31;69;351;162;13;15;54;10;10;9;6;34;3;8;10;3;14;66;17;2;4;3;6;5;3;1;3;5;4;0;3;10;9
"240603";"gmina wiejska";"gm. Lipie";"kłobucki";"śląskie";4670;5122;1720;2950;2;19;0;0;0;0;0;0;0;2950;0;0;2950;27;17;10;0;2923;287;164;31;7;19;2;4;1;3;0;3;0;12;2;39;112;55;18;10;3;5;2;0;9;3;0;2;0;5;689;562;5;10;3;5;4;6;4;1;62;1;4;16;6;1583;748;221;51;56;194;127;35;34;17;23;9;3;18;47;198;108;11;3;24;7;11;5;3;4;2;2;7;2;9;54;13;3;2;3;12;3;3;2;0;2;2;2;3;4;5
"240604";"gmina wiejska";"gm. Miedźno";"kłobucki";"śląskie";5548;6105;1741;3807;8;7;0;0;0;0;0;0;0;3806;0;0;3806;57;30;27;0;3749;369;201;48;22;19;2;8;1;3;5;7;1;2;2;48;217;125;15;16;5;11;0;5;16;10;3;2;1;8;390;280;15;33;7;6;5;6;6;3;9;3;1;13;3;2373;499;324;72;34;105;1149;39;19;11;18;10;5;16;72;293;113;19;11;46;13;30;8;3;16;3;4;20;0;7;107;20;4;1;4;0;0;0;1;2;0;71;2;1;1;8
"240605";"gmina wiejska";"gm. Opatów";"kłobucki";"śląskie";5046;5477;1913;3133;5;17;0;0;0;0;0;0;0;3133;0;0;3133;51;39;12;0;3082;360;213;25;31;20;0;4;2;4;2;4;1;2;1;51;191;103;25;9;11;10;3;6;13;2;1;2;0;6;804;732;6;24;0;3;1;1;2;1;13;1;1;13;6;1402;658;228;35;65;168;71;24;37;7;14;13;7;28;47;272;92;16;9;89;21;12;8;0;9;3;1;1;4;7;53;9;3;6;4;1;12;2;2;0;2;4;1;3;4;7
"240606";"gmina wiejska";"gm. Panki";"kłobucki";"śląskie";3700;4058;1403;2297;2;18;1;1;0;0;0;0;1;2298;1;0;2298;34;26;8;0;2264;328;181;40;25;22;1;4;1;4;2;7;2;5;2;32;146;82;9;5;12;10;4;3;5;3;2;0;1;10;479;426;7;8;6;5;2;2;4;4;3;0;4;7;1;1001;383;195;90;57;85;50;18;34;5;12;24;4;9;35;266;133;10;11;41;14;5;10;2;11;5;5;4;4;11;44;14;3;2;6;3;8;0;0;0;0;1;1;3;3;4
"240607";"gmina wiejska";"gm. Popów";"kłobucki";"śląskie";4498;4988;1753;2745;3;32;0;0;0;0;0;0;0;2744;0;0;2744;45;31;14;0;2699;350;183;40;18;22;2;6;3;2;1;10;5;10;2;46;164;93;6;17;4;9;4;1;15;8;3;1;2;1;428;298;9;23;3;8;6;4;6;5;21;25;4;13;3;1385;518;269;53;105;90;183;28;47;10;13;13;5;12;39;299;109;19;15;45;15;21;5;6;16;5;14;7;4;18;73;15;6;3;8;7;4;3;1;1;0;11;1;4;9;6
"240608";"gmina wiejska";"gm. Przystajń";"kłobucki";"śląskie";4350;4767;1780;2570;0;11;0;0;0;0;0;0;0;2569;0;0;2569;29;21;8;0;2540;336;214;29;7;20;5;8;3;2;4;12;5;5;8;14;120;56;15;9;6;3;2;0;13;6;0;1;2;7;584;505;6;13;0;14;2;4;5;3;4;1;3;15;9;1239;451;241;73;101;89;83;47;30;6;10;23;2;27;56;218;104;15;6;25;8;10;8;3;18;0;1;3;7;10;43;10;0;5;5;2;5;0;1;2;1;6;0;2;4;4
"240609";"gmina wiejska";"gm. Wręczyca Wielka";"kłobucki";"śląskie";13042;14319;4866;8176;7;66;0;0;0;0;0;0;0;8175;0;0;8175;137;111;26;0;8038;1146;668;148;70;61;10;22;9;14;10;29;5;7;12;81;530;286;54;37;20;25;12;18;40;12;2;6;3;15;1771;1549;23;42;8;34;13;13;3;6;9;14;12;18;27;3592;1133;476;90;130;410;141;44;66;11;54;917;11;37;72;842;374;54;27;125;47;63;19;8;52;8;14;13;5;33;157;40;8;9;7;10;44;6;3;1;3;5;7;2;12;8
"240701";"gmina miejska";"m. Lubliniec";"lubliniecki";"śląskie";17397;18435;6244;11153;19;59;2;1;0;0;0;0;1;11153;1;0;11153;144;79;65;0;11009;3637;996;120;39;63;2177;18;12;17;10;18;10;27;6;124;685;328;77;43;39;25;31;17;52;18;6;9;8;32;710;186;22;27;13;62;15;271;20;5;5;27;16;27;14;4521;466;191;40;3302;146;21;34;36;19;96;25;10;59;76;1193;525;55;38;76;68;29;31;211;40;9;17;15;11;68;263;50;11;11;25;46;37;10;30;4;3;0;3;7;26;19
"240702";"gmina wiejska";"gm. Boronów";"lubliniecki";"śląskie";2481;2729;911;1570;1;4;0;0;0;0;0;0;0;1570;0;0;1570;25;17;8;0;1545;299;151;23;6;52;20;4;4;1;4;6;2;4;1;21;78;40;3;10;6;6;4;2;0;4;1;0;0;2;139;57;1;7;4;11;1;13;0;2;1;35;3;1;3;846;82;27;9;608;39;3;6;8;5;15;5;3;25;11;109;44;2;5;3;5;8;10;4;6;4;4;2;1;11;74;13;2;3;39;1;0;2;1;0;0;3;1;4;5;2
"240703";"gmina wiejska";"gm. Ciasna";"lubliniecki";"śląskie";6174;6695;3445;2729;0;7;0;0;0;0;0;0;0;2729;0;0;2729;49;35;14;0;2680;635;300;39;10;43;131;16;6;6;5;13;6;8;7;45;181;68;24;17;9;8;8;8;14;4;5;1;1;14;314;139;9;29;4;26;8;56;8;6;2;7;4;12;4;1289;168;98;21;796;63;10;8;27;6;16;11;3;23;39;181;60;11;10;18;14;10;4;17;12;4;7;5;2;7;80;7;2;5;7;9;8;2;1;5;3;7;2;10;12;6
"240704";"gmina wiejska";"gm. Herby";"lubliniecki";"śląskie";5368;5672;2041;3327;3;29;0;0;0;0;0;0;0;3326;0;0;3326;57;35;22;0;3269;699;361;109;16;48;62;17;3;9;2;11;5;2;2;52;211;99;20;16;8;16;7;3;11;9;4;3;2;13;377;86;10;22;0;17;6;51;2;3;3;169;2;4;2;1519;160;71;20;1053;63;6;14;23;29;29;13;4;21;13;377;108;17;10;21;16;10;4;134;16;7;5;8;5;16;86;24;3;9;18;5;5;0;2;1;0;2;3;5;9;5
"240705";"gmina wiejska";"gm. Kochanowice";"lubliniecki";"śląskie";5111;5599;2327;2784;1;22;0;0;0;0;0;0;0;2784;0;0;2784;55;37;18;0;2729;472;171;29;15;30;150;9;6;6;1;8;3;8;1;35;159;69;19;13;8;7;11;4;4;13;2;3;0;6;231;60;5;15;1;19;5;100;4;1;0;8;5;3;5;1645;70;29;2;1437;31;8;5;12;4;16;5;4;13;9;162;70;9;6;4;7;7;10;20;13;4;2;2;3;5;60;13;1;0;5;6;12;2;2;3;1;2;1;5;7;7
"240706";"gmina wiejska";"gm. Koszęcin";"lubliniecki";"śląskie";8513;9388;3090;5423;11;49;0;0;0;0;0;0;0;5422;0;0;5422;93;60;33;0;5329;1099;540;99;19;66;152;16;16;10;11;18;9;18;2;123;328;144;43;19;13;22;13;7;27;15;3;4;2;16;367;127;22;28;14;41;13;58;8;8;4;9;10;19;6;2987;483;201;38;1708;228;20;38;34;16;66;16;5;65;69;357;176;17;21;24;18;18;11;14;13;3;12;4;9;17;191;33;4;22;47;10;20;6;4;4;6;7;1;5;22;6
