"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Wojciech Paweł SAŁUGA - nr na liście 1";"Barbara DOLNIAK - nr na liście 2";"Mateusz Andrzej BOCHENEK - nr na liście 3";"Anna Ewa NEMŚ - nr na liście 4";"Marek Romuald WĘGRZYNOWICZ - nr na liście 5";"Bożena Irena ŁAPAJ - nr na liście 6";"Maciej Artur KLIMEK - nr na liście 7";"Teresa Mieczysława KOSMALA-GĄSIOR - nr na liście 8";"Marcin Jakub ZAPART - nr na liście 9";"Paweł SZCZEPANEK - nr na liście 10";"Ryszard Tadeusz MILEJ - nr na liście 11";"Jarosław Jacek SOCHACKI - nr na liście 12";"Renata Janina SOLIPIWKO - nr na liście 13";"Ewa Barbara SKOTALCZYK - nr na liście 14";"Marcin Bernard JANECZEK - nr na liście 15";"Małgorzata Agata OCHĘDUSZKO-LUDWIK - nr na liście 16";"Elżbieta Joanna LIEGMANN - nr na liście 17";"Jolanta Izabela MOĆKO - nr na liście 18";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Jerzy Jan JANOSKA - nr na liście 1";"Marcin Czesław KOLCZYK - nr na liście 2";"Waldemar SIKORA - nr na liście 3";"Grzegorz Ryszard OLEKSIEWICZ - nr na liście 4";"Artur Karol JAKÓBIK - nr na liście 5";"Olga Kinga KLARCZYŃSKA - nr na liście 6";"Monika Mirella KRZYŻAK - nr na liście 7";"Jagoda Magda KOCLĘGA - nr na liście 8";"Renata Aleksandra CYGAN - nr na liście 9";"Ryszard Zbigniew MIZDRA - nr na liście 10";"Wojciech Andrzej GRABOWSKI - nr na liście 11";"Dominika Agnieszka SURMIK - nr na liście 12";"Robert Paweł CIEŚLIK - nr na liście 13";"Małgorzata Halina DĄBROWSKA - nr na liście 14";"Magdalena Ilona LOREK - nr na liście 15";"Ewelina Magdalena GOREL - nr na liście 16";"Sylwia OSIAL - nr na liście 17";"Krzysztof Adam PAŁKA - nr na liście 18";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Barbara Stanisława CHROBAK - nr na liście 1";"Krzysztof MARKOWSKI - nr na liście 2";"Janusz Kazimierz CIOŁCZYK - nr na liście 3";"Krzysztof Edward PEROŃ - nr na liście 4";"Jan BOSAK - nr na liście 5";"Anna Jadwiga SPORYSZKIEWICZ - nr na liście 6";"Andrzej Marek DUDA - nr na liście 7";"Paweł DRATWA - nr na liście 8";"Stanisław Antoni BORÓWKA - nr na liście 9";"Marcin Grzegorz GÓRALCZYK - nr na liście 10";"Anna Grażyna KAŁUŻA - nr na liście 11";"Ewa Bogusława PARADZIŃSKA - nr na liście 12";"Ewa Barbara JANIK - nr na liście 13";"Cezary Adam DOBROWOLSKI - nr na liście 14";"Agata Elżbieta BEBEŃCA - nr na liście 15";"Eliza Maria LABOCHA - nr na liście 16";"Tomasz Adam KMITA - nr na liście 17";"Stanisław DĄBROWA - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Ewa Danuta MALIK - nr na liście 1";"Waldemar Franciszek ANDZEL - nr na liście 2";"Robert Piotr WARWAS - nr na liście 3";"Danuta Czesława NOWICKA - nr na liście 4";"Maria MATERLA - nr na liście 5";"Marcin Henryk KOZIK - nr na liście 6";"Małgorzata Wioletta ZARYCHTA-SURÓWKA - nr na liście 7";"Zbigniew Józef PIĄTEK - nr na liście 8";"Bożena Grażyna SZYDLIK - nr na liście 9";"Kazimierz Czesław WILK - nr na liście 10";"Lena Marzena WARDENGA - nr na liście 11";"Maciej Daniel DERELA - nr na liście 12";"Beata Elżbieta CIEŚLIK - nr na liście 13";"Paweł Ludwik SZOPA - nr na liście 14";"Ewa Irena TRAWCZYŃSKA - nr na liście 15";"Zenon Zygmunt GŁĄB - nr na liście 16";"Łukasz CURYŁO - nr na liście 17";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Włodzimierz CZARZASTY - nr na liście 1";"Rafał Jan ADAMCZYK - nr na liście 2";"Anita Kornelia ZIEGLER-CHAMIELEC - nr na liście 3";"Wojciech Marcin NITWINKO - nr na liście 4";"Łukasz Karol LITEWKA - nr na liście 5";"Magdalena Monika KOT - nr na liście 6";"Wacław Michał CHUDZIKIEWICZ - nr na liście 7";"Marta DZIUBKA - nr na liście 8";"Adrian Paweł KUŹNICKI - nr na liście 9";"Ewa Katarzyna PÓŁTORAK - nr na liście 10";"Małgorzata ŁUBEK - nr na liście 11";"Marcin Rafał GŁADKOWSKI - nr na liście 12";"Anna Ewa FILIK - nr na liście 13";"Aleksandra Maria GRANAT - nr na liście 14";"Damian Leszek ŁUKASIK - nr na liście 15";"Urszula CZAJER - nr na liście 16";"Łukasz Rafał CIASTOŃ - nr na liście 17";"Liczba obwodów"
"240101";"gmina miejska";"m. Będzin";"będziński";"śląskie";39408;43175;11863;27545;26;107;0;0;0;0;0;0;0;27542;0;0;27542;239;144;95;0;27303;8472;610;6077;470;315;286;309;52;24;20;29;3;5;56;40;13;91;4;68;1661;788;113;95;84;52;58;47;29;45;21;99;27;56;34;42;6;21;44;941;387;108;17;28;50;29;60;17;14;35;40;10;25;17;8;10;52;34;8681;2512;3751;992;208;99;113;125;89;67;76;49;31;84;252;39;37;157;7548;1944;4066;284;132;496;165;11;81;14;43;21;24;33;42;23;85;84;29
"240102";"gmina miejska";"m. Czeladź";"będziński";"śląskie";23154;25557;7067;16087;18;43;4;4;0;0;0;0;4;16089;4;2;16087;141;99;42;0;15946;5920;451;2710;321;204;63;42;45;45;24;34;10;10;36;30;8;44;7;1836;1028;486;97;45;24;37;43;34;22;24;18;50;16;29;23;22;6;18;34;642;299;74;14;13;19;25;26;7;12;19;31;10;15;34;12;9;11;12;4943;1656;2067;301;145;71;77;68;77;46;37;86;30;80;60;19;25;98;3413;1732;612;173;158;279;107;5;67;12;25;17;17;100;19;18;34;38;22
"240103";"gmina miejska";"m. Wojkowice";"będziński";"śląskie";7529;8100;2580;4949;10;17;2;2;0;0;0;0;2;4951;2;0;4951;64;39;25;0;4887;1780;169;892;98;56;15;27;379;7;15;9;5;6;26;13;7;13;8;35;393;155;37;22;18;24;18;6;11;12;9;18;2;11;10;10;3;6;21;271;90;36;5;4;12;9;32;3;8;10;10;1;12;6;27;1;3;2;1442;473;631;115;26;19;13;20;24;8;13;13;9;15;14;12;7;30;1001;441;318;47;13;35;43;3;22;10;8;3;8;8;7;14;11;10;7
"240104";"gmina wiejska";"gm. Bobrowniki";"będziński";"śląskie";8889;9770;2656;6232;8;18;0;0;0;0;0;0;0;6232;0;0;6232;57;35;22;0;6175;1891;284;1129;146;73;21;34;51;12;16;14;4;8;17;16;4;12;7;43;451;203;26;20;6;21;23;48;7;10;11;21;7;11;4;8;0;9;16;482;277;30;10;5;13;5;26;2;12;12;9;3;16;6;6;6;7;37;2256;563;1279;85;61;32;18;29;29;15;23;9;8;32;9;12;7;45;1095;482;320;66;13;28;65;2;28;8;9;12;7;10;11;7;10;17;10
"240105";"gmina wiejska";"gm. Mierzęcice";"będziński";"śląskie";5600;6153;1874;3726;0;29;0;0;0;0;0;0;0;3726;0;0;3726;39;28;11;0;3687;971;99;568;79;85;31;25;12;5;7;4;0;5;15;9;3;7;1;16;311;153;17;17;10;18;10;13;5;8;6;11;9;9;6;2;2;6;9;281;118;29;2;2;13;4;7;5;5;11;9;0;4;5;7;5;6;49;1498;302;775;61;43;26;146;24;16;15;17;13;8;11;12;6;3;20;626;269;180;31;6;28;32;3;11;2;9;7;7;10;3;4;9;15;8
"240106";"gmina wiejska";"gm. Psary";"będziński";"śląskie";8890;9827;2523;6367;2;27;0;0;0;0;0;0;0;6367;0;0;6367;53;33;20;0;6314;2189;169;1383;134;66;35;88;29;167;14;13;1;3;40;4;3;18;3;19;384;219;19;12;9;22;23;13;3;6;4;13;2;5;5;10;0;4;15;273;118;28;7;4;12;4;14;7;12;4;15;4;9;2;7;5;9;12;2136;552;1053;197;59;32;19;35;26;14;9;20;11;22;28;11;8;40;1332;463;521;64;35;82;35;3;24;6;19;10;4;10;10;9;15;22;9
"240107";"gmina miejsko-wiejska";"gm. Siewierz";"będziński";"śląskie";9186;10014;2965;6221;13;30;0;0;0;0;0;0;0;6218;0;1;6217;72;48;24;0;6145;1602;124;972;65;280;21;20;13;2;1;3;4;5;53;7;4;14;4;10;463;242;34;21;12;14;15;13;12;16;2;14;9;10;11;8;3;10;17;481;129;33;7;6;13;6;12;15;11;181;18;1;8;6;2;2;5;26;2716;754;1327;201;120;30;24;32;38;29;24;6;9;28;36;9;17;32;883;371;298;53;11;29;35;0;11;8;6;6;5;6;10;10;9;15;8
"240108";"gmina miejska";"m. Sławków";"będziński";"śląskie";5049;5534;1541;3508;5;14;0;0;0;0;0;0;0;3505;0;0;3505;48;39;9;0;3457;902;96;496;158;69;16;6;2;1;2;8;2;2;20;2;7;11;2;2;330;64;174;7;6;14;10;6;1;3;2;6;9;1;5;16;0;3;3;139;58;17;6;2;9;2;9;5;3;1;3;3;10;3;1;1;4;2;1469;378;328;289;53;22;33;11;19;8;11;4;3;10;22;253;12;13;617;275;193;36;6;42;23;1;9;1;5;5;4;3;1;1;4;8;5
"241601";"gmina miejska";"m. Poręba";"zawierciański";"śląskie";6577;7226;2299;4278;14;15;0;0;0;0;0;0;0;4275;0;1;4274;47;32;15;0;4227;1472;64;307;72;860;23;4;4;2;2;10;2;19;5;4;86;3;2;3;283;174;13;6;3;7;9;9;13;6;3;8;2;4;1;8;1;5;11;219;60;9;8;24;3;2;7;7;59;4;5;3;6;1;1;2;5;13;1563;727;348;80;216;30;33;10;26;20;12;5;3;9;7;1;5;31;690;429;44;34;18;12;52;3;11;47;3;3;2;8;3;6;5;10;8
"241602";"gmina miejska";"m. Zawiercie";"zawierciański";"śląskie";36567;39523;12276;24291;21;84;4;4;0;0;0;0;4;24290;4;0;24290;211;148;63;0;24079;7066;294;1237;107;4838;47;30;21;14;5;11;4;361;16;17;29;10;7;18;1970;1345;72;44;23;31;32;25;118;32;9;37;10;16;10;16;4;26;120;1493;297;48;9;780;14;13;47;37;14;22;26;7;24;11;4;27;10;103;9378;3744;1373;521;2541;106;212;45;124;178;99;32;35;90;42;43;52;141;4172;2422;372;158;38;84;390;10;76;369;45;15;11;15;36;66;25;40;41
"241603";"gmina wiejska";"gm. Irządze";"zawierciański";"śląskie";2000;2181;728;1272;0;20;0;0;0;0;0;0;0;1272;0;0;1272;14;5;9;0;1258;101;8;45;3;29;3;4;2;1;0;1;0;1;3;0;0;1;0;0;60;40;1;2;1;2;3;1;1;0;1;1;0;0;1;1;0;1;4;104;20;5;1;4;1;2;7;3;3;0;1;2;3;2;0;2;0;48;898;417;219;35;110;15;18;4;13;9;6;1;9;5;22;4;4;7;95;60;6;4;1;1;14;0;1;0;2;0;0;1;1;1;0;3;4
