"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Piotr Benedykt ZIENTARSKI - nr na liście 1";"Tomasz CZUCZAK - nr na liście 2";"Marek Tomasz HOK - nr na liście 3";"Barbara Anna GRYGORCEWICZ - nr na liście 4";"Paweł SUSKI - nr na liście 5";"Adam OSTASZEWSKI - nr na liście 6";"Elżbieta Wiesława KARLIŃSKA - nr na liście 7";"Tomasz STRZĄBAŁA - nr na liście 8";"Wioletta KASZAK - nr na liście 9";"Jacek Jerzy KOZŁOWSKI - nr na liście 10";"Marek Tomasz FIRKOWSKI - nr na liście 11";"Marcin Sylwester URBANIAK - nr na liście 12";"Danuta Zofia BUTRYM - nr na liście 13";"Małgorzata LEŚNIEWSKA - nr na liście 14";"Anna BAŃKOWSKA - nr na liście 15";"Jerzy HARDIE-DOUGLAS - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Krzysztof Robert CHMIELEWSKI - nr na liście 1";"Aleksandra Urszula ZADENCKA - nr na liście 2";"Monika TKACZYK - nr na liście 3";"Edyta BELKA - nr na liście 4";"Piotr KARPIŃSKI - nr na liście 5";"Mieczysław Eugeniusz ARCIUSZKIEWICZ - nr na liście 6";"Małgorzata Dorota KOTWICKA - nr na liście 7";"Mateusz Jacek WOJTASZEWSKI - nr na liście 8";"Agata Anna RADEK - nr na liście 9";"Kamil WĄWOŹNY - nr na liście 10";"Kamilla Maria CZERWIŃSKA - nr na liście 11";"Łukasz KUREK - nr na liście 12";"Artur Jan SZULGANIUK - nr na liście 13";"Michał RAWDANOWICZ - nr na liście 14";"Artur GŁOWACKI - nr na liście 15";"Dariusz Tadeusz KOT - nr na liście 16";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Radosław LUBCZYK - nr na liście 1";"Stefan Józef ROMECKI - nr na liście 2";"Elżbieta Henryka GUMIŃSKA-WASIAK - nr na liście 3";"Lech BANY - nr na liście 4";"Jerzy HARŁACZ - nr na liście 5";"Agnieszka Alicja BRODOWSKA - nr na liście 6";"Stanisław KUCZYŃSKI - nr na liście 7";"Aldona Teresa PIASKOWSKA - nr na liście 8";"Adam DRAPAŁA - nr na liście 9";"Roman WIŚNIEWSKI - nr na liście 10";"Sylwia HALAMA - nr na liście 11";"Agata Anna SŁODKOWSKA - nr na liście 12";"Piotr IWAT - nr na liście 13";"Halina SAMEK - nr na liście 14";"Marcin MAJCZYNA - nr na liście 15";"Ryszard Józef MIĆKO - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Czesław HOC - nr na liście 1";"Paweł Maciej SZEFERNAKER - nr na liście 2";"Małgorzata Joanna GOLIŃSKA - nr na liście 3";"Stefan Zdzisław STRZAŁKOWSKI - nr na liście 4";"Marek Andrzej SUBOCZ - nr na liście 5";"Artur WIŚNIEWSKI - nr na liście 6";"Jan Andrzej OWSIAK - nr na liście 7";"Izabella Marzena SOZAŃSKA-MAJCHRZAK - nr na liście 8";"Jakub Mikołaj PYŻANOWSKI - nr na liście 9";"Ryszard Ambroży CHRUŚCIEL - nr na liście 10";"Barbara NAGÓRSKA - nr na liście 11";"Grzegorz BŁASZCZYK - nr na liście 12";"Barbara KĘDZIOR - nr na liście 13";"Halina Zofia SZTREJA - nr na liście 14";"Jacek Piotr SZADZEWICZ - nr na liście 15";"Emilia Kazimiera NIEMYT - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Małgorzata Barbara PROKOP-PACZKOWSKA - nr na liście 1";"Jerzy Waldemar KOTLĘGA - nr na liście 2";"Jacek Artur WEZGRAJ - nr na liście 3";"Andrzej LEWANDOWSKI - nr na liście 4";"Agnieszka SZUBA - nr na liście 5";"Lech Antoni FABIAŃCZYK - nr na liście 6";"Agnieszka Katarzyna MASTALERZ - nr na liście 7";"Józef Romuald SZKANDERA - nr na liście 8";"Ewa Bożena KOKOT - nr na liście 9";"Katarzyna Petronela PAPROCKA - nr na liście 10";"Magdalena Teresa KUSIAKIEWICZ - nr na liście 11";"Hanna KUJATH - nr na liście 12";"Marcin Dominik ADAMCZYK - nr na liście 13";"Łukasz Patryk OLSZEWSKI - nr na liście 14";"Maciej Walenty BOCK - nr na liście 15";"Małgorzata Genowefa CHYŁA - nr na liście 16";"Liczba obwodów"
"320101";"gmina miejska";"m. Białogard";"białogardzki";"zachodniopomorskie";16659;18070;6349;10310;20;44;1;1;0;0;0;0;1;10307;1;1;10306;184;112;72;0;10122;3861;364;70;130;61;33;29;15;3043;15;16;5;3;15;10;10;42;446;225;12;48;13;32;6;8;12;24;6;8;13;4;6;5;24;904;103;45;57;24;597;9;8;6;2;9;9;8;8;6;3;10;3417;1015;432;134;1587;59;56;24;18;15;5;18;13;10;9;7;15;1494;300;856;128;36;49;9;11;3;5;13;4;6;9;5;38;22;18
"320102";"gmina wiejska";"gm. Białogard";"białogardzki";"zachodniopomorskie";5339;5873;2755;2586;1;8;0;0;0;0;0;0;0;2586;0;0;2586;70;55;15;0;2516;747;99;24;32;17;10;7;3;515;1;4;0;1;6;6;5;17;140;65;4;6;1;12;5;8;1;12;2;5;6;0;0;8;5;244;30;12;32;4;122;3;3;5;6;3;5;1;3;2;4;9;1075;310;150;55;446;10;8;17;13;2;4;7;14;12;10;6;11;310;78;142;31;9;9;0;2;3;2;6;4;1;6;4;6;7;5
"320103";"gmina miejsko-wiejska";"gm. Karlino";"białogardzki";"zachodniopomorskie";6305;6884;3276;3028;3;22;0;0;0;0;0;0;0;3029;0;0;3029;84;63;21;0;2945;981;125;13;83;25;13;2;8;350;2;4;0;3;338;3;1;11;198;96;11;25;7;14;4;3;0;8;3;5;7;0;0;5;10;209;44;17;19;20;59;6;12;5;5;4;3;4;7;0;0;4;1246;650;219;55;200;15;34;14;7;7;2;9;9;10;4;3;8;311;90;122;34;19;9;1;6;0;2;2;2;0;3;3;10;8;6
"320104";"gmina miejsko-wiejska";"gm. Tychowo";"białogardzki";"zachodniopomorskie";5176;5617;2614;2562;3;16;0;0;0;0;0;0;0;2562;0;0;2562;78;60;18;0;2484;469;141;23;20;24;15;5;12;189;7;7;0;4;3;5;6;8;129;61;7;13;5;5;3;3;2;1;1;3;5;1;4;4;11;350;50;15;207;4;24;5;5;2;12;1;7;4;1;3;1;9;967;296;167;68;309;13;18;10;6;4;2;18;12;6;23;4;11;569;76;152;23;4;12;2;4;3;3;1;0;2;2;3;270;12;6
"320201";"gmina wiejska";"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";3450;3752;1662;1788;1;13;0;0;0;0;0;0;0;1787;0;0;1787;57;50;7;0;1730;467;79;8;4;8;48;8;6;38;257;1;1;0;1;2;5;1;78;45;1;6;2;2;2;2;0;6;0;1;6;0;0;5;0;174;45;12;6;8;8;11;7;5;6;3;4;12;0;2;1;44;810;324;201;50;25;17;17;18;7;5;32;14;39;9;5;2;45;201;73;9;4;19;61;1;6;2;6;4;0;2;5;0;1;8;3
"320202";"gmina miejsko-wiejska";"gm. Choszczno";"choszczeński";"zachodniopomorskie";15415;16739;6589;8826;14;60;1;1;0;0;0;0;1;8826;1;0;8826;136;100;36;0;8690;3089;316;29;44;28;112;20;6;213;2253;9;4;3;6;17;10;19;448;233;25;34;16;12;3;11;12;18;8;7;19;4;8;13;25;535;152;33;32;12;5;38;15;18;15;18;8;50;8;9;4;118;3178;711;1075;101;39;207;34;32;8;18;648;30;38;32;11;5;189;1440;365;135;37;48;743;6;21;4;20;11;3;7;6;5;7;22;17
"320203";"gmina miejsko-wiejska";"gm. Drawno";"choszczeński";"zachodniopomorskie";3809;4115;1887;1922;1;17;0;0;0;0;0;0;0;1922;0;0;1922;60;38;22;0;1862;454;86;8;1;28;54;6;5;26;215;3;0;6;2;5;4;5;113;73;3;6;1;4;2;1;2;3;2;2;6;0;5;1;2;335;31;9;2;3;9;3;7;1;4;5;1;221;3;4;0;32;730;249;175;35;15;25;30;11;7;3;64;8;8;9;3;4;84;230;103;17;4;15;61;2;1;1;6;0;1;3;8;4;0;4;6
"320204";"gmina wiejska";"gm. Krzęcin";"choszczeński";"zachodniopomorskie";2760;2864;1566;1194;0;1;0;0;0;0;0;0;0;1194;0;0;1194;38;32;6;0;1156;340;38;9;2;5;5;3;4;18;254;0;0;0;1;0;1;0;58;28;3;7;4;3;0;2;0;4;0;2;1;0;1;1;2;136;36;9;4;0;2;10;1;0;1;3;6;4;0;0;2;58;503;154;177;19;21;10;11;15;1;3;27;3;17;9;2;2;32;119;43;17;2;3;38;1;2;2;1;1;1;4;1;0;0;3;2
"320205";"gmina miejsko-wiejska";"gm. Pełczyce";"choszczeński";"zachodniopomorskie";5530;6070;2916;2614;6;9;0;0;0;0;0;0;0;2614;0;0;2614;94;80;14;0;2520;448;147;8;11;19;27;11;10;10;176;5;1;3;2;11;6;1;154;67;5;15;8;7;3;4;7;9;3;4;7;1;2;2;10;490;37;14;13;4;7;9;12;2;4;9;9;18;0;1;1;350;1196;496;272;88;32;47;61;23;8;5;22;17;31;25;2;2;65;232;105;19;3;14;38;1;14;4;6;3;4;0;13;4;0;4;4
"320206";"gmina miejsko-wiejska";"gm. Recz";"choszczeński";"zachodniopomorskie";3886;4219;2054;1832;4;9;0;0;0;0;0;0;0;1832;0;0;1832;61;48;13;0;1771;429;68;7;7;18;23;5;11;8;265;1;0;1;2;4;6;3;137;73;5;9;3;9;4;3;2;4;1;4;4;1;5;2;8;167;56;7;5;6;4;4;3;4;3;5;7;9;0;6;2;46;842;317;213;40;19;53;16;13;7;4;24;16;14;12;2;1;91;196;60;38;2;12;55;0;5;2;4;3;2;1;6;1;1;4;4
