"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Tadeusz Antoni ZWIEFKA - nr na liście 1";"Paweł Bartosz OLSZEWSKI - nr na liście 2";"Iwona Maria KOZŁOWSKA - nr na liście 3";"Ireneusz Michał NITKIEWICZ - nr na liście 4";"Magdalena ŁOŚKO - nr na liście 5";"Michał Józef STASIŃSKI - nr na liście 6";"Tadeusz Grzegorz POGODA - nr na liście 7";"Marian Marek MIKOŁAJCZAK - nr na liście 8";"Olga BRZEZIŃSKA - nr na liście 9";"Mirosław KRÓLEWICZ - nr na liście 10";"Juliusz Jakub MŁODECKI - nr na liście 11";"Robert Rafał BARANOWSKI - nr na liście 12";"Stanisław GLISZCZYŃSKI - nr na liście 13";"Bashar AL-SHAER - nr na liście 14";"Nicole Weronika PIETRYGA - nr na liście 15";"Jarosław Paweł KATULSKI - nr na liście 16";"Monika Julia BIELIŃSKA - nr na liście 17";"Paulina Barbara POPA - nr na liście 18";"Danuta Maria WOŹNIAK - nr na liście 19";"Dariusz Józef WĄDOŁOWSKI - nr na liście 20";"Radosława Maria STASZAK-KOWALSKA - nr na liście 21";"Martyna Magdalena GALIŃSKA - nr na liście 22";"Piotr Henryk MALICH - nr na liście 23";"Wojciech SZCZĘSNY - nr na liście 24";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Marcin SYPNIEWSKI - nr na liście 1";"Filip Szymon STRZEMKOWSKI - nr na liście 2";"Radosław Mariusz GINTHER - nr na liście 3";"Luiza Alicja KUBACKA - nr na liście 4";"Krystyna Anna JAROCKA - nr na liście 5";"Mateusz STACHOWIAK - nr na liście 6";"Łukasz JAWORNIK - nr na liście 7";"Grzegorz KLUCZYŃSKI - nr na liście 8";"Natalia Martyna POPŁAWSKA - nr na liście 9";"Joanna GEISLER-GRYGROWICZ - nr na liście 10";"Marcin PILARSKI - nr na liście 11";"Maciej Jerzy BORKOWSKI - nr na liście 12";"Marek Paweł STANKIEWICZ - nr na liście 13";"Dominik Marek KALINOWSKI - nr na liście 14";"Krzysztof PASTUSZKA - nr na liście 15";"Marek LEWANDOWSKI - nr na liście 16";"Maja Anna KURLANDT-OŚWIECIŃSKA - nr na liście 17";"Agnieszka Iwona BOCIAN - nr na liście 18";"Magdalena ĆWIKLIŃSKA - nr na liście 19";"Klaudia Natalia KALINOWSKA - nr na liście 20";"Sławomir Tomasz LISS - nr na liście 21";"Małgorzata ŁUSIAK - nr na liście 22";"Dariusz GNYSZEK - nr na liście 23";"Cyprian Kamil SAJNA - nr na liście 24";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Dariusz KURZAWA - nr na liście 1";"Krzysztof Gustaw SIKORA - nr na liście 2";"Klaudia ŚMIGIELSKA - nr na liście 3";"Zofia Władysława KOZŁOWSKA - nr na liście 4";"Jadwiga Władysława NAWROT - nr na liście 5";"Jan Kazimierz BIERNACKI - nr na liście 6";"Franciszek KOSZOWSKI - nr na liście 7";"Ewa Teresa ANKIEWICZ-JASIŃSKA - nr na liście 8";"Zbigniew Piotr KAPUSTA - nr na liście 9";"Tomasz Edmund MIŁOWSKI - nr na liście 10";"Hanna Jadwiga SOBIECHOWSKA - nr na liście 11";"Aleksandra Beata PAZDERSKA - nr na liście 12";"Krzysztof Janusz RÓŻAŃSKI - nr na liście 13";"Tomasz BAGNEROWSKI - nr na liście 14";"Paweł Maksymilian SANKOWSKI - nr na liście 15";"Aleksandra Maria STANEK - nr na liście 16";"Łukasz Cyprian URBAŃSKI - nr na liście 17";"Wiesława Stanisława PROCHOWNIK - nr na liście 18";"Grzegorz Czesław ROWIŃSKI - nr na liście 19";"Henryk PAWLINA - nr na liście 20";"Jarosław Jan SŁOMA - nr na liście 21";"Kamila Tatiana ŁĄCZNA - nr na liście 22";"Jacek SUPERCZYŃSKI - nr na liście 23";"Ewa Monika MES - nr na liście 24";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Tomasz Edward LATOS - nr na liście 1";"Łukasz Paweł SCHREIBER - nr na liście 2";"Piotr Marek KRÓL - nr na liście 3";"Bartosz Józef KOWNACKI - nr na liście 4";"Ewa Elżbieta KOZANECKA - nr na liście 5";"Marek Leon WITKOWSKI - nr na liście 6";"Marcin WROŃSKI - nr na liście 7";"Ireneusz STACHOWIAK - nr na liście 8";"Jerzy KOWALIK - nr na liście 9";"Michał KRZEMKOWSKI - nr na liście 10";"Grażyna Edyta SZABELSKA - nr na liście 11";"Anna FALKOWSKA - nr na liście 12";"Tomasz Paweł SZAMOCKI - nr na liście 13";"Jolanta KOŁODZIEJ - nr na liście 14";"Elżbieta GOGOLA - nr na liście 15";"Krzysztof NAPIERALSKI - nr na liście 16";"Stanisława KUFFEL - nr na liście 17";"Kamila Teresa JABŁOŃSKA - nr na liście 18";"Antoni LEWANDOWSKI - nr na liście 19";"Paulina WENDERLICH - nr na liście 20";"Danuta Stanisława PILARSKA - nr na liście 21";"Żaneta Katarzyna ŚRUBKOWSKA - nr na liście 22";"Maria Alina WARDA - nr na liście 23";"Dariusz CIESIELCZYK - nr na liście 24";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Krzysztof Kamil GAWKOWSKI - nr na liście 1";"Jan Józef SZOPIŃSKI - nr na liście 2";"Michał WYSOCKI - nr na liście 3";"Izabela Anna NOWAK - nr na liście 4";"Anna Magdalena LUDWISIAK-KAWECKA - nr na liście 5";"Marek Krzysztof JELENIEWSKI - nr na liście 6";"Danuta Elżbieta KOŃCZAK - nr na liście 7";"Damian Adam SKAŁECKI - nr na liście 8";"Karolina KOZŁOWSKA - nr na liście 9";"Magdalena BIRSKA - nr na liście 10";"Elżbieta Maria BUDZIŃSKA - nr na liście 11";"Sławomir Ryszard GINTER - nr na liście 12";"Aleksandra Justyna SMOLAGA - nr na liście 13";"Wiesław Tadeusz MENARD - nr na liście 14";"Katarzyna Anna OSUCH - nr na liście 15";"Teresa WARSICKA - nr na liście 16";"Mateusz FRĘŚ - nr na liście 17";"Joanna Zuzanna PIASKOWSKA - nr na liście 18";"Piotr JAROSZ - nr na liście 19";"Artur GRUPA - nr na liście 20";"Sebastian SKAJA - nr na liście 21";"Michał Mateusz PISAREK - nr na liście 22";"Tomasz KRZESIŃSKI - nr na liście 23";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Łukasz Radosław PAJĄK - nr na liście 1";"Beata Maria PŁACZKIEWICZ - nr na liście 2";"Sara PIWOWAR - nr na liście 3";"Małgorzata Kinga KOZŁOWSKA - nr na liście 4";"Sławomir WOŹNIAK - nr na liście 5";"Jan Maciej WYSOCKI - nr na liście 6";"Marzena LIS - nr na liście 7";"Daniel Piotr KAPUSTA - nr na liście 8";"Dominik KOWALSKI - nr na liście 9";"Damian Tomasz KUŚNIERZ - nr na liście 10";"Andżelika Ewelina GAWINKOWSKA - nr na liście 11";"Bartosz Adrian RYCHLIK - nr na liście 12";"Adam Marek MAZUR - nr na liście 13";"Daria JAWORSKA - nr na liście 14";"Krzysztof Marian BARAŃSKI - nr na liście 15";"Piotr POGORZELSKI - nr na liście 16";"Paulina OLSZAK - nr na liście 17";"Sławomir Wojciech KLIBER - nr na liście 18";"Liczba obwodów"
"040301";"gmina wiejska";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";14422;16119;3288;11134;4;58;0;0;0;0;0;0;0;11133;0;1;11132;105;68;37;0;11027;4017;1136;1408;213;226;117;212;41;13;83;18;13;166;28;27;7;13;16;19;5;4;125;16;10;101;905;557;30;32;41;21;21;15;21;23;8;21;8;17;7;7;9;4;16;4;10;6;3;1;23;868;269;97;78;31;21;26;10;13;21;16;7;24;7;12;23;8;8;9;4;4;4;101;9;66;3160;1249;490;208;294;507;20;18;21;7;39;58;25;12;10;8;8;12;11;17;93;18;3;12;20;1949;810;375;98;129;31;190;20;15;65;32;22;22;20;4;14;12;11;14;14;6;3;17;25;128;36;11;7;11;7;4;10;6;0;4;0;2;3;12;4;3;4;4;15
"040302";"gmina wiejska";"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";5751;6367;2296;3455;1;16;0;0;0;0;0;0;0;3455;0;0;3455;53;35;18;0;3402;887;297;314;55;35;19;25;13;3;21;1;8;4;6;13;4;2;7;2;3;5;5;6;1;38;325;177;9;13;15;9;9;7;12;8;0;11;6;14;2;1;7;1;5;5;4;2;1;2;5;336;112;30;47;14;12;15;8;2;10;2;9;7;3;5;4;3;6;0;2;0;4;2;6;33;1347;582;279;149;91;67;15;8;8;12;4;24;13;4;22;1;10;3;15;7;13;8;0;5;7;459;196;70;22;21;3;35;9;3;26;4;6;22;2;3;3;2;1;9;2;4;2;6;8;48;12;3;3;1;1;2;3;1;2;1;2;0;4;4;0;1;2;6;10
"040303";"gmina wiejska";"gm. Dobrcz";"bydgoski";"kujawsko-pomorskie";8011;8886;2674;5337;6;22;0;0;0;0;0;0;0;5337;0;0;5337;86;67;19;0;5251;1517;317;343;61;58;23;77;19;10;29;3;4;2;32;479;3;5;5;2;3;10;7;5;0;20;352;212;11;9;12;9;15;6;6;8;3;13;5;11;1;4;5;1;6;0;3;4;1;0;7;669;127;41;24;13;11;9;22;4;8;4;6;3;10;3;4;5;12;2;2;2;5;3;2;347;1912;990;292;195;121;103;6;9;14;7;16;40;6;5;6;7;9;13;5;15;27;4;6;8;8;744;334;118;50;40;10;83;12;4;26;7;1;1;1;1;5;5;1;13;7;1;5;12;7;57;15;2;7;3;1;4;2;2;0;1;2;1;0;3;2;1;7;4;11
"040304";"gmina miejsko-wiejska";"gm. Koronowo";"bydgoski";"kujawsko-pomorskie";17226;18808;6951;10275;6;66;1;1;1;0;0;0;0;10271;0;0;10271;195;156;39;0;10076;3348;736;567;91;64;37;48;17;17;30;4;4;15;1414;63;17;110;5;17;7;3;17;18;7;40;678;448;15;12;22;11;11;12;15;15;5;20;9;13;9;8;14;1;11;2;8;6;5;0;6;772;199;117;43;31;11;28;11;4;21;6;12;6;93;4;10;14;11;3;5;0;8;8;5;122;3922;1838;821;268;206;279;73;21;17;26;13;44;32;14;17;23;19;14;13;10;56;18;60;13;27;1250;535;203;60;72;20;158;16;22;59;9;6;9;9;8;11;1;5;11;4;2;6;8;16;106;13;8;12;14;4;4;4;4;3;4;2;2;1;10;0;7;6;8;23
"040305";"gmina wiejska";"gm. Nowa Wieś Wielka";"bydgoski";"kujawsko-pomorskie";7007;7736;2386;4621;7;30;0;0;0;0;0;0;0;4617;0;0;4617;65;50;15;0;4552;1376;381;422;88;53;125;84;16;8;39;6;2;25;10;5;6;8;1;7;5;1;15;12;3;54;389;214;13;15;26;10;11;7;8;8;2;10;7;9;6;3;3;2;9;3;7;2;3;0;11;402;146;32;30;24;10;46;11;9;8;0;5;3;5;3;2;2;6;2;1;3;2;2;13;37;1561;636;300;126;128;136;14;38;34;6;13;27;19;6;6;5;9;6;3;4;29;3;2;0;11;766;348;130;46;50;16;53;9;2;22;11;10;11;3;1;6;1;5;5;5;4;6;12;10;58;12;1;6;7;2;8;3;4;3;0;0;1;1;4;1;1;1;3;8
"040306";"gmina wiejska";"gm. Osielsko";"bydgoski";"kujawsko-pomorskie";9559;10602;1542;8017;2;66;0;0;0;0;0;0;0;8017;0;0;8017;43;31;12;0;7974;3296;878;1255;195;183;95;278;29;25;62;7;8;18;43;51;6;8;5;3;7;5;54;7;14;60;598;426;16;9;22;7;7;7;8;16;4;10;1;9;1;2;12;2;10;8;3;2;2;0;14;552;175;62;31;20;11;11;21;9;6;3;6;9;14;4;13;9;1;1;16;2;4;10;12;102;1964;871;322;174;165;122;17;14;15;6;37;63;19;4;4;9;6;19;6;13;30;14;5;9;20;1470;672;219;64;109;17;142;12;21;50;14;8;8;8;3;9;17;1;51;4;3;5;11;22;94;21;5;3;12;4;2;9;2;3;1;0;2;6;4;2;2;8;8;13
"040307";"gmina wiejska";"gm. Sicienko";"bydgoski";"kujawsko-pomorskie";7257;7937;2613;4644;4;20;0;0;0;0;0;0;0;4644;0;0;4644;97;75;22;0;4547;1295;432;421;96;100;44;40;16;9;23;10;3;6;17;12;2;1;4;7;7;2;12;3;2;26;431;264;9;26;24;12;16;3;8;12;3;4;8;3;5;1;6;1;6;6;3;5;0;0;6;504;165;87;54;18;8;16;4;6;10;4;3;13;5;6;8;2;3;3;1;2;9;5;3;69;1615;627;510;103;82;81;40;14;11;8;11;35;8;3;7;7;8;5;6;6;25;3;4;5;6;628;231;105;43;49;8;83;7;3;21;9;14;7;5;1;3;2;6;4;9;2;1;7;8;74;18;8;4;4;3;3;4;4;5;1;1;1;3;4;0;0;3;8;11
"040308";"gmina miejsko-wiejska";"gm. Solec Kujawski";"bydgoski";"kujawsko-pomorskie";11330;12447;3711;7619;18;28;0;0;0;0;0;0;0;7619;0;1;7618;89;52;37;0;7529;2386;982;665;165;115;43;76;32;18;91;13;6;6;22;22;6;4;11;31;9;5;8;9;5;42;790;414;29;12;48;35;29;19;19;18;6;17;20;21;5;8;30;3;11;7;6;10;8;4;11;573;206;48;49;38;20;30;6;10;12;3;24;8;6;2;9;9;12;3;4;2;8;12;7;45;2385;1144;280;126;243;207;16;21;55;14;17;62;30;7;22;9;18;10;13;12;55;7;1;8;8;1275;562;171;82;104;20;70;29;20;56;14;38;14;19;1;10;5;5;17;11;6;5;8;8;120;29;5;14;12;4;5;11;6;2;4;2;1;7;3;5;2;6;2;12
"040701";"gmina miejska";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";53711;57871;17811;35900;44;920;1;1;0;0;0;0;1;35894;1;0;35894;459;306;153;0;35435;13205;2260;1071;203;131;8217;74;49;71;543;185;14;32;8;57;10;34;19;10;22;4;22;16;8;145;1706;856;94;27;74;31;131;129;37;37;16;36;23;19;6;16;26;4;34;16;17;14;24;5;34;2517;1518;111;151;63;126;119;21;26;62;15;29;20;37;12;11;46;12;17;9;6;12;18;17;59;11597;2758;730;294;602;373;53;2475;3641;34;28;98;83;16;66;29;42;22;36;28;50;34;12;27;66;5871;3427;402;250;351;420;177;57;25;128;49;90;37;36;11;116;25;16;74;41;21;12;25;81;539;105;24;119;25;35;9;39;20;15;5;12;7;13;28;3;11;38;31;51
"040702";"gmina wiejska";"gm. Dąbrowa Biskupia";"inowrocławski";"kujawsko-pomorskie";3677;3975;1805;1872;5;13;0;0;0;0;0;0;0;1872;0;0;1872;49;33;16;0;1823;379;75;25;11;4;219;2;0;9;16;1;1;1;0;2;2;3;0;0;0;1;0;1;0;6;99;31;24;5;0;0;13;1;2;6;2;2;1;3;1;2;0;0;1;2;2;1;0;0;0;236;155;8;5;9;4;5;3;2;4;4;0;3;7;1;1;5;0;6;1;1;2;2;3;5;939;266;65;54;50;31;8;220;160;1;10;2;8;10;20;1;3;2;8;3;0;2;4;2;9;133;68;11;8;13;4;0;3;1;2;4;5;0;2;0;2;0;0;1;2;1;2;1;3;37;10;1;2;0;3;2;3;2;0;2;2;0;1;2;0;1;1;5;7
"040703";"gmina miejsko-wiejska";"gm. Gniewkowo";"inowrocławski";"kujawsko-pomorskie";10191;11111;4354;5837;7;34;1;1;1;0;0;0;0;5837;0;0;5837;123;80;43;0;5714;1367;423;127;40;16;592;10;11;4;62;7;5;5;4;7;2;4;3;3;5;0;3;1;0;33;577;156;318;2;8;4;18;5;4;5;1;6;6;3;2;2;7;0;5;2;17;2;2;1;1;699;334;24;27;18;10;15;4;4;10;3;4;3;6;1;6;7;5;192;2;2;4;4;1;13;2384;830;227;89;84;83;25;265;563;18;14;25;22;12;12;7;22;7;12;10;19;9;4;4;21;584;326;50;34;47;17;11;7;2;20;8;11;2;9;1;9;3;6;2;4;2;2;2;9;103;22;5;12;3;6;6;11;2;4;2;1;1;3;9;2;3;5;6;15
