"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Joanna MUCHA - nr na liście 1";"Michał Mateusz KRAWCZYK - nr na liście 2";"Marta Anna WCISŁO - nr na liście 3";"Paweł Krzysztof NAKONIECZNY - nr na liście 4";"Bożena Grażyna LISOWSKA - nr na liście 5";"Krzysztof BABISZ - nr na liście 6";"Krzysztof KOMORSKI - nr na liście 7";"Krzysztof BOJARSKI - nr na liście 8";"Lucjan ORGASIŃSKI - nr na liście 9";"Bożenna WASILEWSKA - nr na liście 10";"Waldemar Franciszek BIAŁOWĄS - nr na liście 11";"Józef Stanisław JUCHNIKOWSKI - nr na liście 12";"Sylwia Stanisława GUZ - nr na liście 13";"Paweł Tomasz KUREK - nr na liście 14";"Magdalena Anna SZABAŁA - nr na liście 15";"Maciej Stefan TRYBOŃ - nr na liście 16";"Małgorzata Teresa DUNECKA - nr na liście 17";"Adam Andrzej KALBARCZYK - nr na liście 18";"Tomasz Lech BUCZEK - nr na liście 19";"Joanna Sława HOŁDA - nr na liście 20";"Katarzyna FATYGA - nr na liście 21";"Krzysztof Andrzej GŁADYSZ - nr na liście 22";"Magdalena Mariola WOJCIECHOWSKA-JĘDRZEJCZYK - nr na liście 23";"Michał Marcin MIŁOSZ - nr na liście 24";"Mariusz Grzegorz AUSZ - nr na liście 25";"Anna Barbara PADO - nr na liście 26";"Piotr SZCZUCKI - nr na liście 27";"Marek RAK - nr na liście 28";"Katarzyna Dorota WIĘCEK - nr na liście 29";"Zbigniew Wiktor JURKOWSKI - nr na liście 30";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Jakub KULESZA - nr na liście 1";"Rafał MEKLER - nr na liście 2";"Jacek Mikołaj TOMASIAK - nr na liście 3";"Małgorzata Aneta TYLUS - nr na liście 4";"Mateusz Stanisław GRYZ - nr na liście 5";"Zbigniew Jakub WACH - nr na liście 6";"Anna Maria ZAJĄCZKOWSKA - nr na liście 7";"Michał WYPYCH - nr na liście 8";"Arkadiusz GAJDA - nr na liście 9";"Rafał Janusz KULICKI - nr na liście 10";"Piotr Marcin ZDUŃCZYK - nr na liście 11";"Piotr MAREK - nr na liście 12";"Ryszard Witold MILEWSKI - nr na liście 13";"Andrzej Tomasz WIĘCŁAWSKI - nr na liście 14";"Alicja WIECZOREK-KABAT - nr na liście 15";"Paweł Robert KUSIAK - nr na liście 16";"Anna REJA - nr na liście 17";"Anna Zofia SKWAREK - nr na liście 18";"Ewa Maria KRAWCZYK - nr na liście 19";"Marek Jakub SKARŻYŃSKI - nr na liście 20";"Monika Teresa AUGUSTYNOWICZ - nr na liście 21";"Dorota Maria MAZEK - nr na liście 22";"Damian ŁAGOWSKI - nr na liście 23";"Olga DROZD - nr na liście 24";"Anna KABASA - nr na liście 25";"Anna Joanna FLIS - nr na liście 26";"Szczepan KUPISZ - nr na liście 27";"Piotr Adam PANASIUK - nr na liście 28";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Jan Zbigniew ŁOPATA - nr na liście 1";"Marek KOS - nr na liście 2";"Henryk Józef SMOLARZ - nr na liście 3";"Grzegorz Krzysztof KAPUSTA - nr na liście 4";"Dariusz Maksymilian KRZĘCIO - nr na liście 5";"Piotr Sławomir RZETELSKI - nr na liście 6";"Zenon Jerzy RODZIK - nr na liście 7";"Grzegorz Stanisław SZYSZKO - nr na liście 8";"Marek KOPEĆ - nr na liście 9";"Dariusz Stanisław KOŁODZIEJCZYK - nr na liście 10";"Marceli Mateusz NIEZGODA - nr na liście 11";"Karolina KUCHARCZYK - nr na liście 12";"Edyta Agnieszka DUDZIŃSKA - nr na liście 13";"Jerzy Włodzimierz BEDNARSKI - nr na liście 14";"Anna GRZYWACZEWSKA - nr na liście 15";"Anna SZMIDT - nr na liście 16";"Eliza Agata FRANCZAK - nr na liście 17";"Krzysztof Kamil CHOCHOWSKI - nr na liście 18";"Daniel STANIBUŁA - nr na liście 19";"Marlena PIĄTEK - nr na liście 20";"Magdalena MISIASZEK - nr na liście 21";"Renata Jolanta KASPRZAK - nr na liście 22";"Urszula Monika DRĄŻYK-ŚWITAJ - nr na liście 23";"Małgorzata BUJAK - nr na liście 24";"Magdalena Maria WDOWIAK - nr na liście 25";"Jacek Andrzej WILK - nr na liście 26";"Henryk Jan RUDNIK - nr na liście 27";"Barbara KOT - nr na liście 28";"Aneta ODROBIŃSKA - nr na liście 29";"Daniel SŁOWIK - nr na liście 30";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Sylwester Karol TUŁAJEW - nr na liście 1";"Przemysław CZARNEK - nr na liście 2";"Gabriela MASŁOWSKA - nr na liście 3";"Artur SOBOŃ - nr na liście 4";"Lech Stanisław SPRAWKA - nr na liście 5";"Krzysztof SZULOWSKI - nr na liście 6";"Krzysztof GŁUCHOWSKI - nr na liście 7";"Sławomir SKWAREK - nr na liście 8";"Adam Krzysztof KAŁASKA - nr na liście 9";"Jerzy Feliks BIELECKI - nr na liście 10";"Teresa BOGACKA - nr na liście 11";"Magdalena FILIPEK-SOBCZAK - nr na liście 12";"Leszek KOWALCZYK - nr na liście 13";"Kazimierz Bogusław CHOMA - nr na liście 14";"Marek Grzegorz WOJCIECHOWSKI - nr na liście 15";"Tomasz Zbigniew PITUCHA - nr na liście 16";"Arkadiusz JUREK - nr na liście 17";"Piotr Andrzej PATKOWSKI - nr na liście 18";"Jolanta SZAŁAS - nr na liście 19";"Andrzej Marek PRUSZKOWSKI - nr na liście 20";"Ewa ZYBAŁA - nr na liście 21";"Krzysztof Piotr PODKAŃSKI - nr na liście 22";"Renata Maria SZCZYPA - nr na liście 23";"Dorota BARANOWSKA - nr na liście 24";"Ewa SZAŁACHWIEJ - nr na liście 25";"Dorota SKRZAT - nr na liście 26";"Magdalena Sylwia UDRYCKA - nr na liście 27";"Radosław Marian ŚPIEWAK - nr na liście 28";"Ilona Ewelina DUDA - nr na liście 29";"Jan Jakub KANTHAK - nr na liście 30";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Jacek Andrzej CZERNIAK - nr na liście 1";"Magdalena Anna DŁUGOSZ - nr na liście 2";"Tomasz KITLIŃSKI - nr na liście 3";"Marek MAZUREK - nr na liście 4";"Katarzyna Edyta ZABRATAŃSKA - nr na liście 5";"Marek Waldemar KOŁODZIEJCZYK - nr na liście 6";"Robert Michał LACHOWSKI - nr na liście 7";"Agnieszka Monika LENART - nr na liście 8";"Paulina SKIBA - nr na liście 9";"Agnieszka Halina MARCINKOWSKA-KOZAK - nr na liście 10";"Władysław MASZKOWSKI - nr na liście 11";"Jolanta REBEJKO - nr na liście 12";"Beata WICHA - nr na liście 13";"Andrzej Wawrzyniec BANAŚ - nr na liście 14";"Adrian STĘPNIAK - nr na liście 15";"Jarosław Paweł IWAN - nr na liście 16";"Patryk STOLARSKI - nr na liście 17";"Karolina SŁOMKA - nr na liście 18";"Barbara KOWALSKA - nr na liście 19";"Gabriel Jan KACZYŃSKI - nr na liście 20";"Anna Maria ŁABAREWICZ - nr na liście 21";"Grażyna Irena ROJEK - nr na liście 22";"Dariusz Władysław FIGURA - nr na liście 23";"Walenty KUŁAGO - nr na liście 24";"Monika Barbara MIKITA-SKIBA - nr na liście 25";"Grzegorz Jerzy NOWICKI - nr na liście 26";"Joanna Edyta KASZA - nr na liście 27";"Emilia Dominika SKUBIS - nr na liście 28";"Szymon FURMANIAK - nr na liście 29";"Jacek Marek GALLANT - nr na liście 30";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Marek Marian WOCH - nr na liście 1";"Barbara BERECKA - nr na liście 2";"Jarosław Szczepan MARKIEWICZ - nr na liście 3";"Andrzej Robert KUSZYK - nr na liście 4";"Arkadiusz POGONOWSKI - nr na liście 5";"Jolanta Marta ZARYCHTA - nr na liście 6";"Adrian Hai DANG XUAN - nr na liście 7";"Agnieszka Monika MAZUR - nr na liście 8";"Arkadiusz Jacek MISIAK - nr na liście 9";"Dariusz KRZYSZTOFIK - nr na liście 10";"Anna ROLA - nr na liście 11";"Marlena Wanda STRADOMSKA - nr na liście 12";"Paweł TCHOREK - nr na liście 13";"Małgorzata Anna SZWAJEWSKA - nr na liście 14";"Karol Paweł DADEJ - nr na liście 15";"Jolanta Barbara TARŁOWSKA - nr na liście 16";"Marcin Jakub PIETROSIŃSKI - nr na liście 17";"Tomasz Marcin SŁAPCZYŃSKI - nr na liście 18";"Piotr DOMAŃSKI - nr na liście 19";"Magdalena MYŚLIWIEC - nr na liście 20";"Mateusz Waldemar KAMOLA - nr na liście 21";"Katarzyna KOKOT - nr na liście 22";"Piotr Mariusz ZIELIŃSKI - nr na liście 23";"Artur Lech BANACH - nr na liście 24";"Tomasz Wojciech KĘPOWICZ - nr na liście 25";"Renata GRZEGORCZYK - nr na liście 26";"Ines Agnieszka KIERZKOWSKA-ŻUK - nr na liście 27";"Marek Robert MANDELA - nr na liście 28";"Wojciech SZWERC - nr na liście 29";"Dominika CINNER - nr na liście 30";"Liczba obwodów"
"060501";"gmina wiejska";"gm. Batorz";"janowski";"lubelskie";2447;2634;804;1643;5;2;0;0;0;0;0;0;0;1643;0;0;1643;36;25;11;0;1607;44;15;2;18;0;0;6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;89;51;6;3;3;2;7;3;0;1;2;1;1;3;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;152;121;8;3;3;0;11;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1265;143;144;448;51;12;9;4;0;1;356;7;5;7;34;2;1;0;2;1;0;2;6;1;0;2;1;2;1;3;20;50;32;4;2;3;1;0;2;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4
"060502";"gmina wiejska";"gm. Chrzanów";"janowski";"lubelskie";2199;2396;659;1540;4;43;0;0;0;0;0;0;0;1540;0;0;1540;8;6;2;0;1532;20;10;0;2;0;0;3;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;48;31;1;1;1;0;7;0;0;1;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;115;29;2;4;1;0;68;0;2;0;4;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1320;187;262;27;27;7;26;1;4;6;584;65;6;5;6;5;1;3;4;0;0;0;27;1;7;10;4;0;0;5;40;23;12;5;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4
"060503";"gmina wiejska";"gm. Dzwola";"janowski";"lubelskie";4675;5091;1559;3116;13;15;0;0;0;0;0;0;0;3116;0;0;3116;35;16;19;0;3081;52;32;3;1;1;0;6;3;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;182;91;5;4;6;2;31;3;2;1;4;10;5;1;0;2;2;4;1;0;1;0;0;0;2;1;3;0;1;194;78;4;8;3;0;71;0;3;2;3;1;1;1;0;2;9;1;0;0;0;2;1;0;1;0;1;0;1;1;0;2585;265;381;85;68;12;27;3;18;3;1186;100;17;12;114;26;4;5;3;4;3;9;39;3;3;1;4;2;3;10;175;59;31;3;3;4;0;2;0;3;3;0;1;0;0;0;1;0;0;1;1;2;2;0;0;0;0;0;0;0;1;1;9;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;2;5
"060504";"gmina wiejska";"gm. Godziszów";"janowski";"lubelskie";4292;4711;1026;3266;28;11;0;0;0;0;0;0;0;3266;0;0;3266;32;12;20;0;3234;31;14;5;3;2;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;130;75;2;3;2;0;21;6;1;1;0;3;2;0;1;0;3;2;2;1;0;0;0;0;1;0;0;1;3;127;36;13;10;2;2;53;1;0;1;2;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2874;454;275;153;29;12;10;4;7;3;1438;39;19;20;58;4;4;1;4;2;2;5;14;1;4;0;4;0;1;7;300;66;51;3;0;2;1;1;2;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5
"060505";"gmina miejsko-wiejska";"gm. Janów Lubelski";"janowski";"lubelskie";11874;12784;4166;7706;14;52;0;0;0;0;0;0;0;7706;0;0;7706;66;29;37;0;7640;861;631;30;44;10;8;66;7;3;6;3;5;1;0;9;0;4;2;3;4;1;3;1;5;1;4;2;1;2;2;3;496;233;24;6;20;0;129;7;8;4;7;6;7;0;2;3;6;6;0;1;2;0;0;3;4;1;7;2;8;453;135;15;15;8;6;163;6;2;2;5;7;6;2;8;3;46;0;2;0;3;3;3;1;1;1;4;1;2;1;2;5266;331;410;181;56;15;16;10;8;17;3203;70;16;43;162;17;17;4;3;12;5;26;12;2;12;0;32;3;3;22;558;505;311;70;11;17;19;4;5;16;5;1;3;3;5;2;2;4;1;4;5;3;0;2;0;1;1;2;3;0;0;5;59;17;6;2;1;0;2;5;4;2;1;2;1;0;0;0;0;0;0;2;2;0;0;2;1;0;0;0;2;1;6;11
"060506";"gmina miejsko-wiejska";"gm. Modliborzyce";"janowski";"lubelskie";5211;5660;2132;3079;13;18;0;0;0;0;0;0;0;3079;0;0;3079;55;25;30;0;3024;216;151;12;12;2;5;14;1;2;0;2;0;0;2;3;2;0;0;0;0;0;1;0;2;2;0;0;1;1;0;1;152;77;6;4;6;3;23;5;4;1;2;2;2;1;3;1;1;1;0;0;0;0;1;0;1;1;2;1;4;259;88;31;9;20;3;59;5;2;3;3;0;3;4;1;0;9;0;0;0;2;2;0;0;1;1;1;1;3;0;8;2248;214;217;63;37;6;12;11;10;7;1293;18;5;29;115;16;8;4;2;3;5;14;7;1;3;3;4;2;4;17;118;126;72;14;0;1;3;2;0;7;8;1;2;0;1;2;0;1;1;3;0;0;0;1;3;0;0;0;0;1;0;3;23;2;3;0;0;1;2;3;3;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;6
"060507";"gmina wiejska";"gm. Potok Wielki";"janowski";"lubelskie";3489;3812;1508;1981;7;10;0;0;0;0;0;0;0;1981;0;0;1981;33;16;17;0;1948;107;57;2;6;5;2;9;3;0;1;4;1;0;2;2;2;0;1;0;1;0;1;0;3;2;0;0;0;1;0;2;80;38;4;1;7;0;7;2;1;5;1;0;2;0;1;2;1;2;1;0;0;0;0;0;1;0;1;1;2;160;27;17;14;7;2;43;2;3;4;3;0;7;4;1;1;6;0;1;0;4;2;0;2;1;0;0;0;4;1;4;1474;248;203;58;29;10;24;12;3;4;586;12;0;10;134;27;3;3;3;1;0;7;5;0;3;4;5;1;1;14;64;117;68;10;5;5;2;3;0;5;7;0;0;2;1;0;0;2;0;1;3;2;0;0;0;1;0;0;0;0;0;0;10;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3
"060701";"gmina miejska";"m. Kraśnik";"kraśnicki";"lubelskie";25549;27331;9661;15888;38;60;2;2;0;0;0;0;2;15890;2;2;15888;209;132;77;0;15679;3553;1056;37;65;8;18;1676;4;7;3;6;1;1;1;636;3;0;0;7;2;0;2;3;3;3;0;1;0;1;4;5;822;498;46;20;32;5;31;13;20;8;8;16;18;7;4;11;7;14;7;3;6;4;1;4;15;2;3;2;17;1438;105;1020;9;18;9;32;1;4;9;6;7;10;93;7;5;3;5;4;0;6;38;2;1;4;4;13;2;5;2;14;8344;959;1569;329;115;97;27;32;22;11;56;75;25;30;4541;55;15;13;29;11;8;10;7;6;9;1;22;7;4;34;225;1394;430;132;23;27;12;10;13;590;18;20;4;18;11;5;3;12;6;7;2;4;2;1;5;0;1;7;6;4;1;20;128;30;2;4;1;3;2;14;5;7;2;13;0;0;2;3;0;0;1;4;0;3;4;4;5;1;2;4;1;4;7;23
"060702";"gmina miejsko-wiejska";"gm. Annopol";"kraśnicki";"lubelskie";6386;6979;2737;3649;11;23;0;0;0;0;0;0;0;3649;0;0;3649;64;37;27;0;3585;286;123;4;5;1;5;94;2;9;0;2;2;1;2;17;2;0;1;0;3;0;1;2;2;0;0;1;3;2;1;1;122;74;4;2;4;2;3;2;1;3;2;2;3;1;1;5;0;2;1;0;1;2;1;0;2;2;1;0;1;616;25;502;6;3;1;7;1;2;3;3;2;2;35;3;0;0;0;0;2;9;1;0;0;0;1;5;0;2;0;1;2348;346;563;60;38;15;32;15;16;18;55;12;8;17;939;25;5;0;5;4;3;13;7;2;4;2;86;0;3;19;36;184;76;25;8;6;2;2;3;34;4;1;0;3;0;1;2;0;0;0;1;3;0;0;1;0;0;0;6;3;0;3;29;8;1;0;0;1;1;2;4;0;0;4;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;2;0;1;10
"060703";"gmina wiejska";"gm. Dzierzkowice";"kraśnicki";"lubelskie";3899;4245;1564;2335;1;10;0;0;0;0;0;0;0;2335;0;0;2335;27;16;11;0;2308;192;56;6;5;0;2;79;2;6;1;1;1;0;0;27;0;0;0;0;1;2;0;0;0;0;0;0;0;2;0;1;118;76;3;3;4;0;2;5;6;1;1;0;2;2;1;2;0;2;1;0;0;0;2;1;2;0;0;0;2;382;26;293;0;3;1;5;2;2;5;2;1;1;24;1;2;2;0;0;1;0;4;0;0;0;0;4;0;1;1;1;1487;156;345;40;21;16;9;13;1;3;14;10;6;7;762;18;2;3;5;2;0;3;14;0;2;1;3;0;1;13;17;104;26;13;5;4;2;1;3;31;3;1;3;3;1;1;3;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;25;2;0;3;0;0;0;0;2;0;1;5;0;0;2;0;0;0;1;1;1;2;0;1;0;0;0;0;0;2;2;6
"060704";"gmina wiejska";"gm. Gościeradów";"kraśnicki";"lubelskie";5274;5738;2280;2994;10;15;0;0;0;0;0;0;0;2994;0;0;2994;64;46;18;0;2930;152;80;3;3;1;1;52;0;1;1;0;1;0;3;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;106;67;5;3;4;0;2;1;2;1;1;1;1;1;1;1;1;3;1;2;1;0;0;0;0;0;6;1;0;739;28;100;2;0;0;3;1;1;0;2;0;3;588;5;0;0;0;0;0;0;1;0;3;0;1;0;0;1;0;0;1822;145;267;67;20;6;11;8;14;8;37;12;12;11;1062;19;2;2;3;5;1;1;1;2;3;2;9;4;3;22;63;93;26;11;5;6;1;2;1;27;1;1;0;2;1;2;1;0;0;1;1;1;0;0;0;0;0;0;2;0;0;1;18;7;0;0;0;0;0;2;3;0;0;2;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;8
