"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof Władysław BEREZOWSKI";"Stanisław GAWŁOWSKI";"Krzysztof NIECKARZ";"Liczba obwodów"
"320901";"gmina wiejska";"gm. Będzino";"koszaliński";"zachodniopomorskie";6100;6681;2622;3478;1;9;0;0;0;0;0;0;0;3478;0;0;3478;72;15;57;0;3406;990;1106;1310;6
"320902";"gmina wiejska";"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";4874;5309;1631;3243;0;11;0;0;0;0;0;0;0;3243;0;2;3241;87;25;62;0;3154;1121;1064;969;4
"320903";"gmina miejsko-wiejska";"gm. Bobolice";"koszaliński";"zachodniopomorskie";6610;7229;3227;3383;2;21;0;0;0;0;0;0;0;3383;0;0;3383;88;17;71;0;3295;869;1015;1411;11
"320904";"gmina wiejska";"gm. Manowo";"koszaliński";"zachodniopomorskie";4706;5119;1635;3071;4;22;2;2;0;0;0;0;2;3073;2;0;3073;63;12;51;0;3010;1092;1037;881;8
"320905";"gmina miejsko-wiejska";"gm. Mielno";"koszaliński";"zachodniopomorskie";3973;4620;677;3296;4;876;0;0;0;0;0;0;0;3295;0;0;3295;69;7;62;0;3226;821;1193;1212;6
"320906";"gmina miejsko-wiejska";"gm. Polanów";"koszaliński";"zachodniopomorskie";6174;6722;3157;3017;2;16;0;0;0;0;0;0;0;3017;0;0;3017;92;22;70;0;2925;734;985;1206;9
"320907";"gmina miejsko-wiejska";"gm. Sianów";"koszaliński";"zachodniopomorskie";9870;10802;4131;5737;10;22;0;0;0;0;0;0;0;5737;0;0;5737;155;26;129;0;5582;1834;1843;1905;11
"320908";"gmina wiejska";"gm. Świeszyno";"koszaliński";"zachodniopomorskie";5320;5782;1769;3551;4;22;0;0;0;0;0;0;0;3551;0;0;3551;61;17;44;0;3490;1403;1088;999;7
"321301";"gmina miejska";"m. Darłowo";"sławieński";"zachodniopomorskie";9704;10655;3520;6185;13;237;0;0;0;0;0;0;0;6185;0;0;6185;117;19;98;0;6068;1894;2263;1911;8
"321302";"gmina miejska";"m. Sławno";"sławieński";"zachodniopomorskie";8773;9511;3421;5352;18;22;0;0;0;0;0;0;0;5352;0;0;5352;129;42;87;0;5223;1763;1535;1925;6
"321303";"gmina wiejska";"gm. Darłowo";"sławieński";"zachodniopomorskie";6049;6750;2276;3773;0;491;1;1;0;0;0;0;1;3774;1;0;3774;89;19;70;0;3685;1033;1283;1369;15
"321304";"gmina wiejska";"gm. Malechowo";"sławieński";"zachodniopomorskie";4570;5030;2134;2435;1;8;0;0;0;0;0;0;0;2435;0;0;2435;56;8;48;0;2379;632;725;1022;4
"321305";"gmina wiejska";"gm. Postomino";"sławieński";"zachodniopomorskie";4922;5553;2097;2823;1;136;0;0;0;0;0;0;0;2825;0;0;2825;78;19;59;0;2747;645;972;1130;5
"321306";"gmina wiejska";"gm. Sławno";"sławieński";"zachodniopomorskie";6140;6729;3031;3109;1;15;0;0;0;0;0;0;0;3109;0;0;3109;93;22;71;0;3016;828;936;1252;7
"321501";"gmina miejska";"m. Szczecinek";"szczecinecki";"zachodniopomorskie";27938;30183;10279;17659;31;135;3;3;0;0;0;0;3;17657;3;0;17657;555;107;448;0;17102;5616;5993;5493;24
"321502";"gmina miejsko-wiejska";"gm. Barwice";"szczecinecki";"zachodniopomorskie";6120;6665;3220;2900;0;14;0;0;0;0;0;0;0;2899;0;1;2898;76;16;60;0;2822;782;787;1253;5
"321503";"gmina miejsko-wiejska";"gm. Biały Bór";"szczecinecki";"zachodniopomorskie";3762;4125;1810;1952;1;40;0;0;0;0;0;0;0;1952;0;0;1952;56;18;38;0;1896;503;575;818;5
