"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Mikołaj BOGDANOWICZ";"Krzysztof BREJZA";"Jarosław LATAWIEC";"Mieczysław Aureliusz PIWOWAR";"Liczba obwodów"
"040701";"gmina miejska";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";53690;57871;17790;35900;48;809;1;1;0;0;0;0;1;35897;1;1;35896;477;170;307;0;35419;11140;20808;2075;1396;51
"040702";"gmina wiejska";"gm. Dąbrowa Biskupia";"inowrocławski";"kujawsko-pomorskie";3687;3975;1815;1872;5;13;0;0;0;0;0;0;0;1872;0;0;1872;24;2;22;0;1848;931;719;105;93;7
"040703";"gmina miejsko-wiejska";"gm. Gniewkowo";"inowrocławski";"kujawsko-pomorskie";10168;11111;4330;5837;7;34;1;1;1;0;0;0;0;5837;0;0;5837;66;10;56;0;5771;2510;2452;532;277;15
"040704";"gmina wiejska";"gm. Inowrocław";"inowrocławski";"kujawsko-pomorskie";8510;9343;3229;5280;3;13;0;0;0;0;0;0;0;5279;0;0;5279;74;23;51;0;5205;2177;2387;402;239;11
"040705";"gmina miejsko-wiejska";"gm. Janikowo";"inowrocławski";"kujawsko-pomorskie";9592;10461;3784;5808;3;18;0;0;0;0;0;0;0;5807;0;0;5807;86;19;67;0;5721;2372;2566;454;329;10
"040706";"gmina miejsko-wiejska";"gm. Kruszwica";"inowrocławski";"kujawsko-pomorskie";13795;15428;5618;8177;10;35;0;0;0;0;0;0;0;8177;0;0;8177;82;19;63;0;8095;4480;2946;424;245;22
"040707";"gmina miejsko-wiejska";"gm. Pakość";"inowrocławski";"kujawsko-pomorskie";7002;7711;2728;4274;7;8;0;0;0;0;0;0;0;4274;0;0;4274;69;16;53;0;4205;1707;1936;355;207;11
"040708";"gmina wiejska";"gm. Rojewo";"inowrocławski";"kujawsko-pomorskie";3801;3626;1977;1824;2;7;0;0;0;0;0;0;0;1823;0;0;1823;32;2;30;0;1791;921;615;149;106;6
"040709";"gmina wiejska";"gm. Złotniki Kujawskie";"inowrocławski";"kujawsko-pomorskie";6531;7169;2685;3845;1;18;0;0;0;0;0;0;0;3846;0;0;3846;56;12;44;0;3790;1668;1613;284;225;10
"040901";"gmina wiejska";"gm. Dąbrowa";"mogileński";"kujawsko-pomorskie";3280;3639;1431;1849;1;7;0;0;0;0;0;0;0;1849;0;0;1849;36;8;28;0;1813;835;698;156;124;6
"040902";"gmina wiejska";"gm. Jeziora Wielkie";"mogileński";"kujawsko-pomorskie";3548;3819;1609;1939;1;9;0;0;0;0;0;0;0;1939;0;0;1939;47;13;34;0;1892;1048;640;102;102;7
"040903";"gmina miejsko-wiejska";"gm. Mogilno";"mogileński";"kujawsko-pomorskie";17882;19548;6819;11063;12;37;3;3;0;0;0;0;3;11065;3;0;11065;149;24;125;0;10916;4322;5060;912;622;18
"040904";"gmina miejsko-wiejska";"gm. Strzelno";"mogileński";"kujawsko-pomorskie";8519;9441;3559;4960;4;29;0;0;0;0;0;0;0;4960;0;0;4960;78;19;59;0;4882;2249;2127;297;209;11
"041001";"gmina miejsko-wiejska";"gm. Kcynia";"nakielski";"kujawsko-pomorskie";9383;10300;4065;5318;12;16;0;0;0;0;0;0;0;5318;0;0;5318;111;29;82;0;5207;2472;1908;497;330;13
"041002";"gmina miejsko-wiejska";"gm. Mrocza";"nakielski";"kujawsko-pomorskie";6311;6960;2812;3499;2;11;0;0;0;0;0;0;0;3498;0;0;3498;71;11;60;0;3427;1553;1285;344;245;11
"041003";"gmina miejsko-wiejska";"gm. Nakło nad Notecią";"nakielski";"kujawsko-pomorskie";23040;24864;8811;14228;20;50;2;2;0;0;0;0;2;14227;2;0;14227;210;41;169;0;14017;5356;6369;1287;1005;25
"041004";"gmina wiejska";"gm. Sadki";"nakielski";"kujawsko-pomorskie";5048;5551;2137;2911;3;15;0;0;0;0;0;0;0;2911;0;0;2911;38;9;29;0;2873;1373;1045;256;199;10
"041005";"gmina miejsko-wiejska";"gm. Szubin";"nakielski";"kujawsko-pomorskie";16907;18667;6472;10435;9;57;0;0;0;0;0;0;0;10434;0;0;10434;161;35;126;0;10273;3815;4733;1034;691;20
"041301";"gmina miejsko-wiejska";"gm. Kamień Krajeński";"sępoleński";"kujawsko-pomorskie";4922;5319;2261;2661;2;18;0;0;0;0;0;0;0;2661;0;0;2661;56;9;47;0;2605;1154;997;262;192;8
"041302";"gmina miejsko-wiejska";"gm. Sępólno Krajeńskie";"sępoleński";"kujawsko-pomorskie";11072;12155;4436;6636;9;26;0;0;0;0;0;0;0;6635;0;0;6635;105;12;93;0;6530;2619;2962;520;429;15
"041303";"gmina wiejska";"gm. Sośno";"sępoleński";"kujawsko-pomorskie";3498;3839;1688;1810;4;9;0;0;0;0;0;0;0;1810;0;0;1810;47;7;40;0;1763;908;570;171;114;5
"041304";"gmina miejsko-wiejska";"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";9373;10157;4201;5172;10;37;1;1;0;0;0;0;1;5172;1;0;5172;91;18;73;0;5081;2366;1977;399;339;14
"041901";"gmina miejsko-wiejska";"gm. Barcin";"żniński";"kujawsko-pomorskie";10258;11204;4032;6226;8;19;5;5;0;0;0;0;5;6230;5;0;6230;111;22;89;0;6119;2119;3090;516;394;15
"041902";"gmina wiejska";"gm. Gąsawa";"żniński";"kujawsko-pomorskie";3749;4214;1369;2380;4;18;0;0;0;0;0;0;0;2380;0;0;2380;56;6;50;0;2324;1150;928;132;114;6
"041903";"gmina miejsko-wiejska";"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";6455;7012;2696;3759;5;19;0;0;0;0;0;0;0;3759;0;0;3759;89;11;78;0;3670;1678;1466;283;243;14
"041904";"gmina miejsko-wiejska";"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";7014;7783;2809;4205;1;13;0;0;0;0;0;0;0;4204;0;0;4204;68;16;52;0;4136;1794;1697;377;268;12
"041905";"gmina wiejska";"gm. Rogowo";"żniński";"kujawsko-pomorskie";4806;5346;1860;2946;3;11;0;0;0;0;0;0;0;2946;0;0;2946;68;14;54;0;2878;1331;1123;228;196;7
"041906";"gmina miejsko-wiejska";"gm. Żnin";"żniński";"kujawsko-pomorskie";17484;18932;6772;10712;10;36;0;0;0;0;0;0;0;10710;0;0;10710;202;48;154;0;10508;4788;4337;824;559;23
