"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz CZELEJ";"Paweł Adam GÓRNIK";"Krzysztof Zbigniew KAMIŃSKI";"Liczba obwodów"
"060501";"gmina wiejska";"gm. Batorz";"janowski";"lubelskie";2441;2634;798;1643;5;2;0;0;0;0;0;0;0;1643;0;0;1643;47;13;34;0;1596;1277;105;214;4
"060502";"gmina wiejska";"gm. Chrzanów";"janowski";"lubelskie";2187;2396;647;1540;4;7;0;0;0;0;0;0;0;1540;0;0;1540;23;8;15;0;1517;1300;99;118;4
"060503";"gmina wiejska";"gm. Dzwola";"janowski";"lubelskie";4730;5091;1614;3116;13;15;0;0;0;0;0;0;0;3116;0;0;3116;65;25;40;0;3051;2539;262;250;5
"060504";"gmina wiejska";"gm. Godziszów";"janowski";"lubelskie";4327;4711;1059;3267;28;11;0;0;0;0;0;0;0;3267;0;0;3267;72;35;37;0;3195;2776;176;243;5
"060505";"gmina miejsko-wiejska";"gm. Janów Lubelski";"janowski";"lubelskie";11939;12784;4232;7706;14;52;0;0;0;0;0;0;0;7703;0;0;7703;162;62;100;0;7541;5112;568;1861;11
"060506";"gmina miejsko-wiejska";"gm. Modliborzyce";"janowski";"lubelskie";5216;5660;2137;3079;13;18;0;0;0;0;0;0;0;3079;0;0;3079;63;12;51;0;3016;2167;248;601;6
"060507";"gmina wiejska";"gm. Potok Wielki";"janowski";"lubelskie";3486;3812;1505;1981;7;10;0;0;0;0;0;0;0;1981;0;0;1981;48;10;38;0;1933;1424;161;348;3
"060701";"gmina miejska";"m. Kraśnik";"kraśnicki";"lubelskie";25466;27331;9578;15888;38;61;2;2;0;0;0;0;2;15887;2;1;15886;425;133;292;0;15461;8297;1388;5776;23
"060702";"gmina miejsko-wiejska";"gm. Annopol";"kraśnicki";"lubelskie";6399;6979;2750;3649;11;23;0;0;0;0;0;0;0;3649;0;0;3649;96;25;71;0;3553;2351;312;890;10
"060703";"gmina wiejska";"gm. Dzierzkowice";"kraśnicki";"lubelskie";3911;4245;1576;2335;1;10;0;0;0;0;0;0;0;2335;0;0;2335;58;17;41;0;2277;1509;213;555;6
