"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz Michał BIERECKI";"Sławomir Antoni SOSNOWSKI";"Liczba obwodów"
"060101";"gmina miejska";"m. Międzyrzec Podlaski";"bialski";"lubelskie";12247;13259;4253;7994;13;50;1;1;1;0;0;0;0;7991;0;0;7991;261;82;179;0;7730;4781;2949;11
"060102";"gmina miejska";"m. Terespol";"bialski";"lubelskie";4160;4441;1512;2648;2;16;1;1;0;0;0;0;1;2646;1;0;2646;86;23;63;0;2560;1365;1195;3
"060103";"gmina wiejska";"gm. Biała Podlaska";"bialski";"lubelskie";10223;11172;3470;6753;6;57;0;0;0;0;0;0;0;6753;0;0;6753;186;52;134;0;6567;3670;2897;15
"060104";"gmina wiejska";"gm. Drelów";"bialski";"lubelskie";3933;4228;1689;2244;4;7;0;0;0;0;0;0;0;2244;0;0;2244;80;13;67;0;2164;1436;728;5
"060105";"gmina wiejska";"gm. Janów Podlaski";"bialski";"lubelskie";3800;4289;1366;2434;8;136;0;0;0;0;0;0;0;2433;0;0;2433;65;20;45;0;2368;1377;991;5
"060106";"gmina wiejska";"gm. Kodeń";"bialski";"lubelskie";2845;3062;1156;1689;5;36;0;0;0;0;0;0;0;1689;0;0;1689;61;9;52;0;1628;941;687;6
"060107";"gmina wiejska";"gm. Konstantynów";"bialski";"lubelskie";3012;3281;1158;1854;4;58;0;0;0;0;0;0;0;1854;0;0;1854;55;11;44;0;1799;1051;748;5
"060108";"gmina wiejska";"gm. Leśna Podlaska";"bialski";"lubelskie";3113;3422;1199;1914;4;9;1;1;0;0;0;0;1;1915;1;0;1915;63;16;47;0;1852;1279;573;4
"060109";"gmina wiejska";"gm. Łomazy";"bialski";"lubelskie";3762;4084;1489;2273;5;21;0;0;0;0;0;0;0;2272;0;0;2272;63;21;42;0;2209;1361;848;7
"060110";"gmina wiejska";"gm. Międzyrzec Podlaski";"bialski";"lubelskie";7411;8143;2602;4809;2;30;0;0;0;0;0;0;0;4808;0;0;4808;137;42;95;0;4671;3321;1350;12
