"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Konrad Stanisław RĘKAS";"Rafał Artur STACHURA";"Józef ZAJĄC";"Liczba obwodów"
"060301";"gmina miejska";"m. Rejowiec Fabryczny";"chełmski";"lubelskie";3289;3611;1566;1723;5;6;0;0;0;0;0;0;0;1723;0;0;1723;34;9;25;0;1689;152;452;1085;3
"060302";"gmina wiejska";"gm. Białopole";"chełmski";"lubelskie";2199;2407;1104;1095;1;2;0;0;0;0;0;0;0;1095;0;0;1095;28;2;26;0;1067;82;243;742;3
"060303";"gmina wiejska";"gm. Chełm";"chełmski";"lubelskie";10480;11518;4331;6149;1;26;0;0;0;0;0;0;0;6147;0;0;6147;103;25;78;0;6044;420;1585;4039;18
"060304";"gmina wiejska";"gm. Dorohusk";"chełmski";"lubelskie";4720;5137;2086;2634;1;12;0;0;0;0;0;0;0;2634;0;0;2634;65;13;52;0;2569;195;534;1840;7
"060305";"gmina wiejska";"gm. Dubienka";"chełmski";"lubelskie";1819;1974;865;954;3;11;0;0;0;0;0;0;0;954;0;0;954;25;9;16;0;929;91;288;550;3
"060306";"gmina wiejska";"gm. Kamień";"chełmski";"lubelskie";3020;3337;1389;1631;3;8;0;0;0;0;0;0;0;1631;0;0;1631;31;10;21;0;1600;124;339;1137;5
"060307";"gmina wiejska";"gm. Leśniowice";"chełmski";"lubelskie";2770;3049;1434;1336;5;10;0;0;0;0;0;0;0;1336;0;0;1336;26;6;20;0;1310;88;339;883;5
"060308";"gmina wiejska";"gm. Rejowiec Fabryczny";"chełmski";"lubelskie";3140;3436;1537;1603;0;3;0;0;0;0;0;0;0;1601;0;0;1601;29;6;23;0;1572;109;292;1171;4
"060309";"gmina wiejska";"gm. Ruda-Huta";"chełmski";"lubelskie";3300;3612;1460;1840;2;6;0;0;0;0;0;0;0;1840;0;0;1840;64;4;60;0;1776;165;439;1172;5
"060310";"gmina wiejska";"gm. Sawin";"chełmski";"lubelskie";4080;4457;1961;2119;2;9;0;0;0;0;0;0;0;2119;0;0;2119;36;6;30;0;2083;192;534;1357;6
