"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Mieczysław CHRÓŚCIKOWSKI";"Marcin DYBOWSKI";"Józef Jan KUROPATWA";"Liczba obwodów"
"060201";"gmina miejska";"m. Biłgoraj";"biłgorajski";"lubelskie";19499;20910;6917;12582;17;91;1;1;0;0;0;0;1;12582;1;0;12582;322;107;215;0;12260;6342;1498;4420;14
"060202";"gmina wiejska";"gm. Aleksandrów";"biłgorajski";"lubelskie";2350;2585;888;1462;1;20;0;0;0;0;0;0;0;1462;0;0;1462;26;2;24;0;1436;1049;125;262;4
"060203";"gmina wiejska";"gm. Biłgoraj";"biłgorajski";"lubelskie";9737;10423;3727;6010;9;17;0;0;0;0;0;0;0;6010;0;0;6010;161;25;136;0;5849;4001;495;1353;15
"060204";"gmina wiejska";"gm. Biszcza";"biłgorajski";"lubelskie";2864;3089;1178;1686;5;5;0;0;0;0;0;0;0;1686;0;0;1686;21;4;17;0;1665;1178;131;356;4
"060205";"gmina miejsko-wiejska";"gm. Frampol";"biłgorajski";"lubelskie";4638;5018;1923;2715;0;15;0;0;0;0;0;0;0;2715;0;0;2715;44;9;35;0;2671;1830;301;540;9
"060206";"gmina wiejska";"gm. Goraj";"biłgorajski";"lubelskie";3117;3416;1266;1851;6;14;0;0;0;0;0;0;0;1851;0;0;1851;49;13;36;0;1802;1342;174;286;5
"060207";"gmina miejsko-wiejska";"gm. Józefów";"biłgorajski";"lubelskie";5231;5684;2399;2832;9;33;0;0;0;0;0;0;0;2832;0;0;2832;58;22;36;0;2774;1675;282;817;8
"060208";"gmina wiejska";"gm. Księżpol";"biłgorajski";"lubelskie";5000;5481;1976;3024;4;6;0;0;0;0;0;0;0;3024;0;0;3024;76;15;61;0;2948;2126;254;568;5
"060209";"gmina wiejska";"gm. Łukowa";"biłgorajski";"lubelskie";3188;3430;1283;1905;0;24;0;0;0;0;0;0;0;1904;0;0;1904;18;10;8;0;1886;1450;117;319;3
"060210";"gmina wiejska";"gm. Obsza";"biłgorajski";"lubelskie";3164;3470;1317;1847;2;16;0;0;0;0;0;0;0;1847;0;0;1847;51;9;42;0;1796;1378;113;305;4
