"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOZAKIEWICZ";"Piotr ROMAN";"Rafał Józef ŚLUSARZ";"Liczba obwodów"
"020101";"gmina miejska";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";27896;29895;9694;18201;17;96;4;4;0;1;0;0;3;18194;3;2;18192;264;74;190;0;17928;4793;8709;4426;24
"020102";"gmina wiejska";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";10197;11171;3880;6317;0;32;0;0;0;0;0;0;0;6317;0;0;6317;95;21;74;0;6222;1538;2440;2244;11
"020103";"gmina wiejska";"gm. Gromadka";"bolesławiecki";"dolnośląskie";3997;4306;1723;2274;1;8;0;0;0;0;0;0;0;2274;0;0;2274;53;11;42;0;2221;462;674;1085;4
"020104";"gmina miejsko-wiejska";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";10673;11683;4973;5700;1;24;0;0;0;0;0;0;0;5700;0;0;5700;115;28;87;0;5585;1221;1812;2552;12
"020105";"gmina wiejska";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";4898;5392;2205;2693;0;36;0;0;0;0;0;0;0;2693;0;0;2693;50;13;37;0;2643;786;830;1027;7
"020106";"gmina wiejska";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";6095;6651;2668;3426;3;10;0;0;0;0;0;0;0;3427;0;1;3426;59;12;47;0;3367;769;1169;1429;6
"021001";"gmina miejska";"m. Lubań";"lubański";"dolnośląskie";15152;16625;5698;9454;13;84;0;0;0;0;0;0;0;9454;0;0;9454;166;33;133;0;9288;4383;1613;3292;10
"021002";"gmina miejska";"m. Świeradów-Zdrój";"lubański";"dolnośląskie";3182;3660;1000;2182;3;345;0;0;0;0;0;0;0;2182;0;0;2182;48;3;45;0;2134;1053;294;787;5
"021003";"gmina miejsko-wiejska";"gm. Leśna";"lubański";"dolnośląskie";6998;7858;2993;4005;8;76;0;0;0;0;0;0;0;4005;0;0;4005;87;29;58;0;3918;1686;612;1620;8
"021004";"gmina wiejska";"gm. Lubań";"lubański";"dolnośląskie";4700;5109;2028;2672;0;14;0;0;0;0;0;0;0;2672;0;0;2672;42;5;37;0;2630;1033;475;1122;8
"021005";"gmina miejsko-wiejska";"gm. Olszyna";"lubański";"dolnośląskie";4697;5132;2081;2616;4;12;0;0;0;0;0;0;0;2615;0;0;2615;60;23;37;0;2555;1124;381;1050;4
