"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert DOWHAN";"Zbigniew KOŚCIK";"Liczba obwodów"
"080201";"gmina miejska";"m. Gubin";"krośnieński";"lubuskie";11658;12640;4684;6974;8;57;1;1;0;0;0;0;1;6975;1;0;6975;254;50;204;0;6721;4824;1897;10
"080202";"gmina wiejska";"gm. Bobrowice";"krośnieński";"lubuskie";2340;2545;1048;1292;1;9;0;0;0;0;0;0;0;1292;0;0;1292;52;5;47;0;1240;719;521;3
"080203";"gmina wiejska";"gm. Bytnica";"krośnieński";"lubuskie";1800;1962;949;851;1;12;0;0;0;0;0;0;0;851;0;3;848;19;3;16;0;829;448;381;2
"080204";"gmina wiejska";"gm. Dąbie";"krośnieński";"lubuskie";3540;3934;1488;2052;1;9;0;0;0;0;0;0;0;2052;0;0;2052;94;20;74;0;1958;1147;811;7
"080205";"gmina wiejska";"gm. Gubin";"krośnieński";"lubuskie";5260;5726;2562;2698;4;16;0;0;0;0;0;0;0;2698;0;0;2698;105;22;83;0;2593;1528;1065;12
"080206";"gmina miejsko-wiejska";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";12778;13878;4889;7889;5;46;0;0;0;0;0;0;0;7887;0;0;7887;286;72;214;0;7601;4958;2643;14
"080207";"gmina wiejska";"gm. Maszewo";"krośnieński";"lubuskie";2050;2234;1002;1048;0;4;0;0;0;0;0;0;0;1048;0;0;1048;37;7;30;0;1011;518;493;2
"080801";"gmina wiejska";"gm. Lubrza";"świebodziński";"lubuskie";2550;2796;1055;1495;1;21;0;0;0;0;0;0;0;1494;0;0;1494;50;5;45;0;1444;845;599;2
"080802";"gmina wiejska";"gm. Łagów";"świebodziński";"lubuskie";3680;4031;1602;2078;4;41;0;0;0;0;0;0;0;2077;0;0;2077;87;15;72;0;1990;1180;810;3
"080803";"gmina wiejska";"gm. Skąpe";"świebodziński";"lubuskie";3685;4026;1597;2087;0;23;1;1;0;0;0;0;1;2089;1;0;2089;78;16;62;0;2011;1201;810;4
