"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOMARNICKI";"Janusz MAKSYMOWICZ";"Marek Tomasz SURMACZ";"Anna SYNOWIEC";"Liczba obwodów"
"080101";"gmina miejska";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";12117;13248;4079;8037;5;39;0;0;0;0;0;0;0;8038;0;1;8037;165;35;130;0;7872;3733;338;1956;1845;17
"080102";"gmina wiejska";"gm. Bogdaniec";"gorzowski";"lubuskie";4940;5428;1832;3108;4;8;1;1;0;0;0;0;1;3107;1;0;3107;32;8;24;0;3075;1094;133;975;873;5
"080103";"gmina wiejska";"gm. Deszczno";"gorzowski";"lubuskie";6760;7421;2570;4190;4;20;0;0;0;0;0;0;0;4189;0;2;4187;60;18;42;0;4127;1447;211;1331;1138;5
"080104";"gmina wiejska";"gm. Kłodawa";"gorzowski";"lubuskie";6019;6529;1726;4293;3;49;0;0;0;0;0;0;0;4292;0;1;4291;83;26;57;0;4208;1675;197;1007;1329;8
"080105";"gmina wiejska";"gm. Lubiszyn";"gorzowski";"lubuskie";4830;5366;2159;2671;2;7;0;0;0;0;0;0;0;2671;0;0;2671;52;16;36;0;2619;991;148;774;706;7
"080106";"gmina wiejska";"gm. Santok";"gorzowski";"lubuskie";6100;6684;2402;3698;2;14;0;0;0;0;0;0;0;3698;0;0;3698;69;19;50;0;3629;1182;139;1017;1291;8
"080107";"gmina miejsko-wiejska";"gm. Witnica";"gorzowski";"lubuskie";9011;9802;4029;4982;3;34;0;0;0;0;0;0;0;4980;0;0;4980;81;22;59;0;4899;1947;173;1493;1286;11
"080301";"gmina wiejska";"gm. Bledzew";"międzyrzecki";"lubuskie";3150;3467;1389;1761;0;9;0;0;0;0;0;0;0;1761;0;0;1761;35;5;30;0;1726;803;73;561;289;6
"080302";"gmina miejsko-wiejska";"gm. Międzyrzecz";"międzyrzecki";"lubuskie";18297;19717;6861;11436;9;82;0;0;0;0;0;0;0;11436;0;0;11436;194;44;150;0;11242;5351;508;3117;2266;19
"080303";"gmina wiejska";"gm. Przytoczna";"międzyrzecki";"lubuskie";3977;4392;1680;2294;2;15;0;0;0;0;0;0;0;2294;0;30;2264;63;21;42;0;2201;969;105;640;487;7
