"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Przemysław Jacek BŁASZCZYK";"Krzysztof Mariusz DEBICH";"Dariusz Andrzej PIGŁOWSKI";"Liczba obwodów"
"100201";"gmina miejska";"m. Kutno";"kutnowski";"łódzkie";33006;35659;11395;21610;34;89;7;7;0;0;0;0;7;21606;7;0;21606;492;135;357;0;21114;9596;9062;2456;29
"100202";"gmina wiejska";"gm. Bedlno";"kutnowski";"łódzkie";4125;4537;1718;2407;0;24;0;0;0;0;0;0;0;2405;0;0;2405;52;11;41;0;2353;1586;548;219;7
"100203";"gmina wiejska";"gm. Dąbrowice";"kutnowski";"łódzkie";1442;1610;569;873;3;7;0;0;0;0;0;0;0;873;0;0;873;16;4;12;0;857;597;206;54;4
"100204";"gmina miejsko-wiejska";"gm. Krośniewice";"kutnowski";"łódzkie";6162;6723;2719;3443;10;11;0;0;0;0;0;0;0;3443;0;0;3443;85;17;68;0;3358;2050;1000;308;9
"100205";"gmina wiejska";"gm. Krzyżanów";"kutnowski";"łódzkie";3119;3410;1320;1799;3;6;0;0;0;0;0;0;0;1798;0;0;1798;45;14;31;0;1753;1174;420;159;4
"100206";"gmina wiejska";"gm. Kutno";"kutnowski";"łódzkie";6385;6946;2452;3933;1;15;0;0;0;0;0;0;0;3933;0;0;3933;84;24;60;0;3849;2218;1230;401;8
"100207";"gmina wiejska";"gm. Łanięta";"kutnowski";"łódzkie";1736;1907;853;883;0;0;0;0;0;0;0;0;0;883;0;0;883;25;6;19;0;858;594;210;54;3
"100208";"gmina wiejska";"gm. Nowe Ostrowy";"kutnowski";"łódzkie";2610;2844;1170;1440;0;0;0;0;0;0;0;0;0;1440;0;0;1440;27;7;20;0;1413;865;413;135;4
"100209";"gmina wiejska";"gm. Oporów";"kutnowski";"łódzkie";1871;2038;759;1112;1;2;0;0;0;0;0;0;0;1112;0;0;1112;37;9;28;0;1075;778;197;100;2
"100210";"gmina wiejska";"gm. Strzelce";"kutnowski";"łódzkie";2908;3182;1226;1682;3;4;0;0;0;0;0;0;0;1682;0;0;1682;32;4;28;0;1650;1125;397;128;4
"100211";"gmina miejsko-wiejska";"gm. Żychlin";"kutnowski";"łódzkie";8886;9654;3840;5046;11;11;0;0;0;0;0;0;0;5046;0;0;5046;122;44;78;0;4924;2589;1855;480;9
"100401";"gmina miejska";"m. Łęczyca";"łęczycki";"łódzkie";10578;11398;3925;6653;5;19;0;0;0;0;0;0;0;6653;0;0;6653;157;56;101;0;6496;2778;3096;622;12
"100402";"gmina wiejska";"gm. Daszyna";"łęczycki";"łódzkie";2935;3216;1350;1585;1;3;0;0;0;0;0;0;0;1585;0;0;1585;47;18;29;0;1538;1038;348;152;2
"100403";"gmina wiejska";"gm. Góra Świętej Małgorzaty";"łęczycki";"łódzkie";3273;3560;1299;1974;3;1;0;0;0;0;0;0;0;1974;0;0;1974;37;13;24;0;1937;1520;306;111;6
"100404";"gmina wiejska";"gm. Grabów";"łęczycki";"łódzkie";4470;4922;2012;2458;7;10;0;0;0;0;0;0;0;2458;0;0;2458;49;10;39;0;2409;1717;523;169;7
"100405";"gmina wiejska";"gm. Łęczyca";"łęczycki";"łódzkie";7153;7612;3110;4043;2;9;0;0;0;0;0;0;0;4043;0;0;4043;90;27;63;0;3953;2639;967;347;9
"100406";"gmina miejsko-wiejska";"gm. Piątek";"łęczycki";"łódzkie";4438;4874;1633;2805;3;12;0;0;0;0;0;0;0;2805;0;0;2805;36;12;24;0;2769;1978;611;180;5
"100407";"gmina wiejska";"gm. Świnice Warckie";"łęczycki";"łódzkie";2827;3211;1121;1706;0;11;0;0;0;0;0;0;0;1705;0;0;1705;44;7;37;0;1661;1157;367;137;4
"100408";"gmina wiejska";"gm. Witonia";"łęczycki";"łódzkie";2458;2689;1005;1453;1;4;0;0;0;0;0;0;0;1451;0;0;1451;27;10;17;0;1424;1019;292;113;4
"100501";"gmina miejska";"m. Łowicz";"łowicki";"łódzkie";21353;23140;6917;14432;5;92;1;1;0;0;0;0;1;14435;1;0;14435;406;135;271;0;14029;6736;5963;1330;23
"100502";"gmina wiejska";"gm. Bielawy";"łowicki";"łódzkie";4106;4518;1605;2501;1;19;0;0;0;0;0;0;0;2501;0;0;2501;83;14;69;0;2418;1611;573;234;8
"100503";"gmina wiejska";"gm. Chąśno";"łowicki";"łódzkie";2201;2417;795;1406;0;4;0;0;0;0;0;0;0;1406;0;0;1406;36;8;28;0;1370;975;251;144;3
"100504";"gmina wiejska";"gm. Domaniewice";"łowicki";"łódzkie";3336;3671;1201;2135;1;4;0;0;0;0;0;0;0;2135;0;0;2135;55;19;36;0;2080;1429;447;204;3
"100505";"gmina wiejska";"gm. Kiernozia";"łowicki";"łódzkie";2532;2753;1027;1505;4;1;0;0;0;0;0;0;0;1505;0;0;1505;45;16;29;0;1460;1053;302;105;3
"100506";"gmina wiejska";"gm. Kocierzew Południowy";"łowicki";"łódzkie";3108;3444;1026;2082;0;5;0;0;0;0;0;0;0;2080;0;0;2080;80;18;62;0;2000;1569;295;136;3
"100507";"gmina wiejska";"gm. Łowicz";"łowicki";"łódzkie";5580;6193;1890;3689;0;4;0;0;0;0;0;0;0;3689;0;0;3689;92;17;75;0;3597;2315;962;320;8
"100508";"gmina wiejska";"gm. Łyszkowice";"łowicki";"łódzkie";4824;5311;1977;2847;1;6;0;0;0;0;0;0;0;2846;0;0;2846;75;17;58;0;2771;1972;570;229;8
"100509";"gmina wiejska";"gm. Nieborów";"łowicki";"łódzkie";6848;7532;2159;4689;1;24;0;0;0;0;0;0;0;4688;0;0;4688;117;27;90;0;4571;2969;1238;364;8
"100510";"gmina wiejska";"gm. Zduny";"łowicki";"łódzkie";4222;4612;1494;2728;0;8;0;0;0;0;0;0;0;2728;0;0;2728;99;9;90;0;2629;1626;751;252;4
"101101";"gmina wiejska";"gm. Dalików";"poddębicki";"łódzkie";2850;3162;976;1874;4;11;0;0;0;0;0;0;0;1874;0;0;1874;48;11;37;0;1826;1094;542;190;5
"101102";"gmina wiejska";"gm. Pęczniew";"poddębicki";"łódzkie";2606;2881;914;1692;4;30;0;0;0;0;0;0;0;1692;0;2;1690;40;7;33;0;1650;1049;474;127;5
"101103";"gmina miejsko-wiejska";"gm. Poddębice";"poddębicki";"łódzkie";11488;12513;4005;7483;4;35;0;0;0;0;0;0;0;7482;0;2;7480;192;51;141;0;7288;3433;2798;1057;19
"101104";"gmina miejsko-wiejska";"gm. Uniejów";"poddębicki";"łódzkie";5219;5929;1675;3544;0;93;0;0;0;0;0;0;0;3543;0;0;3543;103;13;90;0;3440;2160;962;318;6
"101105";"gmina wiejska";"gm. Wartkowice";"poddębicki";"łódzkie";4601;5036;1993;2608;1;7;0;0;0;0;0;0;0;2608;0;0;2608;81;15;66;0;2527;1556;615;356;10
"101106";"gmina wiejska";"gm. Zadzim";"poddębicki";"łódzkie";3777;4147;1401;2376;2;24;0;0;0;0;0;0;0;2376;0;0;2376;78;17;61;0;2298;1433;591;274;6
