"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jakub Jan FILIPOWICZ";"Krzysztof Stefan HABURA";"Maciej Adam ŁUCZAK";"Liczba obwodów"
"100301";"gmina wiejska";"gm. Buczek";"łaski";"łódzkie";3649;4040;1194;2457;0;8;0;0;0;0;0;0;0;2457;0;0;2457;49;11;38;0;2408;395;605;1408;5
"100302";"gmina miejsko-wiejska";"gm. Łask";"łaski";"łódzkie";20205;22197;6347;13854;15;54;2;2;0;0;0;0;2;13853;2;9;13844;303;81;222;0;13541;2259;5146;6136;18
"100303";"gmina wiejska";"gm. Sędziejowice";"łaski";"łódzkie";4729;5175;1666;3063;0;16;0;0;0;0;0;0;0;3063;0;0;3063;59;15;44;0;3004;459;704;1841;7
"100304";"gmina wiejska";"gm. Widawa";"łaski";"łódzkie";5618;6240;2024;3594;7;31;0;0;0;0;0;0;0;3594;0;0;3594;85;20;65;0;3509;466;716;2327;7
"100305";"gmina wiejska";"gm. Wodzierady";"łaski";"łódzkie";2520;2807;745;1775;4;25;0;0;0;0;0;0;0;1774;0;0;1774;37;6;31;0;1737;268;586;883;2
"100801";"gmina miejska";"m. Konstantynów Łódzki";"pabianicki";"łódzkie";13220;14525;3683;9537;5;48;0;0;0;0;0;0;0;9533;0;0;9533;181;40;141;0;9352;1549;4250;3553;14
"100802";"gmina miejska";"m. Pabianice";"pabianicki";"łódzkie";46657;51065;12692;33965;83;125;3;3;0;0;0;0;3;33921;3;15;33906;634;144;490;0;33272;4323;16664;12285;29
"100803";"gmina wiejska";"gm. Dłutów";"pabianicki";"łódzkie";3375;3711;1009;2366;2;16;1;1;0;0;0;0;1;2367;1;0;2367;34;10;24;0;2333;254;824;1255;4
"100804";"gmina wiejska";"gm. Dobroń";"pabianicki";"łódzkie";5518;6080;1510;4008;10;16;0;0;0;0;0;0;0;4008;0;0;4008;70;19;51;0;3938;558;1627;1753;6
"100805";"gmina wiejska";"gm. Ksawerów";"pabianicki";"łódzkie";5508;6063;1326;4179;3;24;0;0;0;0;0;0;0;4181;0;2;4179;76;24;52;0;4103;664;1895;1544;7
"100806";"gmina wiejska";"gm. Lutomiersk";"pabianicki";"łódzkie";6055;6724;1752;4303;9;25;0;0;0;0;0;0;0;4302;0;0;4302;71;18;53;0;4231;606;1761;1864;6
"100807";"gmina wiejska";"gm. Pabianice";"pabianicki";"łódzkie";5134;5682;1086;4045;2;15;0;0;0;0;0;0;0;4046;0;0;4046;54;19;35;0;3992;534;1602;1856;5
"102001";"gmina miejska";"m. Głowno";"zgierski";"łódzkie";10612;11515;3777;6835;7;29;0;0;0;0;0;0;0;6833;0;0;6833;151;45;106;0;6682;1207;2735;2740;11
"102002";"gmina miejska";"m. Ozorków";"zgierski";"łódzkie";13798;15122;4738;9060;14;26;0;0;0;0;0;0;0;9060;0;0;9060;194;43;151;0;8866;1662;3218;3986;16
"102003";"gmina miejska";"m. Zgierz";"zgierski";"łódzkie";40511;44295;11369;29137;33;98;4;4;0;0;0;0;4;29136;4;1;29135;571;115;456;0;28564;7611;10582;10371;40
"102004";"gmina miejsko-wiejska";"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";22363;24625;5400;16960;18;70;1;1;0;0;0;0;1;16961;1;24;16937;336;70;266;0;16601;2651;8175;5775;13
"102005";"gmina wiejska";"gm. Głowno";"zgierski";"łódzkie";3529;3909;1257;2272;3;6;0;0;0;0;0;0;0;2272;0;0;2272;46;13;33;0;2226;362;405;1459;6
"102006";"gmina wiejska";"gm. Ozorków";"zgierski";"łódzkie";5153;5711;1424;3729;4;22;0;0;0;0;0;0;0;3728;0;0;3728;78;18;60;0;3650;559;1001;2090;7
"102007";"gmina wiejska";"gm. Parzęczew";"zgierski";"łódzkie";3756;4119;1200;2556;1;19;0;0;0;0;0;0;0;2556;0;0;2556;45;6;39;0;2511;485;807;1219;9
"102008";"gmina miejsko-wiejska";"gm. Stryków";"zgierski";"łódzkie";9222;10035;2600;6621;7;27;0;0;0;0;0;0;0;6618;0;0;6618;129;28;101;0;6489;1256;2396;2837;10
"102009";"gmina wiejska";"gm. Zgierz";"zgierski";"łódzkie";10536;11591;2644;7886;6;40;1;0;0;0;0;0;0;7879;0;0;7879;144;36;108;0;7735;1385;2971;3379;9
