"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maciej Józef KOŹBIAŁ";"Andrzej Michał PAJĄK";"Liczba obwodów"
"120301";"gmina miejsko-wiejska";"gm. Alwernia";"chrzanowski";"małopolskie";9210;10123;2948;6257;3;46;0;0;0;0;0;0;0;6252;0;0;6252;203;54;149;0;6049;2693;3356;8
"120302";"gmina wiejska";"gm. Babice";"chrzanowski";"małopolskie";6717;7331;1985;4731;0;14;0;0;0;0;0;0;0;4729;0;0;4729;188;45;143;0;4541;1901;2640;9
"120303";"gmina miejsko-wiejska";"gm. Chrzanów";"chrzanowski";"małopolskie";33715;36537;10874;22841;24;92;3;3;1;0;0;0;2;22839;2;1;22838;759;202;557;0;22079;12492;9587;31
"120304";"gmina miejsko-wiejska";"gm. Libiąż";"chrzanowski";"małopolskie";16129;17574;4866;11263;21;28;0;0;0;0;0;0;0;11262;0;0;11262;398;130;268;0;10864;5014;5850;15
"120305";"gmina miejsko-wiejska";"gm. Trzebinia";"chrzanowski";"małopolskie";24635;26847;7901;16734;13;52;0;0;0;0;0;0;0;16732;0;0;16732;605;153;452;0;16127;8585;7542;26
"120901";"gmina miejsko-wiejska";"gm. Dobczyce";"myślenicki";"małopolskie";10650;11725;3162;7489;4;51;0;0;0;0;0;0;0;7488;0;0;7488;247;74;173;0;7241;2680;4561;9
"120902";"gmina wiejska";"gm. Lubień";"myślenicki";"małopolskie";7000;7667;2181;4819;6;37;0;0;0;0;0;0;0;4818;0;0;4818;139;34;105;0;4679;981;3698;5
"120903";"gmina miejsko-wiejska";"gm. Myślenice";"myślenicki";"małopolskie";30983;34151;8378;22605;8;116;11;11;0;0;0;0;11;22615;11;1;22614;743;198;545;0;21871;8322;13549;27
"120904";"gmina wiejska";"gm. Pcim";"myślenicki";"małopolskie";7837;8585;2277;5560;7;12;0;0;0;0;0;0;0;5560;0;0;5560;188;34;154;0;5372;1290;4082;8
"120905";"gmina wiejska";"gm. Raciechowice";"myślenicki";"małopolskie";4620;5066;1798;2822;10;10;0;0;0;0;0;0;0;2822;0;0;2822;76;19;57;0;2746;802;1944;5
