"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Lucjan BARGIEŁ";"Marek PĘK";"Liczba obwodów"
"120601";"gmina wiejska";"gm. Czernichów";"krakowski";"małopolskie";10362;11441;3267;7095;7;21;1;1;0;0;0;0;1;7095;1;0;7095;208;44;164;0;6887;2617;4270;12
"120602";"gmina wiejska";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";5623;6201;2252;3371;12;14;1;1;0;0;0;0;1;3372;1;0;3372;93;22;71;0;3279;966;2313;7
"120603";"gmina wiejska";"gm. Iwanowice";"krakowski";"małopolskie";6523;7248;2010;4513;7;60;0;0;0;0;0;0;0;4513;0;0;4513;121;38;83;0;4392;1371;3021;6
"120604";"gmina wiejska";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";8011;8812;2255;5756;5;27;1;1;0;0;0;0;1;5757;1;0;5757;201;51;150;0;5556;1772;3784;8
"120605";"gmina wiejska";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";11046;12199;3440;7606;0;36;1;1;0;0;0;0;1;7607;1;0;7607;207;48;159;0;7400;3109;4291;10
"120606";"gmina miejsko-wiejska";"gm. Krzeszowice";"krakowski";"małopolskie";23476;25711;7005;16469;25;100;3;3;0;0;0;0;3;16468;3;0;16468;604;169;435;0;15864;7270;8594;26
"120607";"gmina wiejska";"gm. Liszki";"krakowski";"małopolskie";12022;13357;3388;8634;6;57;0;0;0;0;0;0;0;8634;0;0;8634;278;52;226;0;8356;2877;5479;12
"120608";"gmina wiejska";"gm. Michałowice";"krakowski";"małopolskie";7302;8134;1753;5549;7;41;1;1;0;0;0;0;1;5548;1;2;5546;178;48;130;0;5368;2648;2720;5
"120609";"gmina wiejska";"gm. Mogilany";"krakowski";"małopolskie";9827;10882;2179;7648;9;61;0;0;0;0;0;0;0;7647;0;0;7647;297;95;202;0;7350;3398;3952;9
"120610";"gmina miejsko-wiejska";"gm. Skała";"krakowski";"małopolskie";7544;8358;2168;5376;0;31;0;0;0;0;0;0;0;5376;0;0;5376;183;65;118;0;5193;1992;3201;7
