"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew KARCIŃSKI";"Dariusz Zbigniew KLICH";"Kazimierz Adam WIATR";"Liczba obwodów"
"120401";"gmina wiejska";"gm. Bolesław";"dąbrowski";"małopolskie";2076;2229;1147;929;1;9;0;0;0;0;0;0;0;929;0;0;929;24;7;17;0;905;239;73;593;2
"120402";"gmina miejsko-wiejska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";15506;16676;6023;9483;9;37;0;0;0;0;0;0;0;9483;0;0;9483;208;34;174;0;9275;2087;1051;6137;20
"120403";"gmina wiejska";"gm. Gręboszów";"dąbrowski";"małopolskie";2582;2751;1208;1374;5;5;0;0;0;0;0;0;0;1374;0;0;1374;31;2;29;0;1343;342;83;918;4
"120404";"gmina wiejska";"gm. Mędrzechów";"dąbrowski";"małopolskie";2631;2846;1175;1456;8;7;0;0;0;0;0;0;0;1455;0;0;1455;48;3;45;0;1407;359;182;866;4
"120405";"gmina wiejska";"gm. Olesno";"dąbrowski";"małopolskie";5782;6277;2430;3352;2;10;0;0;0;0;0;0;0;3353;0;0;3353;64;13;51;0;3289;558;332;2399;8
"120406";"gmina wiejska";"gm. Radgoszcz";"dąbrowski";"małopolskie";5366;5844;2107;3258;3;15;0;0;0;0;0;0;0;3258;0;0;3258;80;7;73;0;3178;435;248;2495;7
"120407";"gmina miejsko-wiejska";"gm. Szczucin";"dąbrowski";"małopolskie";9615;10418;4225;5390;19;32;0;0;0;0;0;0;0;5390;0;0;5390;128;20;108;0;5262;1164;561;3537;9
"121601";"gmina miejsko-wiejska";"gm. Ciężkowice";"tarnowski";"małopolskie";8050;8812;3085;4965;1;7;1;1;0;0;0;0;1;4966;1;0;4966;104;21;83;0;4862;1568;389;2905;5
"121602";"gmina wiejska";"gm. Gromnik";"tarnowski";"małopolskie";6276;6889;2371;3905;0;15;0;0;0;0;0;0;0;3905;0;3;3902;55;12;43;0;3847;1479;203;2165;7
"121603";"gmina wiejska";"gm. Lisia Góra";"tarnowski";"małopolskie";10786;11723;3700;7086;7;25;0;0;0;0;0;0;0;7086;0;0;7086;137;16;121;0;6949;1413;861;4675;12
"121604";"gmina wiejska";"gm. Pleśna";"tarnowski";"małopolskie";8641;9393;3106;5535;8;16;0;0;0;0;0;0;0;5535;0;0;5535;111;21;90;0;5424;1332;625;3467;11
"121605";"gmina miejsko-wiejska";"gm. Radłów";"tarnowski";"małopolskie";7096;7731;2830;4266;12;12;0;0;0;0;0;0;0;4266;0;0;4266;82;11;71;0;4184;948;555;2681;8
"121606";"gmina miejsko-wiejska";"gm. Ryglice";"tarnowski";"małopolskie";8299;9083;3148;5151;11;20;1;1;0;0;0;0;1;5151;1;0;5151;99;18;81;0;5052;1000;531;3521;9
"121607";"gmina wiejska";"gm. Rzepiennik Strzyżewski";"tarnowski";"małopolskie";4884;5346;1607;3275;4;24;0;0;0;0;0;0;0;3274;0;0;3274;55;16;39;0;3219;679;238;2302;6
"121608";"gmina wiejska";"gm. Skrzyszów";"tarnowski";"małopolskie";10182;11121;3398;6784;6;27;0;0;0;0;0;0;0;6783;0;0;6783;152;29;123;0;6631;1486;803;4342;9
"121609";"gmina wiejska";"gm. Tarnów";"tarnowski";"małopolskie";18590;20202;5716;12873;13;48;1;1;0;0;0;0;1;12873;1;0;12873;269;59;210;0;12604;3595;1770;7239;17
"121610";"gmina miejsko-wiejska";"gm. Tuchów";"tarnowski";"małopolskie";12909;14055;4685;8224;9;55;6;6;0;0;0;0;6;8229;6;0;8229;189;28;161;0;8040;2028;870;5142;16
"121611";"gmina wiejska";"gm. Wierzchosławice";"tarnowski";"małopolskie";7880;8534;2583;5297;8;22;0;0;0;0;0;0;0;5295;0;0;5295;114;28;86;0;5181;1451;613;3117;8
"121612";"gmina wiejska";"gm. Wietrzychowice";"tarnowski";"małopolskie";3013;3267;1451;1562;0;11;0;0;0;0;0;0;0;1562;0;0;1562;51;10;41;0;1511;471;148;892;5
"121613";"gmina miejsko-wiejska";"gm. Wojnicz";"tarnowski";"małopolskie";9762;10615;3480;6282;5;40;0;0;0;0;0;0;0;6280;0;0;6280;110;20;90;0;6170;1410;823;3937;11
"121614";"gmina miejsko-wiejska";"gm. Zakliczyn";"tarnowski";"małopolskie";8949;9674;3283;5666;7;48;1;1;0;0;0;0;1;5667;1;0;5667;124;23;101;0;5543;1216;594;3733;12
"121615";"gmina miejsko-wiejska";"gm. Żabno";"tarnowski";"małopolskie";13885;15085;5562;8324;11;32;0;0;0;0;0;0;0;8320;0;0;8320;175;38;137;0;8145;2101;851;5193;11
"121616";"gmina wiejska";"gm. Szerzyny";"tarnowski";"małopolskie";5746;6287;2071;3675;5;10;0;0;0;0;0;0;0;3675;0;0;3675;76;13;63;0;3599;586;322;2691;5
"126301";"gmina miejska";"m. Tarnów";"Tarnów";"małopolskie";81908;87596;27906;53997;111;346;17;17;0;0;0;0;17;54015;17;1;54014;1049;259;790;0;52965;21174;8421;23370;74
