"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Maria JACKOWSKI";"Andrzej Juliusz KAMASA";"Piotr Daniel MIERZWA";"Liczba obwodów"
"140201";"gmina miejska";"m. Ciechanów";"ciechanowski";"mazowieckie";32024;34850;10561;21462;20;93;1;1;0;0;0;0;1;21458;1;0;21458;453;118;335;0;21005;9997;8141;2867;23
"140202";"gmina wiejska";"gm. Ciechanów";"ciechanowski";"mazowieckie";5074;5663;1969;3105;6;8;0;0;0;0;0;0;0;3105;0;0;3105;62;16;46;0;3043;1679;971;393;4
"140203";"gmina miejsko-wiejska";"gm. Glinojeck";"ciechanowski";"mazowieckie";5594;6144;2505;3089;1;14;0;0;0;0;0;0;0;3087;0;0;3087;59;21;38;0;3028;1863;749;416;5
"140204";"gmina wiejska";"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";2782;3070;1224;1558;7;7;0;0;0;0;0;0;0;1558;0;0;1558;33;10;23;0;1525;1085;258;182;3
"140205";"gmina wiejska";"gm. Grudusk";"ciechanowski";"mazowieckie";2636;2901;1043;1593;1;6;0;0;0;0;0;0;0;1593;0;0;1593;36;5;31;0;1557;1107;294;156;3
"140206";"gmina wiejska";"gm. Ojrzeń";"ciechanowski";"mazowieckie";3129;3473;1332;1797;4;4;1;1;0;0;0;0;1;1798;1;0;1798;73;3;70;0;1725;1190;336;199;3
"140207";"gmina wiejska";"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";4254;4747;1694;2560;1;3;0;0;0;0;0;0;0;2560;0;0;2560;72;12;60;0;2488;1604;552;332;6
"140208";"gmina wiejska";"gm. Regimin";"ciechanowski";"mazowieckie";3667;4017;1430;2235;0;5;0;0;0;0;0;0;0;2237;0;0;2237;74;12;62;0;2163;1439;510;214;4
"140209";"gmina wiejska";"gm. Sońsk";"ciechanowski";"mazowieckie";5662;6222;2219;3442;5;23;0;0;0;0;0;0;0;3442;0;0;3442;64;11;53;0;3378;2242;714;422;6
"141301";"gmina miejska";"m. Mława";"mławski";"mazowieckie";21806;23761;7813;14002;23;77;1;1;0;0;0;0;1;14002;1;0;14002;308;71;237;0;13694;6444;5170;2080;15
"141302";"gmina wiejska";"gm. Dzierzgowo";"mławski";"mazowieckie";2222;2450;1032;1190;2;8;0;0;0;0;0;0;0;1190;0;0;1190;23;1;22;0;1167;875;176;116;5
"141303";"gmina wiejska";"gm. Lipowiec Kościelny";"mławski";"mazowieckie";3530;3878;1571;1959;0;4;1;1;0;0;0;0;1;1960;1;0;1960;64;17;47;0;1896;1231;435;230;4
"141304";"gmina wiejska";"gm. Radzanów";"mławski";"mazowieckie";2470;2726;1011;1459;2;10;0;0;0;0;0;0;0;1459;0;0;1459;36;4;32;0;1423;979;283;161;4
"141305";"gmina wiejska";"gm. Strzegowo";"mławski";"mazowieckie";5561;6123;2504;3057;0;23;0;0;0;0;0;0;0;3057;0;0;3057;78;17;61;0;2979;2009;658;312;6
"141306";"gmina wiejska";"gm. Stupsk";"mławski";"mazowieckie";3615;3894;1622;1993;1;7;0;0;0;0;0;0;0;1993;0;0;1993;73;14;59;0;1920;1238;433;249;4
"141307";"gmina wiejska";"gm. Szreńsk";"mławski";"mazowieckie";3060;3361;1290;1770;4;4;0;0;0;0;0;0;0;1770;0;0;1770;41;4;37;0;1729;1241;310;178;3
"141308";"gmina wiejska";"gm. Szydłowo";"mławski";"mazowieckie";3310;3639;1281;2029;1;13;0;0;0;0;0;0;0;2029;0;0;2029;64;5;59;0;1965;1243;465;257;3
"141309";"gmina wiejska";"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";2840;3133;1204;1636;1;10;0;0;0;0;0;0;0;1636;0;0;1636;54;8;46;0;1582;1098;315;169;4
"141310";"gmina wiejska";"gm. Wiśniewo";"mławski";"mazowieckie";3742;4100;1615;2127;3;15;0;0;0;0;0;0;0;2126;0;0;2126;51;9;42;0;2075;1312;460;303;5
"142001";"gmina miejska";"m. Płońsk";"płoński";"mazowieckie";15754;17156;5322;10431;8;40;3;3;0;0;0;0;3;10433;3;1;10432;200;66;134;0;10232;4330;4615;1287;21
"142002";"gmina miejska";"m. Raciąż";"płoński";"mazowieckie";3250;3526;1346;1904;9;12;0;0;0;0;0;0;0;1904;0;0;1904;32;11;21;0;1872;1056;614;202;3
"142003";"gmina wiejska";"gm. Baboszewo";"płoński";"mazowieckie";5710;6283;2495;3215;8;17;0;0;0;0;0;0;0;3215;0;0;3215;83;13;70;0;3132;2023;758;351;6
"142004";"gmina miejsko-wiejska";"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";5490;6081;2796;2694;1;14;0;0;0;0;0;0;0;2694;0;0;2694;73;11;62;0;2621;1765;552;304;5
"142005";"gmina wiejska";"gm. Dzierzążnia";"płoński";"mazowieckie";2707;3018;1113;1594;3;2;0;0;0;0;0;0;0;1594;0;0;1594;40;5;35;0;1554;1038;356;160;3
