"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dorota CZUDOWSKA";"Tymoteusz Dominik MYRDA";"Elżbieta Krystyna STĘPIEŃ";"Liczba obwodów"
"020301";"gmina miejska";"m. Głogów";"głogowski";"dolnośląskie";47452;51453;16000;31452;22;178;2;2;0;0;0;0;2;31449;2;4;31445;632;156;476;0;30813;13396;5387;12030;36
"020302";"gmina wiejska";"gm. Głogów";"głogowski";"dolnośląskie";4801;5237;1533;3268;1;9;0;0;0;0;0;0;0;3268;0;0;3268;55;12;43;0;3213;1571;576;1066;4
"020303";"gmina wiejska";"gm. Jerzmanowa";"głogowski";"dolnośląskie";3599;3853;1103;2496;5;12;0;0;0;0;0;0;0;2495;0;0;2495;49;16;33;0;2446;1083;506;857;4
"020304";"gmina wiejska";"gm. Kotla";"głogowski";"dolnośląskie";3100;3398;1383;1717;1;10;0;0;0;0;0;0;0;1717;0;0;1717;43;6;37;0;1674;919;293;462;5
"020305";"gmina wiejska";"gm. Pęcław";"głogowski";"dolnośląskie";1601;1732;733;868;0;1;0;0;0;0;0;0;0;868;0;0;868;48;4;44;0;820;549;112;159;2
"020306";"gmina wiejska";"gm. Żukowice";"głogowski";"dolnośląskie";2399;2681;995;1404;5;5;0;0;0;0;0;0;0;1404;0;0;1404;37;11;26;0;1367;703;273;391;2
"020901";"gmina miejska";"m. Chojnów";"legnicki";"dolnośląskie";9537;10240;3864;5673;4;23;1;1;0;0;0;0;1;5674;1;1;5673;127;29;98;0;5546;2567;835;2144;7
"020902";"gmina wiejska";"gm. Chojnów";"legnicki";"dolnośląskie";6794;7502;2761;4033;4;16;0;0;0;0;0;0;0;4033;0;0;4033;88;24;64;0;3945;2259;585;1101;8
"020903";"gmina wiejska";"gm. Krotoszyce";"legnicki";"dolnośląskie";2400;2581;889;1511;2;6;0;0;0;0;0;0;0;1511;0;0;1511;39;5;34;0;1472;837;197;438;3
"020904";"gmina wiejska";"gm. Kunice";"legnicki";"dolnośląskie";4730;5244;1270;3460;2;17;0;0;0;0;0;0;0;3460;0;0;3460;68;6;62;0;3392;1395;469;1528;5
"020905";"gmina wiejska";"gm. Legnickie Pole";"legnicki";"dolnośląskie";3559;3818;1218;2341;2;6;0;0;0;0;0;0;0;2341;0;0;2341;55;8;47;0;2286;1215;316;755;6
"020906";"gmina wiejska";"gm. Miłkowice";"legnicki";"dolnośląskie";4799;5191;1646;3153;1;10;0;0;0;0;0;0;0;3151;0;1;3150;52;12;40;0;3098;1505;585;1008;8
"020907";"gmina miejsko-wiejska";"gm. Prochowice";"legnicki";"dolnośląskie";5292;5849;1946;3346;3;6;0;0;0;0;0;0;0;3346;0;0;3346;81;12;69;0;3265;1596;521;1148;6
